Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL
2026-05-02 06:45:00,,23.73333333,,,36.8,26.4,40.66666667,27.0
2026-05-02 07:00:00,,23.53333333,,,28.53333333,35.06666667,44.73333333,28.53333333
2026-05-02 07:15:00,,21.4,,,29.6,27.93333333,44.06666667,30.73333333
2026-05-02 07:30:00,,20.2,,,19.53333333,29.73333333,62.26666667,36.33333333
2026-05-02 07:45:00,,18.4,,,18.2,35.93333333,55.73333333,41.8
2026-05-02 08:00:00,,21.86666667,,,18.6,37.26666667,55.66666667,148.6
2026-05-02 08:15:00,,21.0,,,16.53333333,38.06666667,56.33333333,34.0
2026-05-02 08:30:00,,20.93333333,,,15.86666667,35.6,51.06666667,74.06666667
2026-05-02 08:45:00,,18.93333333,,,17.13333333,31.86666667,127.13333333,30.26666667
2026-05-02 09:00:00,,19.8,,,18.86666667,29.0,42.0,28.0
2026-05-02 09:15:00,,18.93333333,,,19.4,27.93333333,56.46666667,21.0
2026-05-02 09:30:00,,17.2,,,18.86666667,24.26666667,25.33333333,20.8
2026-05-02 09:45:00,,17.06666667,,,17.26666667,23.46666667,19.93333333,21.46666667
2026-05-02 10:00:00,,19.6,,,15.33333333,22.86666667,22.46666667,20.33333333
2026-05-02 10:15:00,19.85714286,17.33333333,,,16.53333333,23.33333333,18.73333333,18.8
2026-05-02 10:30:00,20.8,17.0,,,16.86666667,27.53333333,72.2,20.26666667
2026-05-02 10:45:00,18.93333333,16.8,,,13.4,25.6,19.4,18.73333333
2026-05-02 11:00:00,17.86666667,16.13333333,,,12.73333333,24.33333333,36.06666667,18.93333333
2026-05-02 11:15:00,21.6,16.4,,,13.66666667,20.13333333,20.46666667,29.73333333
2026-05-02 11:30:00,20.2,15.73333333,,,14.33333333,14.73333333,89.33333333,21.93333333
2026-05-02 11:45:00,21.53333333,16.26666667,,,12.46666667,19.26666667,19.06666667,21.06666667
2026-05-02 12:00:00,21.33333333,15.26666667,,,14.2,16.2,16.2,20.26666667
2026-05-02 12:15:00,22.93333333,15.0,,,10.93333333,15.66666667,22.6,18.86666667
2026-05-02 12:30:00,31.4,14.6,,,8.8,14.73333333,20.4,17.46666667
2026-05-02 12:45:00,43.26666667,14.86666667,,,9.06666667,16.06666667,16.86666667,18.2
2026-05-02 13:00:00,31.06666667,17.93333333,,,10.8,18.33333333,51.86666667,18.46666667
2026-05-02 13:15:00,26.13333333,16.93333333,,,9.33333333,19.13333333,15.4,16.93333333
2026-05-02 13:30:00,21.66666667,18.86666667,,,10.13333333,19.53333333,15.6,16.53333333
