Date/Time,2693_O_BRKN,4431_O_WBG,2508_O_DOWN,6132_O_PTBR,3532_O_MONG,8508_O_OHCU_OH,2039_O_MNSP_MN,6416_O_CLRN,4661_O_ALPK,6389_O_MTLE,5175_O_MTLE,4041_O_BRHT,7210_O_MTLE,7295_O_WIJK_WI,8309_O_MEPL_ME,6771_O_MUNH,2020_O_XXXX
2021-04-30 18:15:00,383.26666666666665,347.93333333333334,311.53333333333336,355.93333333333334,377.4,185.06666666666666,736.7333333333333,,224.6,434.8666666666667,328.0,,327.26666666666665,266.8666666666667,62.4,291.46666666666664,487.0
2021-04-30 18:30:00,312.6,329.2,309.6666666666667,324.93333333333334,341.53333333333336,228.6,629.7333333333333,,197.0,289.53333333333336,278.46666666666664,,295.8666666666667,280.2,80.13333333333334,250.86666666666667,366.2
2021-04-30 18:45:00,276.53333333333336,324.73333333333335,288.46666666666664,344.0,280.4,233.0,763.2,,197.6,263.3333333333333,277.6666666666667,,255.8,279.26666666666665,168.06666666666666,219.8,282.8666666666667
2021-04-30 19:00:00,230.93333333333334,298.26666666666665,250.93333333333334,387.26666666666665,286.0,215.73333333333332,1101.7333333333333,,221.0,307.26666666666665,233.33333333333334,,247.66666666666666,286.06666666666666,163.86666666666667,213.86666666666667,293.46666666666664
2021-04-30 19:15:00,238.6,261.4,260.3333333333333,327.4,323.6666666666667,226.4,1930.1333333333334,,289.4,1176.0666666666666,208.8,,254.93333333333334,278.93333333333334,272.2,216.66666666666666,255.93333333333334
2021-04-30 19:30:00,230.26666666666668,246.06666666666666,255.06666666666666,315.26666666666665,267.4,224.6,2307.133333333333,,311.4,1224.7333333333333,196.86666666666667,,264.46666666666664,282.53333333333336,471.8666666666667,229.13333333333333,233.13333333333333
2021-04-30 19:45:00,243.73333333333332,224.93333333333334,260.4,328.2,351.8,213.46666666666667,2163.9333333333334,,324.26666666666665,893.8,200.8,,243.86666666666667,272.73333333333335,121.13333333333334,257.4,233.46666666666667
2021-04-30 20:00:00,260.3333333333333,222.73333333333332,305.93333333333334,321.2,346.2,201.86666666666667,5837.4,,355.06666666666666,683.4666666666667,205.8,,396.93333333333334,277.93333333333334,175.8,297.6,244.26666666666668
2021-04-30 20:15:00,279.26666666666665,219.46666666666667,275.53333333333336,332.3333333333333,347.0,193.13333333333333,3358.3333333333335,,365.1333333333333,728.6666666666666,231.46666666666667,,278.0,283.0,206.33333333333334,327.6666666666667,250.73333333333332
2021-04-30 20:30:00,301.2,227.46666666666667,336.93333333333334,327.8,334.73333333333335,219.73333333333332,3891.3333333333335,,374.4,954.2666666666667,248.0,,274.4,287.53333333333336,177.6,349.4,269.26666666666665
2021-04-30 20:45:00,346.4,221.4,334.93333333333334,331.1333333333333,336.3333333333333,199.93333333333334,5418.533333333334,,382.93333333333334,916.1333333333333,270.73333333333335,,265.26666666666665,297.73333333333335,177.66666666666666,376.26666666666665,285.73333333333335
2021-04-30 21:00:00,313.2,233.13333333333333,390.46666666666664,346.1333333333333,350.6,196.93333333333334,3815.9333333333334,,404.46666666666664,1164.0666666666666,279.73333333333335,,275.8,300.73333333333335,167.13333333333333,396.26666666666665,311.73333333333335
2021-04-30 21:15:00,702.6,238.0,423.6666666666667,346.53333333333336,312.8,257.53333333333336,2163.733333333333,,426.2,1366.2666666666667,304.26666666666665,,299.1333333333333,303.2,128.8,728.7333333333333,313.6
2021-04-30 21:30:00,370.8,252.13333333333333,394.1333333333333,353.53333333333336,364.8666666666667,239.6,1643.6666666666667,,450.06666666666666,1357.1333333333334,307.1333333333333,,334.2,318.2,79.06666666666666,479.3333333333333,307.3333333333333
2021-04-30 21:45:00,337.46666666666664,256.1333333333333,369.8666666666667,364.8,362.6666666666667,234.53333333333333,1594.8666666666666,,469.26666666666665,1391.7333333333333,323.53333333333336,,362.53333333333336,323.06666666666666,64.06666666666666,407.6666666666667,308.53333333333336
2021-04-30 22:00:00,322.8666666666667,259.3333333333333,375.6666666666667,384.73333333333335,359.6666666666667,270.6666666666667,1345.4666666666667,,465.6,1417.0,317.4,,362.3333333333333,346.8,60.2,403.73333333333335,320.2
2021-04-30 22:15:00,378.0,275.0,306.06666666666666,378.0,361.2,377.0,824.8,,460.0,1450.5333333333333,373.46666666666664,,366.46666666666664,391.8666666666667,56.2,428.1333333333333,344.1333333333333
2021-04-30 22:30:00,359.4,282.0,404.8666666666667,367.8666666666667,344.26666666666665,431.06666666666666,801.5333333333333,,462.8,1294.6,374.2,354.75,379.93333333333334,464.46666666666664,60.53333333333333,458.4,348.06666666666666
2021-04-30 22:45:00,400.4,318.73333333333335,471.0,358.2,322.8666666666667,537.8666666666667,982.6,,443.3333333333333,1177.6666666666667,439.26666666666665,502.53333333333336,444.8666666666667,529.8666666666667,70.53333333333333,467.3333333333333,360.2
2021-04-30 23:00:00,414.0,327.8,340.1333333333333,367.6666666666667,370.0,695.9333333333333,1073.5333333333333,,410.1333333333333,1013.2,398.06666666666666,463.46666666666664,425.53333333333336,581.0666666666667,81.06666666666666,477.4,407.73333333333335
2021-04-30 23:15:00,405.2,320.53333333333336,290.06666666666666,333.93333333333334,560.2666666666667,627.6666666666666,961.1333333333333,,402.73333333333335,929.6,412.8666666666667,594.0666666666667,425.26666666666665,647.0666666666667,104.2,475.8666666666667,407.4
2021-04-30 23:30:00,397.26666666666665,313.8,279.8666666666667,368.0,369.53333333333336,632.6666666666666,810.4,,423.73333333333335,899.4,424.53333333333336,609.5333333333333,444.6,693.4,166.6,475.1333333333333,401.8666666666667
2021-04-30 23:45:00,409.06666666666666,346.3333333333333,280.26666666666665,385.6666666666667,390.53333333333336,691.0,808.2,,457.93333333333334,936.0666666666667,442.4,496.1333333333333,459.2,666.8,284.3333333333333,518.4,414.1333333333333
2021-05-01 00:00:00,390.8666666666667,405.8,286.2,430.73333333333335,394.46666666666664,467.6,918.9333333333333,,496.8,888.9333333333333,421.26666666666665,449.2,479.1333333333333,626.5333333333333,283.53333333333336,491.4,436.8666666666667
2021-05-01 00:15:00,391.73333333333335,454.6,271.1333333333333,450.1333333333333,426.4,377.8,989.5333333333333,,525.7333333333333,851.8666666666667,426.53333333333336,444.0,452.6,601.1333333333333,239.13333333333333,477.53333333333336,448.06666666666666
2021-05-01 00:30:00,401.8666666666667,522.4666666666667,261.0,465.4,464.8666666666667,343.8,1046.4,,565.3333333333334,726.6666666666666,405.3333333333333,458.26666666666665,426.3333333333333,558.4,192.6,515.2,429.0
2021-05-01 00:45:00,395.2,566.5333333333333,265.3333333333333,454.93333333333334,477.73333333333335,348.8666666666667,990.6666666666666,,566.0666666666667,603.8,388.46666666666664,520.4,416.93333333333334,533.8,165.4,487.53333333333336,413.1333333333333
2021-05-01 01:00:00,403.6666666666667,579.5333333333333,259.46666666666664,471.06666666666666,511.3333333333333,224.4,937.2666666666667,,611.4666666666667,734.7333333333333,410.8666666666667,486.46666666666664,437.6666666666667,525.2,137.26666666666668,511.6,419.3333333333333
2021-05-01 01:15:00,465.0,614.4,267.93333333333334,457.53333333333336,456.46666666666664,249.2,1140.7333333333333,,776.0,777.2666666666667,460.73333333333335,498.2,476.8666666666667,528.0,120.6,524.2666666666667,424.6
