Date/Time,1502_O_BLPK,2071_O_NOSD,2676_O_ESLG,3127_O_PTBZ,3555_O_SCLL,3914_O_SOSD,4387_O_EDWD,4431_O_WBG,4530_O_CNTP,5179_O_SHRP,5444_O_HMSD,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5878_O_BLOO,6017_O_BRHT,6018_O_PTBZ,6312_O_SQHS,6582_O_OAKD,7543_O_MILL,8356_O_OHRA,8941_O_MTLE
2017-12-17 05:30:00,2707.6,,3262.6,10783.933333333332,2318.933333333333,7885.8,5379.4,8883.666666666666,2752.5333333333333,,10626.266666666666,,,6985.666666666668,,3789.266666666667,9559.733333333334,8265.6,6145.333333333332,,,6892.2
2017-12-17 05:45:00,2733.733333333333,,4131.6,11330.2,2284.266666666667,7708.733333333334,5718.133333333332,7849.266666666666,2862.6,,10570.133333333333,,,7958.333333333332,,3705.8,9687.333333333334,10227.066666666668,6415.6,,,6815.666666666668
2017-12-17 06:00:00,2678.0,,4429.4,13136.866666666667,2327.8,7786.533333333334,5486.733333333334,6280.466666666666,3041.933333333333,,10588.466666666667,,,7807.0,,3700.933333333333,9681.666666666666,11764.866666666667,6326.133333333332,,,6640.2
2017-12-17 06:15:00,2715.133333333333,,4502.266666666666,13827.733333333335,2398.8,7796.733333333334,4861.266666666666,5943.266666666666,3089.2,,10246.266666666666,,,7142.866666666668,,3663.4,9821.4,11033.6,6278.533333333334,,,6653.6
2017-12-17 06:30:00,2798.6,,4455.666666666667,14020.2,2485.133333333333,7910.6,5109.8,5878.133333333332,2935.8,,10419.733333333334,,,7156.266666666666,,3627.733333333333,10352.866666666667,10085.066666666668,6351.6,,,6651.133333333332
2017-12-17 06:45:00,2788.733333333333,,4521.333333333333,13880.933333333332,2511.266666666667,7810.666666666668,5495.333333333333,6482.333333333332,2829.666666666666,,10397.333333333334,,,7067.733333333334,,3632.133333333333,10391.733333333334,8805.333333333334,6095.533333333334,,,9073.866666666667
2017-12-17 07:00:00,2894.0,,4648.866666666667,14036.733333333335,2570.333333333333,7753.533333333334,5926.533333333334,6072.133333333332,2807.2,,10567.133333333333,,,7087.666666666668,,3535.733333333333,8720.266666666666,8995.866666666667,5962.333333333332,,,9986.866666666667
2017-12-17 07:15:00,3040.866666666667,,4610.8,12965.2,2632.866666666667,8105.866666666668,5524.9333333333325,5830.8,2843.733333333333,,10674.6,,,7049.333333333332,,3867.866666666667,8747.2,9147.733333333334,5802.133333333332,,,6929.333333333332
2017-12-17 07:30:00,3127.5333333333333,,4674.666666666667,11707.066666666668,2809.933333333333,8444.0,5420.266666666666,7442.666666666668,2860.666666666666,,10078.8,,,7540.133333333332,,4035.866666666667,8303.6,9426.066666666668,5641.333333333332,,,6559.0
2017-12-17 07:45:00,3206.4666666666667,,4514.866666666667,13341.333333333336,2657.266666666667,8449.2,5502.266666666666,6749.6,2896.333333333333,,9847.666666666666,,,8019.133333333332,,4188.266666666666,7859.133333333332,8984.333333333334,5479.733333333334,,,6555.333333333332
2017-12-17 08:00:00,3188.733333333333,,4065.933333333333,15836.666666666664,2510.866666666667,8487.266666666666,5554.466666666666,9539.866666666667,3330.6,,10040.0,,,7869.6,,4537.8,8033.8,8175.9333333333325,5680.733333333334,,,6395.333333333332
2017-12-17 08:15:00,3284.333333333333,,4036.866666666667,16729.6,2415.933333333333,8713.4,5595.266666666666,6372.666666666668,3220.8,,10048.0,,,7689.866666666668,,4900.6,8894.866666666667,8161.133333333332,6083.2,,,7044.133333333332
2017-12-17 08:30:00,3637.333333333334,,4316.466666666666,16452.866666666665,2392.6666666666665,8806.466666666667,5606.533333333334,7040.666666666668,2857.666666666666,,9565.733333333334,,,2421.6666666666665,,5065.133333333333,11762.266666666665,8338.6,6034.266666666666,,,6469.0
2017-12-17 08:45:00,4003.133333333333,,4979.866666666667,12526.133333333333,2376.266666666667,8761.4,5381.666666666667,6984.8,2804.4,,9049.733333333334,,,4832.8,,5236.4,11149.933333333332,7411.4,6069.866666666668,,,6665.333333333332
2017-12-17 09:00:00,4317.533333333334,,6019.4,11508.533333333333,2290.8,10479.2,5598.2,7036.9333333333325,2889.333333333333,,9200.6,,,6805.0,,5400.133333333333,12407.4,6880.266666666666,6426.266666666666,,,6989.533333333334
2017-12-17 09:15:00,3699.333333333334,,6676.466666666666,11688.066666666668,2203.0666666666666,8923.8,5803.0,6609.733333333334,2937.933333333333,,9802.066666666668,,,7420.2,,5754.666666666668,11590.733333333335,7063.6,6267.2,,,7649.0666666666675
2017-12-17 09:30:00,5024.0,,7588.266666666666,10135.066666666668,1988.533333333333,8822.066666666668,5745.866666666668,6320.0666666666675,2918.0,,8439.4,,,7608.666666666668,,5775.866666666668,8170.6,6904.0666666666675,5968.6,,,7861.133333333332
2017-12-17 09:45:00,5007.0,,8321.866666666667,11107.133333333333,1796.666666666667,8954.6,6043.266666666666,6263.533333333334,2946.133333333333,,8345.666666666666,,,7840.0,,5908.333333333332,7829.733333333334,6510.533333333334,5988.733333333334,,,7822.666666666668
2017-12-17 10:00:00,6001.266666666666,,8872.866666666667,22191.93333333333,1646.8,8985.6,5249.666666666667,5878.133333333332,3142.6,,8216.066666666668,,,7932.8,,6585.666666666668,13310.466666666667,6540.0,5699.533333333334,,,7820.666666666668
