Date/Time,1282_O_BCVW,1502_O_BLPK,2071_O_NOSD,2281_O_HiPK,4431_O_WBG,4492_O_MOON,4632_O_BNAR,4669_O_ELIB,4880_O_ELIB,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,7543_O_MILL,8749_O_CRFT,8941_O_MTLE
2017-04-15 03:15:00,2448.133333333333,,3143.933333333333,,2957.733333333333,,,2866.6,2954.866666666667,1464.2666666666669,1464.2666666666669,2504.266666666667,4231.466666666666,,3936.666666666666,
2017-04-15 03:30:00,2009.0666666666666,,3292.733333333333,,2928.133333333333,,,2922.133333333333,2929.266666666667,1538.333333333333,1538.333333333333,2830.733333333333,4433.866666666667,,3957.6,
2017-04-15 03:45:00,1944.533333333333,,3257.4,,3043.4666666666667,,,2855.8,3105.4,1530.2,1530.2,2798.4666666666667,4703.666666666667,,4049.6,
2017-04-15 04:00:00,1896.2666666666669,,3291.066666666666,,3181.333333333333,,,2683.6666666666665,3051.2,1490.1333333333334,1490.1333333333334,2841.066666666666,4823.266666666666,,4138.466666666666,
2017-04-15 04:15:00,2021.2,,3421.133333333333,,3324.066666666666,,,2373.2,3059.8,1480.1333333333334,1480.1333333333334,2980.066666666666,4817.333333333333,,4198.8,
2017-04-15 04:30:00,1953.666666666667,,3479.2,,3375.666666666666,,,2442.0,3277.4,1566.6,1566.6,2911.933333333333,4823.066666666667,,4050.066666666666,
2017-04-15 04:45:00,1689.9333333333334,,3596.4666666666667,,3593.5333333333333,,,2448.0666666666666,3373.4,1537.0666666666666,1537.0666666666666,3144.866666666667,4993.466666666666,,4064.933333333333,
2017-04-15 05:00:00,1760.8666666666666,,3454.6,,3337.8,,,2444.266666666667,3460.866666666667,1488.533333333333,1488.533333333333,3427.733333333333,5098.6,,4050.2,
2017-04-15 05:15:00,1781.4,,3538.2,,3344.666666666666,,,2368.266666666667,3510.933333333333,1572.6,1572.6,3541.4666666666667,5234.733333333334,,4098.666666666667,
2017-04-15 05:30:00,1767.7333333333331,,3595.933333333333,,3426.066666666666,,,2366.8,3659.0,1511.2666666666669,1511.2666666666669,3554.933333333333,5446.666666666667,,4172.0,
2017-04-15 05:45:00,1896.2666666666669,,3759.333333333334,,3535.733333333333,,,2515.333333333333,3701.866666666667,1413.466666666667,1413.466666666667,3572.666666666666,5689.533333333334,,4169.466666666666,
2017-04-15 06:00:00,1869.9333333333332,,3911.4666666666662,,3571.5333333333333,,,2584.266666666667,3752.4666666666662,1379.9333333333334,1379.9333333333334,3756.333333333334,5883.333333333332,,4221.266666666666,
2017-04-15 06:15:00,1965.7333333333331,,4029.333333333334,,3666.666666666666,,,2559.4,4227.4,1321.9333333333334,1321.9333333333334,3906.133333333333,5995.0,,4258.466666666666,
2017-04-15 06:30:00,2111.866666666667,,4084.5333333333333,,3413.333333333333,,,2599.5333333333333,4223.8,1289.6666666666667,1289.6666666666667,4178.266666666666,6019.133333333332,,4385.733333333334,
2017-04-15 06:45:00,2113.333333333333,,4084.066666666666,,3509.6,,,2659.6666666666665,4496.866666666667,1307.0666666666666,1307.0666666666666,4353.266666666666,6131.6,,4382.333333333333,
2017-04-15 07:00:00,2091.0666666666666,,4111.666666666667,,3544.6,,,2654.0,4529.4,1262.2666666666667,1262.2666666666667,4421.4,5993.533333333334,,4277.133333333333,
2017-04-15 07:15:00,2209.333333333333,,3958.266666666667,,3416.333333333333,,,3202.066666666666,4178.133333333333,1190.2,1190.2,4343.2,5781.9333333333325,,4290.266666666666,
2017-04-15 07:30:00,2413.0,,3680.6,,3312.666666666666,,,2774.666666666666,3914.066666666666,1142.9333333333334,1142.9333333333334,4290.466666666666,5469.666666666667,,4344.133333333333,
2017-04-15 07:45:00,2355.6666666666665,,3543.066666666666,,3256.2,,,3054.2,3481.4,1101.0,1101.0,3620.133333333333,5032.266666666666,,4255.066666666667,
2017-04-15 08:00:00,2248.0666666666666,,3484.0,,3034.066666666666,,,3087.266666666667,3351.6,1092.0666666666666,1092.0666666666666,3369.066666666666,4590.466666666666,,4366.0,
2017-04-15 08:15:00,2148.733333333333,,3554.8,,2479.6,,,2533.866666666667,3235.8,1055.6666666666667,1055.6666666666667,2967.733333333333,4223.866666666667,,4392.4,
2017-04-15 08:30:00,2203.0,,3466.933333333333,,2383.333333333333,,,2316.8,2823.933333333333,1072.0666666666666,1072.0666666666666,2845.266666666667,3839.2,,4288.066666666667,
2017-04-15 08:45:00,2233.133333333333,,3270.866666666667,,2546.266666666667,,,2216.8,2918.8,1049.2666666666667,1049.2666666666667,2656.6,3344.4666666666667,,4317.133333333333,
2017-04-15 09:00:00,1918.466666666667,,2979.333333333333,,2147.4666666666667,,,2079.6666666666665,2578.333333333333,1126.0,1126.0,2503.6,3204.5333333333333,,4421.2,
2017-04-15 09:15:00,1984.333333333333,,2346.0666666666666,,2113.0,,,1860.1333333333332,2510.266666666667,1203.4666666666667,1203.4666666666667,2524.866666666667,3343.733333333333,,4409.8,
2017-04-15 09:30:00,1579.1333333333334,,1934.666666666667,,1909.666666666667,,,2020.0666666666666,2215.2,1184.2,1184.2,2219.933333333333,2972.266666666667,,4451.6,
2017-04-15 09:45:00,1284.6666666666667,,1739.2,,1955.466666666667,,,2093.266666666667,2319.333333333333,1146.2,1146.2,1953.8666666666666,2851.133333333333,,3962.8,
2017-04-15 10:00:00,1193.3333333333333,,1584.4,,1853.0666666666666,,,2187.733333333333,2214.0,1073.4666666666667,1073.4666666666667,1565.8,2942.333333333333,,3441.733333333333,
2017-04-15 10:15:00,1106.0,,1413.2666666666669,,1831.7333333333331,,,2460.8,2000.7333333333331,914.6666666666665,914.6666666666665,1233.2666666666667,2671.866666666667,,2537.6666666666665,
2017-04-15 10:30:00,1026.4,,1261.5333333333333,,1561.2666666666669,,,2185.6666666666665,1399.2,904.0,904.0,990.0,2178.266666666667,,2049.8,
2017-04-15 10:45:00,1024.6,,1209.2666666666667,,1281.0,,,1523.9333333333334,1312.4666666666667,857.6,857.6,912.2,1610.4,,1973.8666666666666,
2017-04-15 11:00:00,975.0,,1084.4666666666667,,1079.9333333333334,,,1251.5333333333333,1306.2666666666667,868.5333333333333,868.5333333333333,843.8,1553.7333333333331,,1669.8666666666666,
2017-04-15 11:15:00,957.3333333333335,,1009.5333333333333,,1051.2,,,1143.0666666666666,1198.6,804.3333333333335,804.3333333333335,736.3333333333335,1420.8666666666666,,1482.0,
2017-04-15 11:30:00,963.8666666666667,,900.0666666666667,,911.2666666666668,,,1191.1333333333334,1317.4,696.9333333333333,696.9333333333333,699.4,1359.8666666666666,,1412.6,
2017-04-15 11:45:00,936.4666666666667,,800.7333333333332,,795.4,,,1038.7333333333333,1236.2,645.6,645.6,667.2,1330.4666666666667,,1352.0,
2017-04-15 12:00:00,897.1333333333333,,696.6666666666665,,753.7333333333332,,,2179.6666666666665,1089.7333333333333,754.8,754.8,673.7333333333332,1250.0666666666666,,1261.0,
2017-04-15 12:15:00,766.0,,599.0666666666667,,748.0666666666667,,,1909.0666666666666,1211.9333333333334,700.6666666666665,700.6666666666665,637.2666666666668,1502.533333333333,,1111.7333333333333,
2017-04-15 12:30:00,630.1333333333333,,579.8666666666667,,691.9333333333333,,,1190.3333333333333,1367.4666666666667,718.7333333333332,718.7333333333332,575.4,1390.1333333333334,,766.0,
2017-04-15 12:45:00,552.6666666666666,,588.1333333333333,,657.2666666666668,,,1742.1333333333334,1246.0,639.7333333333332,639.7333333333332,509.8,1129.9333333333334,,702.8,
2017-04-15 13:00:00,520.9333333333333,,562.0,,688.3333333333335,,,965.6666666666665,1319.7333333333333,522.5333333333333,522.5333333333333,432.53333333333336,907.5333333333333,,634.0,
2017-04-15 13:15:00,508.33333333333326,,626.0666666666667,,693.0,,,1105.6,946.4,496.53333333333336,496.53333333333336,403.26666666666665,703.4,,603.5333333333333,
2017-04-15 13:30:00,502.6,,590.9333333333333,,608.6666666666666,,,781.6,1243.4,487.73333333333335,487.73333333333335,407.2,667.3333333333334,,564.8,
2017-04-15 13:45:00,475.13333333333327,,564.0666666666667,,572.8,,,866.2,969.4666666666667,456.4666666666666,456.4666666666666,392.26666666666665,654.1333333333333,,580.0666666666667,
2017-04-15 14:00:00,468.2,,564.7333333333332,,549.8666666666667,,,710.8,749.8666666666667,443.13333333333327,443.13333333333327,381.6,701.0,,576.5333333333333,
2017-04-15 14:15:00,460.8,,575.0666666666667,,581.8,,,620.0666666666667,676.0,447.13333333333327,447.13333333333327,371.4,672.4666666666667,,607.8666666666667,
