Date/Time,1502_O_BLPK,1768_O_WLKG,2071_O_NOSD,2281_O_HiPK,2557_O_SHADY,2661_O_ELOT,3555_O_SCLL,4387_O_EDWD,4431_O_WBG,4530_O_CNTP,4710_O_SQHN,5179_O_SHRP,5571_O_BUFF,5679_O_BLOO,6561_O_MRSD,6582_O_OAKD,6949_O_CHWK,7543_O_MILL,8100_O_PTBZ,8356_O_OHRA,8941_O_MTLE,8997_O_XXXX
2017-11-18 23:00:00,648.8666666666667,,,,1016.4666666666667,2063.4,,,333.73333333333335,,5065.4,1964.6,618.9333333333333,2907.333333333333,1181.8666666666666,,2593.333333333333,4189.733333333334,,1363.4666666666667,,812.6
2017-11-18 23:15:00,621.0,,,,836.9333333333333,1769.333333333333,,,297.8666666666667,,4399.8,1264.7333333333333,589.6666666666666,3242.4,890.5333333333333,,1624.7333333333331,5382.066666666667,,2100.4666666666667,,812.6666666666665
2017-11-18 23:30:00,716.3333333333335,,,,762.6666666666665,1454.333333333333,,,317.6,,2797.266666666667,974.5333333333333,541.8666666666667,1951.466666666667,734.0666666666667,,1151.2,5820.333333333332,,3131.2,,763.5333333333333
2017-11-18 23:45:00,610.6666666666666,,,,704.8,998.3333333333335,,,368.66666666666674,,1662.1333333333334,803.8,147.53333333333333,1292.6,680.8666666666667,,827.2666666666668,4826.4,,2859.266666666667,,751.8666666666667
2017-11-19 00:00:00,332.0,,,,791.8666666666667,737.3333333333335,,,442.4,,1126.8,761.4666666666667,63.8,1144.6666666666667,293.6666666666667,,196.46666666666667,3941.4666666666662,,1810.4,,724.2
2017-11-19 00:15:00,101.13333333333334,,,,553.4,654.0666666666667,,,174.26666666666668,,976.1333333333333,770.6666666666665,61.73333333333333,834.8,96.86666666666666,,69.73333333333333,1874.8666666666666,,1176.8,,657.0666666666667
2017-11-19 00:30:00,69.0,,,,380.06666666666666,591.6,,,73.2,,913.4,146.33333333333334,68.8,761.7333333333332,63.26666666666666,,61.73333333333333,969.6666666666665,,905.1333333333333,,627.0666666666667
2017-11-19 00:45:00,67.06666666666666,,,,282.1333333333333,546.7333333333332,,,56.66666666666666,,899.9333333333333,75.2,76.2,702.4,59.46666666666667,,53.2,866.2,,763.6,,594.4666666666667
2017-11-19 01:00:00,60.93333333333333,,,,232.0,123.8,,,50.86666666666667,,343.7333333333333,88.33333333333331,87.6,285.8,58.6,,110.8,425.8,,482.66666666666674,,568.4666666666667
2017-11-19 01:15:00,62.46666666666667,,,,184.8,82.06666666666666,,,51.86666666666667,,179.73333333333332,83.06666666666666,71.66666666666667,111.86666666666666,61.73333333333333,,364.66666666666674,110.46666666666668,,97.73333333333332,,506.06666666666666
2017-11-19 01:30:00,57.86666666666667,,,,159.06666666666666,98.13333333333334,,,47.66666666666666,,140.8,94.26666666666668,71.33333333333333,104.0,77.6,,264.73333333333335,93.06666666666666,,82.0,,397.26666666666665
2017-11-19 01:45:00,165.6,,,,129.8,76.93333333333334,,,50.4,,80.86666666666666,102.4,73.0,69.66666666666667,97.2,,726.6666666666665,71.4,,132.0,,313.6
2017-11-19 02:00:00,170.8,,,,109.4,76.13333333333334,,,44.33333333333334,,111.26666666666668,169.4,73.2,91.66666666666669,112.26666666666668,,1172.6666666666667,76.46666666666667,,115.06666666666666,,249.9333333333333
2017-11-19 02:15:00,196.7333333333333,,,,102.06666666666666,62.8,,,49.66666666666666,,137.0,121.0,74.33333333333333,101.26666666666668,72.6,,139.0,92.53333333333332,,99.0,,207.4
2017-11-19 02:30:00,194.9333333333333,,,,75.13333333333334,62.8,,,53.46666666666667,,88.13333333333334,101.2,70.4,95.6,61.8,,150.06666666666666,137.0,,106.33333333333331,,169.06666666666666
2017-11-19 02:45:00,227.2,,,,70.73333333333333,57.4,,,57.8,,75.8,106.0,90.46666666666668,84.93333333333334,63.46666666666667,,304.93333333333334,114.6,,105.06666666666666,,140.93333333333334
2017-11-19 03:00:00,241.06666666666663,,,,49.26666666666666,59.66666666666666,,,53.66666666666666,,76.13333333333334,101.46666666666668,111.13333333333334,74.33333333333333,57.6,,423.13333333333327,120.6,,115.26666666666668,,119.13333333333334
2017-11-19 03:15:00,176.73333333333332,,,,40.66666666666666,56.06666666666667,,,58.73333333333333,,70.06666666666666,121.13333333333334,110.53333333333332,67.26666666666667,,,557.1333333333333,84.06666666666666,,153.33333333333334,,104.46666666666668
2017-11-19 03:30:00,245.06666666666663,,,,35.53333333333333,62.06666666666667,,,53.66666666666666,,71.0,122.33333333333331,119.53333333333332,70.73333333333333,,,162.0,90.06666666666666,,110.13333333333334,,89.66666666666669
2017-11-19 03:45:00,234.9333333333333,,,,34.0,72.73333333333333,,,53.33333333333334,,76.13333333333334,142.46666666666667,145.66666666666666,66.13333333333334,,,152.6,77.33333333333333,,112.26666666666668,,81.8
2017-11-19 04:00:00,302.6,,,,31.13333333333333,68.26666666666667,,,64.2,,87.4,141.0,157.86666666666667,78.53333333333333,,,2621.6,79.4,,111.13333333333334,,72.93333333333334
2017-11-19 04:15:00,467.73333333333335,,,,32.73333333333333,74.8,,,66.66666666666667,,88.6,141.53333333333333,194.86666666666667,80.06666666666666,,,227.7333333333333,91.2,,121.66666666666669,,64.0
2017-11-19 04:30:00,668.0,,,,31.13333333333333,78.33333333333333,,,64.13333333333334,,94.0,159.26666666666668,264.4,81.13333333333334,,,176.66666666666663,100.0,,127.13333333333334,,63.4
2017-11-19 04:45:00,458.53333333333336,,,,32.0,75.2,,,95.86666666666666,,93.73333333333332,168.46666666666667,385.13333333333327,86.06666666666666,,,198.2,105.26666666666668,,139.86666666666667,,55.6
2017-11-19 05:00:00,443.06666666666666,,,,35.53333333333333,80.86666666666666,,,122.06666666666666,,92.6,213.13333333333333,524.8,87.0,,,240.53333333333333,111.86666666666666,,147.73333333333332,,52.93333333333333
2017-11-19 05:15:00,466.53333333333336,,,,33.333333333333336,90.86666666666666,,,161.53333333333333,,104.73333333333332,196.4,584.1333333333333,87.86666666666666,,,193.86666666666667,110.73333333333332,,161.0,,51.73333333333333
2017-11-19 05:30:00,465.4,,,,39.66666666666666,101.6,,,169.6,,127.6,235.86666666666667,591.5333333333333,107.93333333333334,,,194.4,125.93333333333334,,162.33333333333334,,50.93333333333333
2017-11-19 05:45:00,455.53333333333336,,,,55.4,128.2,,,182.86666666666667,,154.53333333333333,307.53333333333336,582.3333333333334,132.6,,,479.4,139.4,,190.66666666666663,,50.0
2017-11-19 06:00:00,494.2,,,,59.86666666666667,151.46666666666667,,,220.2,,186.26666666666668,374.4,592.0,149.06666666666666,,,280.4,161.46666666666667,,205.13333333333333,,51.13333333333333
2017-11-19 06:15:00,526.7333333333332,,,,60.26666666666666,181.6,,,237.86666666666667,,225.2,425.4666666666666,625.6,180.9333333333333,,,340.6666666666667,189.8,,239.66666666666663,,53.0
