Date/Time,1040_O_MCCA,2071_O_NOSD,4124_O_FRONT,4431_O_WBG,4584_O_MOON,5571_O_BUFF,5662_O_DOWN,5679_O_BLOO,6227_O_ELIB,6386_O_SOSI,7543_O_MILL,7956_O_BELL
2016-11-22 14:00:00,672.5333333333333,836.2666666666668,1326.7333333333333,1115.2,660.3333333333334,463.33333333333326,808.3333333333335,652.6666666666666,696.0,948.9333333333333,,748.9333333333333
2016-11-22 14:15:00,695.4,972.6,1440.666666666667,1140.1333333333334,713.6,502.0,789.3333333333335,893.4,666.9333333333333,971.8666666666667,,699.4
2016-11-22 14:30:00,762.0666666666667,872.4666666666667,1439.8666666666666,1155.5333333333333,774.0,507.66666666666674,803.4666666666667,981.5333333333333,682.9333333333333,1041.5333333333333,,836.8666666666667
2016-11-22 14:45:00,772.8,934.2666666666668,1417.8,1129.0666666666666,814.6,485.4666666666666,1000.8,1033.4,649.6666666666666,1104.5333333333333,,906.4666666666667
2016-11-22 15:00:00,837.3333333333335,1005.0666666666667,1446.7333333333331,1107.5333333333333,841.0,511.86666666666673,978.0666666666667,1069.4666666666667,698.6666666666665,1171.2,,898.5333333333333
2016-11-22 15:15:00,907.4666666666667,1032.9333333333334,1373.5333333333333,1021.1333333333333,824.2666666666668,546.8,1041.5333333333333,1156.2666666666667,738.6,1162.4,,855.6666666666665
2016-11-22 15:30:00,959.8,1983.533333333333,1413.466666666667,929.5333333333333,860.0666666666667,603.2666666666668,1086.0,1244.6,869.0666666666667,1286.1333333333334,,928.0666666666667
2016-11-22 15:45:00,980.4,1757.1333333333334,1522.1333333333334,907.0,908.0666666666667,574.9333333333333,1150.5333333333333,1396.666666666667,1052.8,1291.5333333333333,,932.3333333333335
2016-11-22 16:00:00,1020.8666666666667,1459.8666666666666,1544.1333333333334,831.6,949.5333333333333,569.2,1146.1333333333334,1513.4,959.8666666666667,1467.0666666666666,,972.0
2016-11-22 16:15:00,1131.6,1159.8666666666666,1553.4,805.6,931.6666666666665,563.8,1170.8,1582.9333333333334,1187.3333333333333,1363.3333333333333,,1009.9333333333333
