Date/Time,4363_O_SQHS,7915_O_ROSS,8998_O_CHAR,5571_O_BUFF,1249_O_GRTR,8367_O_DORM,5088_O_DORM,3794_O_DORM,2759_O_BRHT,5624_O_BUFF,4431_O_WBG,8941_O_MTLE,4179_O_SPHL,5623_O_LWCV,3781_O_EDTW
2018-12-18 19:45:00,1337.2,2149.6666666666665,964.6,,1249.1333333333334,1318.2666666666667,1654.0,3155.866666666667,,,,1550.1333333333334,1142.4666666666667,2631.3333333333335,
2018-12-18 20:00:00,1325.8666666666666,2890.866666666667,3022.2,,1412.0666666666666,1507.4666666666667,2063.3333333333335,2026.4,,,,1503.5333333333333,1557.6,2189.4,
2018-12-18 20:15:00,1311.6666666666667,2221.9333333333334,2571.5333333333333,,1845.7333333333333,1605.6,1751.5333333333333,1455.0666666666666,,,,1625.4,1783.6,2502.4666666666667,
2018-12-18 20:30:00,1602.5333333333333,3283.4,1535.5333333333333,,1784.3333333333333,1786.4,1758.4666666666667,1595.8666666666666,,,,1603.3333333333333,2257.733333333333,2659.266666666667,
2018-12-18 20:45:00,1978.4,3296.2,1338.8666666666666,,1746.2666666666667,1394.1333333333334,1712.8,1842.4,,,,1642.5333333333333,2596.6,2024.3333333333333,
2018-12-18 21:00:00,2578.5333333333333,3495.0,1056.2666666666667,,1900.2,1666.5333333333333,1732.2,1915.4666666666667,,,,1665.7333333333333,2637.3333333333335,2067.0666666666666,
2018-12-18 21:15:00,3291.6666666666665,3502.9333333333334,1100.9333333333334,,2028.4,1697.1333333333334,1812.8,2175.8,,,,1719.6666666666667,2259.733333333333,1872.3333333333333,
2018-12-18 21:30:00,3131.6666666666665,3157.2,585.0666666666667,,2186.4666666666667,1627.8,1884.6666666666667,2505.5333333333333,,,,1798.6666666666667,2145.133333333333,2177.2,
2018-12-18 21:45:00,3593.5333333333333,2912.266666666667,377.26666666666665,,2301.266666666667,1550.7333333333333,2068.0,2749.266666666667,,,,1794.9333333333334,2151.0,2613.866666666667,
2018-12-18 22:00:00,3859.6,3242.733333333333,298.1333333333333,,2747.5333333333333,1469.2666666666667,1995.0,2584.8,,,,1800.0,2550.5333333333333,2647.8,
2018-12-18 22:15:00,3377.4666666666667,3344.4666666666667,515.7333333333333,,3016.2,1658.4,1921.8666666666666,2282.0,,,,1877.7333333333333,2583.6,2462.3333333333335,
2018-12-18 22:30:00,3315.2,3326.6,516.4,,2985.4666666666667,1888.4,2603.6,2434.0666666666666,,,,1921.1333333333334,2988.733333333333,2630.0,
2018-12-18 22:45:00,3402.4,3485.266666666667,437.46666666666664,,2903.6,2207.133333333333,2619.133333333333,2481.733333333333,,,,1947.7333333333333,3289.0,2916.3333333333335,
2018-12-18 23:00:00,4210.733333333334,3639.866666666667,390.4,,2533.266666666667,1992.0666666666666,2699.9333333333334,2386.866666666667,,,,1982.4666666666667,3397.0,2505.4666666666667,
2018-12-18 23:15:00,4339.4,3691.6,360.06666666666666,,2544.733333333333,1933.9333333333334,2814.866666666667,2578.6,,,,2059.866666666667,3132.866666666667,2678.266666666667,
2018-12-18 23:30:00,3572.6,4022.3333333333335,343.8,,2435.2,1949.0666666666666,2950.5333333333333,2271.2,,,,1982.7333333333333,3893.0666666666666,2745.4,
2018-12-18 23:45:00,4021.866666666667,4524.4,339.8666666666667,,2637.266666666667,1626.8666666666666,2744.4,2281.4,,,,2019.1333333333334,4044.0,2642.4666666666667,
2018-12-19 00:00:00,5495.4,4444.0,325.8,,2698.4,1561.0,2686.266666666667,2573.3333333333335,,,,2088.733333333333,3613.866666666667,2578.8,
2018-12-19 00:15:00,5904.933333333333,4520.4,326.6,,2542.4,1512.8666666666666,2712.4,2942.3333333333335,,,,2172.266666666667,3458.4666666666667,2614.866666666667,
2018-12-19 00:30:00,6470.733333333334,4417.866666666667,328.8666666666667,,2585.4,1375.2666666666667,2140.4666666666667,3080.4666666666667,,,,2141.9333333333334,3411.866666666667,2664.8,
2018-12-19 00:45:00,7739.866666666667,4382.466666666666,328.46666666666664,,2280.6,1484.4666666666667,2079.6666666666665,2967.4666666666667,,,,2133.0,3384.733333333333,3224.866666666667,
2018-12-19 01:00:00,8537.4,4421.4,328.53333333333336,,2032.6,1820.1333333333334,2190.133333333333,2799.2,,,,2455.2,3433.6666666666665,2806.3333333333335,
