Date/Time,1282_O_BCVW,1404_O_TROY,2071_O_NOSD,2281_O_HiPK,3555_O_SCLL,4431_O_WBG,4831_O_HIPK,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,6809_O_SQHS,7460_O_FRHL,7543_O_MILL,7635_O_BRAD,8183_O_MILL,8698_O_NOSD,8941_O_MTLE
2017-07-15 03:15:00,1130.4666666666667,,1764.0666666666666,,,1535.666666666667,691.5333333333333,,,705.3333333333335,1311.6666666666667,1042.7333333333333,1267.6666666666667,1352.8,,1204.2,1277.5333333333333,592.8666666666667
2017-07-15 03:30:00,1137.4666666666667,,1704.8,,,1541.0,662.7333333333332,,,682.4666666666667,1414.8666666666666,1008.3333333333335,1320.8,1348.4,,1215.2,1237.4666666666667,599.4666666666667
2017-07-15 03:45:00,1149.4666666666667,,1624.8666666666666,,,1442.466666666667,676.7333333333332,,,700.6666666666665,1522.0666666666666,1030.8666666666666,1368.2,1392.0666666666666,,1228.8,1217.5333333333333,631.2666666666668
2017-07-15 04:00:00,1230.4666666666667,,1495.7333333333331,,,1538.8666666666666,692.0666666666667,,,679.3333333333334,1639.466666666667,1051.2666666666667,1440.333333333333,1429.0,,1235.7333333333333,1229.8666666666666,645.8666666666667
2017-07-15 04:15:00,1349.4,,1546.466666666667,,,1952.466666666667,704.3333333333335,,,705.4,1711.2666666666669,1076.7333333333333,1521.2666666666669,1476.9333333333334,,1224.0,1214.0666666666666,691.1333333333333
2017-07-15 04:30:00,1494.0,,1515.7333333333331,,,1866.333333333333,790.0666666666667,,,756.2666666666668,1810.6,1125.1333333333334,2224.933333333333,1500.8666666666666,,1201.1333333333334,1068.7333333333333,706.0666666666667
2017-07-15 04:45:00,1573.2,,1546.666666666667,,,2041.0,836.6,,,821.8666666666667,1823.8,1144.6,2013.0666666666666,1530.8,,1240.1333333333334,1174.2666666666667,1898.1333333333332
2017-07-15 05:00:00,1610.2666666666669,,1604.8,,,2965.066666666666,872.6,,,871.8,1870.9333333333332,1152.3333333333333,1681.2,1559.1333333333334,,1245.0,1091.0,1018.8666666666667
2017-07-15 05:15:00,1644.4,,1771.1333333333334,,,1697.2666666666669,811.8,,,908.8,2012.0,1250.2666666666667,1650.7333333333331,1534.8666666666666,,1178.8,1087.4,888.8666666666667
2017-07-15 05:30:00,1658.533333333333,,1709.666666666667,,,1250.2,832.6666666666665,,,917.3333333333335,2153.0,1323.6666666666667,1670.333333333333,1532.0,,1185.6666666666667,1140.5333333333333,875.1333333333333
2017-07-15 05:45:00,1704.2,,1729.466666666667,,,1337.4666666666667,838.2,,,961.1333333333333,2117.2,1360.4,1641.533333333333,1590.666666666667,,1292.0666666666666,1141.0,896.3333333333335
