Date/Time,2784_O_SQHL,3353_O_MEWD,3911_O_HIPK,1571_O_BLPK,8936_O_WMIF,8230_O_OHAK,2544_O_MANA,6098_O_WMIF,8063_O_PTBR,5572_O_MESD,5351_O_PTBR,1213_O_ROSS,1613_O_FDCY,4278_O_EDWD
2024-09-15 22:00:00,1064.4666666666667,951.0,1126.5333333333333,1494.5333333333333,1105.7333333333333,1544.9333333333334,996.2,,1146.0666666666666,1173.6,1059.3333333333333,,,1046.6666666666667
2024-09-15 22:15:00,1141.1333333333334,961.6666666666666,1084.2666666666667,1450.4666666666667,1183.2666666666667,1430.5333333333333,889.2,,1186.4,1148.2666666666667,1085.3333333333333,,,1137.5333333333333
2024-09-15 22:30:00,1155.6666666666667,964.9333333333333,1022.8666666666667,1406.7333333333333,1227.2,1531.4666666666667,941.2,,1170.4666666666667,1142.2666666666667,1117.4666666666667,,,1179.0666666666666
2024-09-15 22:45:00,1068.4,1006.3333333333334,1010.3333333333334,1454.0,1270.7333333333333,1248.0666666666666,870.2666666666667,,1181.0666666666666,1161.9333333333334,1136.4,,,1110.2666666666667
2024-09-15 23:00:00,1098.3333333333333,1039.0,1018.2,1463.8666666666666,1267.9333333333334,1751.1333333333334,782.4,,1192.0666666666666,1124.8666666666666,1153.6,,,1131.6666666666667
2024-09-15 23:15:00,1273.4,1019.3333333333334,1025.2,1502.8,1351.4,1580.0666666666666,789.7333333333333,,1210.0,1154.3333333333333,1213.5333333333333,,,1126.9333333333334
2024-09-15 23:30:00,1152.7333333333333,990.2666666666667,1056.4666666666667,1521.0666666666666,1469.0666666666666,1268.1333333333334,753.2,,1274.1333333333334,1146.3333333333333,1231.4666666666667,,,1128.5333333333333
2024-09-15 23:45:00,1041.4666666666667,981.8,1135.4,1570.7333333333333,1532.1333333333334,1210.2,760.9333333333333,,1284.3333333333333,1176.4666666666667,1251.5333333333333,,,1125.1333333333334
2024-09-16 00:00:00,1016.0,1015.3333333333334,1240.6666666666667,1597.6666666666667,1668.0666666666666,1322.6666666666667,785.8666666666667,,1275.8,1262.3333333333333,1226.0,,,1169.9333333333334
2024-09-16 00:15:00,1001.0,1020.8,1246.3333333333333,1648.8,1776.5333333333333,1266.0,782.6,,1288.5333333333333,1242.4,1222.8,,,1152.1333333333334
2024-09-16 00:30:00,987.3333333333334,1031.2666666666667,1276.1333333333334,1685.4,1794.8666666666666,1227.3333333333333,788.6,,1282.6666666666667,1284.4,1207.8666666666666,,,1148.8
2024-09-16 00:45:00,962.6,1029.0666666666666,1342.6666666666667,1915.9333333333334,1875.6666666666667,1137.5333333333333,822.1333333333333,,1288.8666666666666,1256.0666666666666,1167.4,,,1182.2
2024-09-16 01:00:00,963.4,1006.0,1310.4666666666667,1751.2666666666667,2014.2,1133.5333333333333,805.5333333333333,,1283.0666666666666,1196.8666666666666,1172.8666666666666,,,1193.1333333333334
2024-09-16 01:15:00,954.1333333333333,1000.5333333333333,1362.6,1776.8666666666666,2057.4,2072.9333333333334,819.5333333333333,,1258.0,1195.8666666666666,1220.1333333333334,,,1262.9333333333334
2024-09-16 01:30:00,967.9333333333333,1012.6,1422.9333333333334,1746.2666666666667,2003.7333333333333,1997.0666666666666,858.9333333333333,,1271.4,1170.4666666666667,1207.9333333333334,,,1202.8
2024-09-16 01:45:00,977.0666666666667,1024.4666666666667,1475.8,1749.6666666666667,1981.0,1226.0666666666666,884.0666666666667,,1275.6,1236.9333333333334,1191.0666666666666,,,1206.0
2024-09-16 02:00:00,1005.2,996.0666666666667,1470.2,1728.1333333333334,1839.0,1280.3333333333333,897.1333333333333,,1267.3333333333333,1250.9333333333334,1200.9333333333334,,,1189.6666666666667
2024-09-16 02:15:00,1019.4,1034.4,1506.7333333333333,1729.8,1735.4,1316.0666666666666,944.4,,1301.8666666666666,1224.4666666666667,1215.8,,,1235.4
2024-09-16 02:30:00,1026.0666666666666,1029.6,1545.2,1759.1333333333334,1545.4666666666667,1287.6,939.3333333333334,,1353.2666666666667,1327.5333333333333,1238.9333333333334,,,1354.8
2024-09-16 02:45:00,1033.6,1035.0666666666666,1642.6666666666667,1810.6666666666667,1476.6666666666667,1271.6666666666667,859.6,,1375.0,1353.4666666666667,1232.0666666666666,,,1358.2666666666667
2024-09-16 03:00:00,1059.0666666666666,999.6666666666666,1610.2,1807.0,1335.5333333333333,1281.1333333333334,933.3333333333334,,1363.2666666666667,1255.4,1237.2666666666667,,,1391.1333333333334
2024-09-16 03:15:00,1067.3333333333333,1012.6666666666666,1526.6666666666667,1929.1333333333334,1361.3333333333333,1293.5333333333333,1020.4666666666667,,1345.6,1226.7333333333333,1260.2666666666667,,,1475.0666666666666
2024-09-16 03:30:00,1063.8,1061.6666666666667,1578.7333333333333,2010.6,1361.2666666666667,1291.5333333333333,1034.2,,1330.2,1260.1333333333334,1285.8666666666666,,,1566.5333333333333
2024-09-16 03:45:00,1094.0666666666666,1081.6666666666667,1635.2,2111.2,1384.2,1359.6,990.2,,1371.6,1256.8,1330.7333333333333,,,1703.4
2024-09-16 04:00:00,1151.4666666666667,964.8,1738.7333333333333,2212.6666666666665,1384.8,1397.9333333333334,1030.6,,1527.1333333333334,1269.0,1410.7333333333333,,,2011.2
2024-09-16 04:15:00,1243.7333333333333,996.6,1751.6666666666667,2238.266666666667,1373.6,1514.4666666666667,1032.9333333333334,,1642.2666666666667,1277.8666666666666,1397.6666666666667,,,2493.0666666666666
2024-09-16 04:30:00,1334.3333333333333,971.6,1798.1333333333334,2357.0666666666666,1372.6666666666667,1690.3333333333333,966.0666666666667,,1706.6666666666667,1318.2,1428.6666666666667,,,2489.4
2024-09-16 04:45:00,1343.3333333333333,1012.4,1844.8666666666666,2445.5333333333333,1388.4,1826.4666666666667,1034.6,,1744.2666666666667,1313.7333333333333,1492.2,,,2387.4
2024-09-16 05:00:00,1312.8666666666666,994.5333333333333,1844.3333333333333,2540.866666666667,1378.7333333333333,1878.6666666666667,1039.7333333333333,,1740.8,1262.1333333333334,1540.6666666666667,,,2238.0
2024-09-16 05:15:00,1236.5333333333333,925.7333333333333,1752.4666666666667,2629.266666666667,1409.0666666666666,1891.4666666666667,1169.5333333333333,,1683.3333333333333,1274.4666666666667,1501.3333333333333,,,2036.6666666666667
