Date/Time,7924_O_DMBR,2366_O_DMBR,4074_O_SQHN,3671_O_LGNR,5712_O_IOCY_IO,2239_O_MRVL,4876_O_DMBR,3844_O_FRHL,2020_O_CASM_CA,1039_O_BRHT,6393_O_MRVL,5012_O_PTBR,7209_O_MTLE,8014_O_MWSH,1384_O_KSLW_KS,6712_O_MNNH_MN,4674_O_GNFD,7993_O_WLKG,7710_O_ELIB,8750_O_DOWN,4431_O_WBG,6132_O_MONG,8508_O_XXXX,4436_O_XXXX
2022-03-16 01:15:00,1510.3333333333333,1090.0666666666666,1267.8666666666666,2331.4,8649.8,1150.5333333333333,750.0,3456.6,2110.0666666666666,1773.2,1398.5333333333333,1782.4666666666667,1050.1333333333334,1921.6,3396.733333333333,3931.0,,,1538.4666666666667,1120.0,,1246.7333333333333,,
2022-03-16 01:30:00,1491.0,1109.4,1620.1333333333334,2273.4,8726.333333333334,1042.9333333333334,699.0,3510.0,2055.0,1899.9333333333334,1347.1333333333334,2837.733333333333,1008.4666666666667,1936.9333333333334,3361.4,4075.8,,,1655.2,1041.3333333333333,,1346.1333333333334,,
2022-03-16 01:45:00,1425.2,1105.7333333333333,2099.266666666667,2066.133333333333,8590.666666666666,1760.0,691.0,2629.2,2241.4666666666667,1858.6666666666667,1447.7333333333333,3061.0,986.9333333333333,1706.0,3378.2,4253.8,,,1888.0,1045.2,,1368.7333333333333,,
2022-03-16 02:00:00,1358.4,1208.9333333333334,2116.5333333333333,2046.2,8885.933333333332,1267.2666666666667,712.1333333333333,2803.266666666667,2370.0666666666666,1836.9333333333334,1480.8666666666666,5085.2,932.2,1785.9333333333334,3229.2,4213.133333333333,,,2157.2,1045.7333333333333,,1319.3333333333333,,
2022-03-16 02:15:00,1339.5333333333333,1358.5333333333333,1729.4,2416.0666666666666,8846.133333333333,1284.4,739.7333333333333,3134.3333333333335,2759.0666666666666,1872.0666666666666,1530.0666666666666,5274.866666666667,895.2666666666667,1638.4666666666667,3157.5333333333333,3805.3333333333335,,,2621.9333333333334,1040.6,,1343.3333333333333,,
2022-03-16 02:30:00,1340.5333333333333,1501.7333333333333,2166.266666666667,2812.4666666666667,9148.066666666668,1342.2666666666667,783.4666666666667,2291.133333333333,2937.133333333333,1942.4,1546.1333333333334,5751.266666666666,936.3333333333334,1312.0666666666666,3243.733333333333,3719.6666666666665,,,2582.0666666666666,1015.8,,1400.6666666666667,,
2022-03-16 02:45:00,1381.0,1579.7333333333333,2771.4,2706.2,8671.666666666666,1197.7333333333333,878.4666666666667,2251.4666666666667,2886.733333333333,1985.5333333333333,1582.7333333333333,5840.266666666666,923.8666666666667,1364.7333333333333,3258.866666666667,3724.733333333333,,,2832.133333333333,1049.6,,1403.7333333333333,,
2022-03-16 03:00:00,1415.6666666666667,1480.4,3305.4666666666667,3077.9333333333334,8541.8,1292.2666666666667,903.2,2281.2,2573.0,1958.8,1750.8,5766.533333333334,933.7333333333333,1550.0666666666666,3112.0,3928.0,,,3088.733333333333,1078.4,,1389.4,,
2022-03-16 03:15:00,1462.4,1421.3333333333333,4035.2,2808.3333333333335,8597.133333333333,1132.2,1005.5333333333333,2470.733333333333,2489.4666666666667,1970.6,1896.5333333333333,5898.933333333333,890.0666666666667,1607.3333333333333,3238.5333333333333,4118.8,,,3423.8,1086.5333333333333,,1375.5333333333333,,
2022-03-16 03:30:00,1536.6,1387.1333333333334,4503.733333333334,2999.733333333333,8615.933333333332,886.8666666666667,1265.5333333333333,2508.3333333333335,2545.0,2002.0666666666666,1863.4666666666667,5635.866666666667,920.8,1506.8666666666666,3213.733333333333,3915.6666666666665,,,3435.266666666667,1096.4666666666667,,1423.8,,
2022-03-16 03:45:00,1502.7333333333333,1332.8666666666666,4573.6,3522.4,8772.266666666666,932.6,1134.8,2472.733333333333,2566.0666666666666,1974.8666666666666,1944.4,5920.6,915.3333333333334,1679.8666666666666,3608.3333333333335,4027.3333333333335,,,3323.0,1142.2666666666667,,1474.6666666666667,,
2022-03-16 04:00:00,1747.0,1351.9333333333334,4626.333333333333,3394.266666666667,8435.2,918.5333333333333,1383.3333333333333,3022.9333333333334,2655.0,2067.8,2017.6,5982.266666666666,913.5333333333333,1603.0666666666666,3292.6666666666665,4032.733333333333,,,3374.266666666667,1210.8666666666666,,1511.6,,
2022-03-16 04:15:00,1826.5333333333333,1355.8666666666666,4782.066666666667,3327.4,8859.0,919.4666666666667,1395.9333333333334,2478.5333333333333,2664.8,2096.866666666667,1969.5333333333333,6390.133333333333,996.3333333333334,1667.9333333333334,3371.133333333333,4195.066666666667,,,3162.133333333333,1237.8666666666666,,1501.7333333333333,,
2022-03-16 04:30:00,1755.6,1314.9333333333334,4352.533333333334,3637.133333333333,8986.0,948.4,1252.3333333333333,2513.133333333333,2600.4666666666667,2181.133333333333,1960.2666666666667,6860.333333333333,991.1333333333333,1588.5333333333333,3402.0666666666666,4268.666666666667,,,2182.0,1215.6,,1536.3333333333333,,
2022-03-16 04:45:00,1824.8,1285.8666666666666,3533.5333333333333,3710.0,9182.933333333332,949.0666666666667,1396.8,2744.4666666666667,2696.3333333333335,2229.9333333333334,1832.4666666666667,7028.8,1023.9333333333333,2012.8666666666666,3265.733333333333,4230.533333333334,,,1707.9333333333334,1156.4,,1595.5333333333333,,
2022-03-16 05:00:00,1741.6666666666667,1305.8666666666666,3649.8,3731.4,9416.6,944.0666666666667,1619.7333333333333,3149.5333333333333,2702.733333333333,2275.9333333333334,1980.4666666666667,7503.066666666667,1049.2666666666667,2151.3333333333335,3454.866666666667,4073.3333333333335,,,1592.9333333333334,1255.0666666666666,,1706.4,,
2022-03-16 05:15:00,1662.0,1334.8,4433.8,3624.3333333333335,9837.0,1047.5333333333333,1723.4,3496.9333333333334,2581.0,2227.3333333333335,2020.4666666666667,7755.8,1156.3333333333333,2362.266666666667,3610.8,4176.666666666667,,,1779.5333333333333,1345.2,,1758.5333333333333,,
2022-03-16 05:30:00,1872.6666666666667,1396.1333333333334,4416.6,3833.4666666666667,10295.533333333333,962.2,1624.4666666666667,3492.6666666666665,2559.3333333333335,2326.3333333333335,2003.0666666666666,9073.733333333334,1242.5333333333333,2475.5333333333333,3545.9333333333334,4435.466666666666,,,1854.3333333333333,1474.0,,1564.6,,
2022-03-16 05:45:00,1738.3333333333333,1439.1333333333334,5329.333333333333,3946.8,10196.666666666666,949.4666666666667,1584.0,3453.133333333333,2593.4666666666667,2337.9333333333334,2162.2,9932.933333333332,1171.5333333333333,2699.4666666666667,3399.3333333333335,4527.666666666667,,,1952.5333333333333,1551.9333333333334,,1496.6,,
2022-03-16 06:00:00,1878.8666666666666,1435.1333333333334,7270.6,4432.666666666667,10953.0,1006.9333333333333,1422.0,3630.6,2731.733333333333,2485.733333333333,2185.6666666666665,9639.133333333333,1132.6,3141.0,3492.9333333333334,4492.6,,,1842.3333333333333,1578.3333333333333,,1526.7333333333333,,
2022-03-16 06:15:00,1896.0,1460.8,7070.333333333333,3791.4666666666667,10277.933333333332,985.5333333333333,1643.8,4434.266666666666,2738.6666666666665,2468.866666666667,2240.9333333333334,9553.466666666667,1131.7333333333333,3717.2,3769.0,4517.533333333334,,,1810.8,1647.1333333333334,,1556.6,,
2022-03-16 06:30:00,1875.7333333333333,1564.4666666666667,7387.933333333333,4157.333333333333,10940.733333333334,945.8666666666667,1723.4,5469.933333333333,2844.133333333333,2442.266666666667,2276.0666666666666,9349.6,1157.4,3731.866666666667,4452.466666666666,4454.533333333334,,,1826.6,1716.2,,1685.0,,
2022-03-16 06:45:00,1953.4666666666667,1549.1333333333334,7550.875,4247.666666666667,11993.133333333333,957.4,1768.9333333333334,3556.133333333333,2849.6666666666665,2354.866666666667,2274.266666666667,9154.466666666667,1330.4,3724.6666666666665,4424.2,4358.4,,,1786.8,1840.3333333333333,,1764.4666666666667,,
2022-03-16 07:00:00,2058.6666666666665,1609.3333333333333,,4657.333333333333,12278.266666666666,904.4666666666667,1727.2,2571.6,2934.2,2376.6,2210.9333333333334,8910.066666666668,1290.2,3391.9333333333334,4185.0,4106.133333333333,,,1808.1333333333334,2313.9333333333334,,1677.1333333333334,,
2022-03-16 07:15:00,2024.6,1615.6666666666667,,4451.8,12786.0,907.2666666666667,1542.6,1983.6666666666667,2863.4,2452.4,2401.6,5876.133333333333,1365.2,3951.4666666666667,4260.933333333333,3943.266666666667,,,1808.2,2346.0,,1792.2666666666667,,
