Date/Time,1282_O_BCVW,1404_O_TROY,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,3283_O_LEET,3555_O_SCLL,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,6809_O_SQHS,7134_O_LWCV,7543_O_MILL,8183_O_MILL,8304_O_SQHS,8698_O_NOSD,8699_O_BLOO,8850_O_LWCV,8941_O_MTLE
2017-09-12 14:30:00,2.6666666666666665,,1662.0666666666666,728.8,,395.9333333333333,527.1333333333333,462.06666666666666,,205.2,205.2,420.86666666666673,,,400.9333333333333,467.66666666666674,657.8666666666667,553.9333333333333,2867.733333333333,515.2,425.4,1177.6666666666667
2017-09-12 14:45:00,5.133333333333334,,852.8,1213.2,,392.6,539.8666666666667,466.26666666666665,,208.7333333333333,208.7333333333333,418.06666666666666,,,404.73333333333335,450.86666666666673,1131.3333333333333,541.8,1782.466666666667,453.53333333333336,388.73333333333335,1287.8
2017-09-12 15:00:00,4.533333333333333,,744.8666666666667,661.7333333333332,,405.06666666666666,533.5333333333333,437.86666666666673,,180.46666666666667,180.46666666666667,416.4,,,426.06666666666666,471.73333333333335,490.4666666666666,546.6666666666666,1868.533333333333,454.0,398.13333333333327,742.9333333333333
2017-09-12 15:15:00,3.2,,592.8666666666667,670.6666666666666,,404.53333333333336,608.0666666666667,390.26666666666665,,128.6,128.6,447.73333333333335,,,443.9333333333333,486.13333333333327,473.2,553.0,1440.0666666666666,472.13333333333327,398.0,1257.6666666666667
2017-09-12 15:30:00,3.0,,613.1333333333333,668.8,,403.4,616.4,375.86666666666673,,122.8,122.8,469.9333333333333,,,434.33333333333326,502.4,472.86666666666673,566.9333333333333,1464.9333333333334,476.9333333333333,406.8,662.3333333333334
2017-09-12 15:45:00,0.8,,640.0666666666667,677.8,,404.4666666666666,606.3333333333334,369.53333333333336,,155.0,155.0,445.66666666666674,,,431.33333333333326,517.2,513.8666666666667,551.4,1417.4,457.86666666666673,468.0,922.6
2017-09-12 16:00:00,1.7333333333333334,,711.4,678.0,,403.8,592.6666666666666,463.2,,154.26666666666668,154.26666666666668,450.4,,,438.6,519.9333333333333,595.7333333333332,558.8,1599.7333333333331,452.2,486.53333333333336,660.3333333333334
2017-09-12 16:15:00,1.8666666666666667,,681.2,685.3333333333334,,483.86666666666673,589.4666666666667,413.33333333333326,,147.0,147.0,499.13333333333327,352.0,,437.6,531.2666666666668,522.5333333333333,560.6666666666666,1398.666666666667,515.9333333333333,444.4,638.6666666666666
2017-09-12 16:30:00,2.333333333333333,,666.3333333333334,671.7333333333332,,423.0,589.0666666666667,446.73333333333335,,162.26666666666668,162.26666666666668,510.8,346.6,,465.4,542.7333333333332,516.7333333333332,570.6,1541.2,514.8,452.33333333333326,607.6
2017-09-12 16:45:00,33.266666666666666,,634.7333333333332,634.4666666666667,,413.6,580.6,546.9333333333333,,179.06666666666663,179.06666666666663,595.6,346.0,,429.73333333333335,554.7333333333332,474.86666666666673,515.2666666666668,626.4666666666667,518.9333333333333,475.0,531.2
