Date/Time,2071_O_NOSD,2281_O_HiPK,2427_O_ELIB,4431_O_WBG,4841_O_STDT,5571_O_BUFF,5624_O_BUFF,6189_O_LARM,6227_O_ELIB,7220_O_SHADY,7543_O_MILL,7568_O_GIBS,8185_O_SWPK
2016-09-13 07:30:00,1626.0,,1143.9333333333334,873.8666666666667,,1009.6666666666665,1009.6666666666665,932.7333333333332,1167.4666666666667,2123.2,,1131.5333333333333,16095.4
2016-09-13 07:45:00,1706.666666666667,,1595.333333333333,835.2,,536.6666666666666,536.6666666666666,1314.0,1691.533333333333,2227.0666666666666,,1075.8666666666666,14772.733333333335
2016-09-13 08:00:00,1768.466666666667,,3816.066666666666,667.1333333333333,,497.06666666666666,497.06666666666666,7189.6,3272.733333333333,2004.1333333333332,,1044.2666666666667,13138.533333333333
2016-09-13 08:15:00,2021.666666666667,,9666.733333333334,576.6666666666666,,474.8,474.8,9101.4,9249.8,2049.6,,1043.2666666666667,12686.2
2016-09-13 08:30:00,2134.6666666666665,,13484.6,478.73333333333335,,394.4,394.4,7061.6,11031.066666666668,1363.2,,917.8666666666667,10953.133333333333
2016-09-13 08:45:00,2118.333333333333,,11905.533333333333,425.06666666666666,,324.73333333333335,324.73333333333335,5568.6,10217.4,864.3333333333335,,813.9333333333333,10224.066666666668
2016-09-13 09:00:00,2191.6,,3811.333333333334,330.3333333333333,,294.3333333333333,294.3333333333333,3698.866666666667,3812.2,601.0,,735.4666666666667,9119.266666666666
2016-09-13 09:15:00,2112.266666666667,,781.6666666666665,310.8666666666667,,272.06666666666666,272.06666666666666,1557.2666666666669,751.5333333333333,543.7333333333332,,732.1333333333333,8480.266666666666
2016-09-13 09:30:00,1412.8,,647.9333333333333,254.13333333333333,,246.33333333333331,246.33333333333331,727.0,703.0666666666667,717.9333333333333,,722.4666666666667,8014.466666666666
2016-09-13 09:45:00,984.8666666666667,,540.7333333333332,260.0,,222.0,222.0,686.3333333333334,711.5333333333333,704.9333333333333,,705.6,6689.2
2016-09-13 10:00:00,963.2666666666668,,561.2666666666668,243.53333333333333,,207.9333333333333,207.9333333333333,597.6,740.8,689.9333333333333,,698.0666666666667,6139.333333333332
2016-09-13 10:15:00,860.4,,492.4666666666666,231.0,,197.26666666666668,197.26666666666668,447.26666666666665,636.6,629.6,,610.0,6074.733333333334
2016-09-13 10:30:00,835.0,,466.66666666666674,225.06666666666663,,185.13333333333333,185.13333333333333,486.06666666666666,616.2,559.4666666666667,,591.0,5849.8
