Date/Time,8941_O_DOWN,5571_O_BUFF,4431_O_WBG,5624_O_BUFF,2484_O_MTLE,8579_O_CLRN,1342_O_ELZT,5784_O_USCL,4430_O_RBN,2759_O_BRHT,3762_O_MNLL,2559_O_BLOO,2302_O_FXCP,2071_O_NOSD,2220_O_NSEW
2019-06-18 21:45:00,397.93333333333334,,2550.133333333333,1561.0,655.8666666666667,917.0,920.5333333333333,587.2,634.2666666666667,1292.9333333333334,772.2,665.1333333333333,899.0666666666667,0.0,6361.533333333334
2019-06-18 22:00:00,397.3333333333333,,1193.4666666666667,1459.2,709.8666666666667,1078.0,1033.2666666666667,684.2,687.0666666666667,1272.8,895.5333333333333,578.9333333333333,918.8,0.0,6248.533333333334
2019-06-18 22:15:00,407.4,,1127.3333333333333,1519.1333333333334,795.6666666666666,1230.8666666666666,1042.6,849.6666666666666,731.1333333333333,999.5333333333333,912.0666666666667,1526.8,930.6,0.0,6535.133333333333
2019-06-18 22:30:00,419.6666666666667,,1017.9333333333333,1667.6,955.8,1313.7333333333333,1024.7333333333333,909.9333333333333,789.4666666666667,1056.1333333333334,1030.2666666666667,621.7333333333333,962.3333333333334,0.0,6407.8
2019-06-18 22:45:00,421.0,,1006.8666666666667,1669.5333333333333,1059.9333333333334,1445.9333333333334,976.7333333333333,934.7333333333333,905.1333333333333,1571.8666666666666,1127.0,673.1333333333333,924.0,0.0,6567.4
2019-06-18 23:00:00,418.0,,970.5333333333333,1649.8666666666666,1173.4666666666667,1794.6666666666667,972.8666666666667,1065.7333333333333,976.8,1117.5333333333333,1278.6,670.4,873.1333333333333,0.0,6268.8
2019-06-18 23:15:00,427.06666666666666,,947.7333333333333,1610.0666666666666,1365.9333333333334,1245.2,1028.2666666666667,1258.7333333333333,1092.2666666666667,950.4666666666667,1373.4,942.8666666666667,944.6666666666666,0.0,6655.8
2019-06-18 23:30:00,404.46666666666664,,893.2666666666667,1585.9333333333334,1414.4,1329.4,1031.3333333333333,1335.7333333333333,1344.7333333333333,1116.0666666666666,1365.2,1078.0666666666666,1029.5333333333333,0.0,6498.466666666666
2019-06-18 23:45:00,416.53333333333336,,899.6666666666666,1725.1333333333334,1569.7333333333333,1309.9333333333334,1016.5333333333333,1412.4666666666667,1587.9333333333334,1209.2666666666667,1416.4,1101.2666666666667,1017.2666666666667,0.0,6641.866666666667
2019-06-19 00:00:00,426.6,,1443.6,1732.6,1672.0666666666666,1314.0,959.7333333333333,1432.6666666666667,1599.0,1327.5333333333333,1454.8,1082.0,1023.6,0.0,6730.066666666667
