Date/Time,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,2931_O_SQHL,4431_O_WBG,4915_O_ECON,5160_O_MOON,5202_O_SOSP,5571_O_BUFF,5624_O_BUFF,5816_O_SQHL,6227_O_ELIB,6399_O_GLEN,7543_O_MILL,8284_O_SWPK
2017-01-02 13:30:00,,890.5333333333333,1351.8666666666666,912.8666666666667,494.66666666666674,1971.0,6211.333333333332,892.3333333333335,1461.4,1461.4,859.8666666666667,922.6,1304.2666666666667,1106.7333333333333,870.0
2017-01-02 13:45:00,,798.8,1399.666666666667,884.5333333333333,506.2,1669.9333333333334,5568.6,1011.2666666666668,1040.1333333333334,1040.1333333333334,789.8,887.2666666666668,1324.6666666666667,1175.5333333333333,837.0
2017-01-02 14:00:00,,721.6,1317.7333333333333,820.7333333333332,522.8666666666667,1638.466666666667,5298.866666666667,947.0,993.4666666666667,993.4666666666667,794.4666666666667,945.4666666666667,1189.9333333333334,1134.6666666666667,852.5333333333333
2017-01-02 14:15:00,,719.0666666666667,1200.2666666666667,801.5333333333333,543.4,1622.8666666666666,4842.266666666666,783.4666666666667,1250.8666666666666,1250.8666666666666,727.2,975.4666666666667,1267.2,1189.0666666666666,765.3333333333335
2017-01-02 14:30:00,,12110.466666666667,1173.8,770.3333333333335,605.6666666666666,1658.466666666667,4547.933333333333,752.6666666666665,1555.7333333333331,1555.7333333333331,714.2666666666668,1061.2666666666667,1355.3333333333333,1282.3333333333333,717.2666666666668
2017-01-02 14:45:00,,5108.4,1123.8,723.2666666666668,636.0666666666667,1598.0666666666666,4768.466666666666,774.6,2305.0,2305.0,756.4666666666667,1015.8,1487.8666666666666,1282.3333333333333,719.8
2017-01-02 15:00:00,,740.8,1195.3333333333333,759.6,642.4,1597.0,4966.133333333333,766.7333333333332,3041.933333333333,3041.933333333333,852.2666666666668,850.4666666666667,1576.0,1486.533333333333,728.6666666666665
2017-01-02 15:15:00,,759.1333333333333,1150.0666666666666,806.4666666666667,656.2,1346.6666666666667,5161.8,774.3333333333335,3496.4,3496.4,805.2666666666668,849.5333333333333,1587.4,1355.2666666666667,773.6
2017-01-02 15:30:00,,900.0666666666667,1042.3333333333333,870.0,782.2,1277.0666666666666,8953.4,876.8666666666667,3370.266666666667,3370.266666666667,862.6,870.8666666666667,2004.0666666666666,1251.7333333333333,789.6666666666665
2017-01-02 15:45:00,,968.8,1418.2,976.4,1226.9333333333334,1682.8,11535.2,959.8,3036.8,3036.8,1053.6666666666667,779.0,2167.6666666666665,1183.0,936.6
2017-01-02 16:00:00,,994.0,1322.4,1114.3333333333333,1081.9333333333334,1683.333333333333,9806.2,964.0,3639.066666666666,3639.066666666666,1198.1333333333334,855.6666666666665,1920.0666666666666,1206.0666666666666,1024.0
2017-01-02 16:15:00,,12988.733333333335,1209.8666666666666,1190.9333333333334,1492.466666666667,1928.8666666666666,6932.2,1037.0,3387.866666666667,3387.866666666667,1178.3333333333333,922.0,1888.666666666667,1161.6666666666667,1023.5333333333333
2017-01-02 16:30:00,,10619.066666666668,1279.2666666666667,1249.0666666666666,1840.1333333333332,2432.0,6349.266666666666,1173.6666666666667,3716.133333333333,3716.133333333333,1270.8,1157.3333333333333,1568.1333333333334,1137.0,896.0666666666667
2017-01-02 16:45:00,,4876.4,1263.1333333333334,1243.6,1812.8666666666666,2875.666666666666,5925.533333333334,1064.2666666666667,3347.066666666666,3347.066666666666,1217.9333333333334,1148.9333333333334,1354.3333333333333,534.6428571428571,900.4
2017-01-02 17:00:00,,28407.33333333333,1302.4666666666667,1184.5333333333333,1987.2666666666669,2963.133333333333,5998.0666666666675,1017.5333333333333,3319.6,3319.6,1180.8,1344.0,1211.0666666666666,898.8666666666667,868.1333333333333
2017-01-02 17:15:00,,1579.666666666667,1348.9333333333334,1205.9333333333334,2071.8,2945.333333333333,6448.466666666666,1007.2666666666668,3603.933333333333,3603.933333333333,1206.5333333333333,1621.9333333333334,1448.8666666666666,1100.2,1057.4
2017-01-02 17:30:00,,1537.2666666666669,1417.2,1204.7333333333333,2101.0666666666666,3050.333333333333,6388.6,1014.8,3916.133333333333,3916.133333333333,1169.8666666666666,1838.9333333333332,1389.2666666666669,1234.6,985.2
2017-01-02 17:45:00,,25636.13333333333,1649.2666666666669,1265.5333333333333,2012.9333333333332,3261.066666666666,7207.266666666666,1028.6666666666667,4320.266666666666,4320.266666666666,1378.466666666667,1755.8,1701.466666666667,1254.4666666666667,1062.6
2017-01-02 18:00:00,,11227.666666666664,1485.6,1336.9333333333334,2119.4666666666667,3238.666666666666,7262.6,1078.8666666666666,5335.0,5335.0,1290.9333333333334,1694.666666666667,1805.333333333333,1222.6,1159.4666666666667
2017-01-02 18:15:00,,1106.6666666666667,1308.4666666666667,1307.1333333333334,2046.466666666667,3060.666666666666,7595.4,970.1333333333333,5641.866666666668,5641.866666666668,1177.6,1751.2666666666669,1713.9333333333334,1201.4,1114.5333333333333
2017-01-02 18:30:00,,1045.0,1229.4666666666667,1197.1333333333334,1878.466666666667,3229.4666666666667,6887.733333333334,995.0,5435.666666666667,5435.666666666667,1095.0666666666666,1897.8666666666666,1248.6,1187.6,979.4
2017-01-02 18:45:00,,996.6666666666665,1269.2666666666667,1218.9333333333334,2018.8,3288.866666666667,5212.4,1006.5333333333333,5048.0,5048.0,1073.6666666666667,1602.7333333333331,1193.0,1226.6666666666667,860.8
2017-01-02 19:00:00,,908.8,1231.4,1142.6666666666667,1967.6,2649.933333333333,4542.2,951.8666666666667,691.0,691.0,939.3333333333335,1485.666666666667,1192.4,1185.8,847.2
2017-01-02 19:15:00,,936.8,1190.3333333333333,1029.9333333333334,1483.4,2059.2,4005.933333333333,927.5333333333333,2169.0,2169.0,828.1333333333333,1479.333333333333,1162.8,1106.2,811.4666666666667
2017-01-02 19:30:00,,804.9333333333333,1072.2666666666667,925.4,1106.4666666666667,1840.8,3324.4666666666667,880.3333333333335,2519.0666666666666,2519.0666666666666,767.7333333333332,1605.0,1006.9333333333333,1198.3333333333333,751.6666666666665
2017-01-02 19:45:00,,3474.6,966.8666666666667,871.7333333333332,1035.6,1588.2,2666.5333333333333,928.8,2326.133333333333,2326.133333333333,689.7333333333332,1742.466666666667,3800.866666666667,1012.1333333333333,696.1333333333333
2017-01-02 20:00:00,,1593.8,926.1333333333333,776.1333333333333,945.6,1477.7333333333331,2364.733333333333,923.8666666666667,2191.266666666667,2191.266666666667,855.0,1751.533333333333,1308.0666666666666,986.8666666666667,716.2666666666668
