Date/Time,8304_O_SQHS,7134_O_LWCV,8699_O_BLOO,8183_O_MILL,4530_O_CNTP,6809_O_SQHS,1404_O_TROY,7543_O_MILL,4431_O_WBG,3555_O_SCLL,5571_O_BUFF,8941_O_MTLE,5624_O_BUFF,8850_O_LWCV,3283_O_LEET,1282_O_BCVW,2071_O_NOSD,2319_O_DWNTN,8698_O_NOSD,6582_O_OAKD,2281_O_HiPK
2017-09-06 13:15:00,35.93333333333333,65.13333333333334,44.733333333333334,,,43.8,44.06666666666667,41.733333333333334,35.733333333333334,,26.0,,26.0,31.666666666666668,38.8,,44.2,66.0,43.733333333333334,,43.333333333333336
2017-09-06 13:30:00,35.53333333333333,65.46666666666667,45.06666666666667,,,41.666666666666664,92.13333333333334,48.53333333333333,43.333333333333336,,24.266666666666666,,24.266666666666666,26.866666666666667,40.2,,39.93333333333333,73.93333333333334,46.13333333333333,,40.0
2017-09-06 13:45:00,33.733333333333334,77.93333333333334,49.8,,,40.8,83.33333333333333,51.06666666666667,42.86666666666667,,23.666666666666668,,23.666666666666668,26.133333333333333,35.0,,38.266666666666666,67.46666666666667,44.13333333333333,,40.666666666666664
2017-09-06 14:00:00,35.46666666666667,52.06666666666667,48.93333333333333,,,40.733333333333334,92.13333333333334,44.2,37.06666666666667,,21.733333333333334,,21.733333333333334,21.733333333333334,31.466666666666665,,41.53333333333333,29.466666666666665,43.8,,42.0
2017-09-06 14:15:00,35.2,57.0,47.06666666666667,,,44.6,50.4,45.46666666666667,45.266666666666666,,22.933333333333334,,22.933333333333334,23.0,27.066666666666666,,35.0,22.6,37.6,,46.8
2017-09-06 14:30:00,35.733333333333334,51.8,46.6,,,46.0,54.8,42.8,39.666666666666664,,25.866666666666667,,25.866666666666667,22.266666666666666,35.93333333333333,,48.6,,32.4,,44.86666666666667
2017-09-06 14:45:00,39.46666666666667,44.266666666666666,46.666666666666664,,,44.8,95.8,40.733333333333334,35.53333333333333,,21.6,,21.6,23.066666666666666,34.266666666666666,,37.4,,33.2,,120.86666666666666
2017-09-06 15:00:00,38.6,44.4,42.53333333333333,,,41.8,70.46666666666667,39.06666666666667,40.4,,21.733333333333334,,21.733333333333334,21.6,29.933333333333334,,39.8,,32.0,,115.6
2017-09-06 15:15:00,40.333333333333336,49.2,39.666666666666664,,,39.93333333333333,49.4,34.53333333333333,39.53333333333333,,19.8,,19.8,23.6,23.666666666666668,,37.93333333333333,,30.0,,53.46666666666667
2017-09-06 15:30:00,33.8,44.4,38.06666666666667,,,39.06666666666667,37.666666666666664,71.6,38.13333333333333,,20.2,,20.2,30.133333333333333,28.333333333333332,,27.666666666666668,,30.466666666666665,,60.4
2017-09-06 15:45:00,33.13333333333333,57.6,38.733333333333334,,,37.93333333333333,45.333333333333336,36.93333333333333,35.46666666666667,,19.066666666666666,,19.066666666666666,32.4,21.466666666666665,,21.6,,34.0,,463.3333333333333
2017-09-06 16:00:00,34.86666666666667,46.4,37.666666666666664,,,40.86666666666667,41.266666666666666,34.13333333333333,39.93333333333333,,18.866666666666667,,18.866666666666667,40.4,19.466666666666665,,22.866666666666667,,36.53333333333333,,921.4
2017-09-06 16:15:00,43.86666666666667,37.06666666666667,38.4,,,39.4,38.266666666666666,33.13333333333333,36.266666666666666,,18.2,,18.2,33.733333333333334,22.6,,26.666666666666668,,25.6,,34.666666666666664
