Date/Time,1502_O_BLPK,1561_O_SWPK,2071_O_NOSD,3555_O_SCLL,4388_O_BLPK,4431_O_WBG,4530_O_CNTP,4669_O_ELIB,5179_O_SHRP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6218_O_WSTD,6582_O_OAKD,7543_O_MILL,7970_O_MILL,7999_O_SWVL,8941_O_MTLE
2018-01-17 08:30:00,,8088.733333333334,9167.333333333334,,802.4,8488.866666666667,8095.666666666668,8311.933333333332,8980.933333333332,,10644.066666666668,8187.9333333333325,7597.333333333332,7408.266666666666,12229.733333333335,9211.933333333332,7350.266666666666,7436.533333333334
2018-01-17 08:45:00,,8200.666666666666,9527.066666666668,,823.6666666666665,8241.333333333334,7725.466666666666,8563.533333333333,8870.066666666668,,9994.266666666666,8511.6,7767.733333333334,7252.866666666668,11468.066666666668,9356.933333333332,7240.466666666666,7771.133333333332
2018-01-17 09:00:00,,8194.533333333333,9409.4,,932.4,7606.466666666666,7327.133333333332,8447.333333333334,8538.8,,9646.6,8416.266666666666,8115.266666666666,7373.0666666666675,11140.266666666665,8834.333333333334,7519.733333333334,6682.466666666666
2018-01-17 09:15:00,,8580.866666666667,9957.8,,965.4666666666667,7481.9333333333325,7123.466666666666,8473.666666666666,8325.666666666666,,9274.4,8508.8,8225.866666666667,7488.9333333333325,10788.4,8643.533333333333,8042.0,6677.133333333332
2018-01-17 09:30:00,,11446.466666666667,10002.733333333334,,874.3333333333335,7410.266666666666,6823.8,8804.4,8104.733333333334,,9131.533333333333,8118.866666666668,8384.266666666666,7347.733333333334,10671.466666666667,8488.0,7629.533333333334,6803.866666666668
2018-01-17 09:45:00,,11076.666666666664,10038.333333333334,,902.3333333333335,7338.466666666666,6623.0666666666675,8801.733333333334,7774.6,,8773.466666666667,8136.266666666666,8784.8,7388.666666666668,10615.133333333333,8363.333333333334,7698.0666666666675,7230.9333333333325
2018-01-17 10:00:00,,10372.933333333332,10075.4,,826.8,7037.466666666666,6453.9333333333325,8619.333333333334,7833.266666666666,,8553.6,8282.266666666666,8587.066666666668,7645.533333333334,9995.933333333332,8156.133333333332,7697.8,7130.4
2018-01-17 10:15:00,,9610.866666666667,10018.2,,731.8,6663.666666666668,6064.533333333334,8322.666666666666,8169.333333333332,,8231.133333333333,8505.133333333333,8440.933333333332,7857.266666666666,9537.133333333333,7296.6,7972.533333333334,7257.6
2018-01-17 10:30:00,,9088.8,9702.533333333333,,776.1333333333333,6634.9333333333325,5760.733333333334,7895.0666666666675,8280.8,,8026.0,8489.2,8371.2,7970.9333333333325,9513.866666666667,6247.2,8459.0,7530.666666666668
2018-01-17 10:45:00,,11221.266666666665,9508.133333333333,,747.8666666666667,6498.666666666668,5586.9333333333325,7624.666666666668,8305.866666666667,,5960.6,9077.266666666666,7852.8,7848.666666666668,8863.0,5566.266666666666,7919.9333333333325,8910.266666666666
2018-01-17 11:00:00,,8387.333333333334,9119.4,,805.6,6410.133333333332,3543.0,7068.4,8108.6,,5030.0,8618.466666666667,7663.2,7605.266666666666,8644.266666666666,4922.8,8248.4,8970.733333333334
2018-01-17 11:15:00,,7894.533333333334,8774.066666666668,,762.0,6404.266666666666,1516.5,7013.8,7640.133333333332,,4428.6,9043.866666666667,6869.533333333334,7556.733333333334,9427.933333333332,4917.133333333333,7667.0,8155.666666666668
2018-01-17 11:30:00,,7680.8,8439.066666666668,,756.5333333333333,6372.866666666668,,6927.733333333334,7472.8,,4132.066666666667,7955.6,6499.4,7548.533333333334,9025.266666666666,5736.133333333332,7100.9333333333325,8318.133333333333
2018-01-17 11:45:00,,8095.666666666668,8463.866666666667,,697.4666666666667,6336.333333333332,2082.0,6770.733333333334,7857.6,,3873.933333333333,8596.866666666667,5741.266666666666,7731.733333333334,7635.4,7165.0,6890.6,7983.6
2018-01-17 12:00:00,,8790.6,7540.9333333333325,,789.4666666666667,6115.533333333334,3669.2,6877.733333333334,8297.4,,3939.4,8550.4,5541.266666666666,7778.333333333332,8093.4,6977.733333333334,6538.0,8196.266666666666
2018-01-17 12:15:00,,7167.733333333334,7214.866666666668,,816.3333333333335,6170.533333333334,4135.8,6886.333333333332,8000.266666666666,,4296.4,7694.9333333333325,5266.466666666666,7672.8,8133.0,5585.533333333334,6573.866666666668,7834.266666666666
2018-01-17 12:30:00,,6604.266666666666,7401.4,,835.8666666666667,6050.866666666668,3873.4666666666662,7081.266666666666,7524.8,,4941.733333333334,6996.666666666668,4946.333333333333,7624.533333333334,8402.066666666668,4507.133333333333,6123.333333333332,7611.0666666666675
2018-01-17 12:45:00,,7487.466666666666,7143.466666666666,,863.0666666666667,5830.0,3414.0,6920.0666666666675,6992.4,,5243.333333333333,6905.266666666666,4448.0,7621.866666666668,8355.333333333334,3941.666666666666,6008.0,7886.9333333333325
2018-01-17 13:00:00,,6943.0,8236.0,,818.8,5513.0,3391.933333333333,6470.866666666668,6333.666666666668,,5834.733333333334,6520.666666666668,4216.533333333334,7712.866666666668,7836.733333333334,3610.933333333333,5870.8,7442.266666666666
2018-01-17 13:15:00,,6784.266666666666,6502.333333333332,,732.8666666666667,5588.666666666668,3482.4,6560.2,5832.8,,5209.066666666667,5744.4,3793.933333333333,7650.666666666668,7664.733333333334,3444.6,6480.0,6908.8
