Date/Time,6189_O_LARM,2071_O_NOSD,5624_O_BUFF,5571_O_BUFF,6227_O_ELIB,8185_O_SWPK,7568_O_GIBS,7220_O_SHADY,2427_O_ELIB,2281_O_HiPK,4841_O_STDT
2016-09-10 04:30:00,,104.66666666666667,122.66666666666667,122.66666666666667,106.26666666666667,196.06666666666666,,,120.93333333333334,,
2016-09-10 04:45:00,,99.06666666666666,118.93333333333334,118.93333333333334,108.46666666666667,191.53333333333333,,,123.4,,
2016-09-10 05:00:00,,109.8,114.33333333333333,114.33333333333333,109.66666666666667,232.53333333333333,,,129.73333333333332,,
2016-09-10 05:15:00,,109.33333333333333,119.73333333333333,119.73333333333333,107.8,263.6666666666667,,,124.46666666666667,,
2016-09-10 05:30:00,,104.2,124.6,124.6,114.73333333333333,195.33333333333334,,,131.2,,
2016-09-10 05:45:00,,108.53333333333333,146.0,146.0,122.73333333333333,234.93333333333334,,,139.8,,
2016-09-10 06:00:00,,107.33333333333333,122.2,122.2,122.93333333333334,227.66666666666666,,,140.33333333333334,,
2016-09-10 06:15:00,,110.2,116.93333333333334,116.93333333333334,120.46666666666667,193.2,,,138.46666666666667,,
2016-09-10 06:30:00,,108.06666666666666,117.26666666666667,117.26666666666667,117.53333333333333,178.73333333333332,,,133.13333333333333,,
2016-09-10 06:45:00,,113.33333333333333,166.26666666666668,166.26666666666668,119.86666666666666,167.13333333333333,,,140.6,,
2016-09-10 07:00:00,,115.73333333333333,114.46666666666667,114.46666666666667,123.4,167.26666666666668,,,141.26666666666668,,
2016-09-10 07:15:00,,114.0,108.0,108.0,130.8,160.0,,,145.8,,
2016-09-10 07:30:00,,106.33333333333333,102.8,102.8,134.13333333333333,159.0,,,154.86666666666667,,
2016-09-10 07:45:00,,97.46666666666667,95.6,95.6,137.66666666666666,143.06666666666666,,,152.26666666666668,,
2016-09-10 08:00:00,,96.8,90.66666666666667,90.66666666666667,119.73333333333333,103.13333333333334,,,136.86666666666667,,
2016-09-10 08:15:00,,90.66666666666667,84.4,84.4,96.86666666666666,90.26666666666667,,,105.73333333333333,,
2016-09-10 08:30:00,,88.26666666666667,73.53333333333333,73.53333333333333,89.2,89.73333333333333,,,102.06666666666666,,
2016-09-10 08:45:00,,90.46666666666667,66.66666666666667,66.66666666666667,86.93333333333334,82.33333333333333,,,94.86666666666666,,
2016-09-10 09:00:00,,83.33333333333333,61.4,61.4,75.86666666666666,76.8,,,86.46666666666667,,
2016-09-10 09:15:00,,73.66666666666667,53.86666666666667,53.86666666666667,70.2,73.26666666666667,,,73.13333333333334,,
