Date/Time,3415_O_EDTW,8271_O_VAKT,5355_O_PTBR,6046_O_PTBR,7523_O_OITP,7807_O_FRHL,3989_O_OAKL,6132_O_MONG,2284_O_XXXX,7234_O_HIPK,1216_O_RGSQ,5518_O_WDER,8750_O_DOWN,7665_O_BEVR,1259_O_SHLR,2315_O_NJHD,8935_O_MOON,4431_O_WBG
2023-02-22 10:15:00,,,,,,2439.133333333333,,2275.4666666666667,,,,,5333.866666666667,,,,,
2023-02-22 10:30:00,,,,,,2213.266666666667,,1817.0666666666666,,,,,5472.466666666666,,,,,
2023-02-22 10:45:00,,,,,,1898.1333333333334,,1840.9333333333334,,,,,4948.8,,,,,
2023-02-22 11:00:00,,,,,,1761.1333333333334,,1709.8,,,,,3480.5333333333333,,,,,
2023-02-22 11:15:00,,,,,,1769.6,,1832.4,,,,,5936.933333333333,,,,,
2023-02-22 11:30:00,,,,,,1493.9333333333334,,1669.9333333333334,,,,,2772.6,,,,,
2023-02-22 11:45:00,,,,,,1209.4,,1549.1333333333334,,,,,2667.6666666666665,,,,,
2023-02-22 12:00:00,,,,,,1080.6,,1493.5333333333333,,,,,3441.4,,,,,
2023-02-22 12:15:00,,,,,,964.6666666666666,,1370.7333333333333,,,,,1973.3333333333333,,,,,
2023-02-22 12:30:00,,,,,,839.0,,1041.8666666666666,,,,,3117.8,,,,,
2023-02-22 12:45:00,,,,,,932.5333333333333,,823.8666666666667,,,,,8484.133333333333,,,,,
2023-02-22 13:00:00,,,,,,966.0,,1289.2,,,,,3276.2,,,,,
2023-02-22 13:15:00,,,,,,799.9333333333333,,1130.4,,,,,1871.7333333333333,,,,,
2023-02-22 13:30:00,,,,,,695.8666666666667,,914.2,,,,,1805.0,,,,,
2023-02-22 13:45:00,,,,,,661.6666666666666,,757.8666666666667,,,,,1847.8,,,,,
2023-02-22 14:00:00,,,,,,619.7333333333333,,648.9333333333333,,,,,4075.4666666666667,,,,,
2023-02-22 14:15:00,,,,,,593.2666666666667,,673.5333333333333,,,,,2822.733333333333,,,,,
2023-02-22 14:30:00,,,,,,573.1333333333333,,688.5333333333333,,,,,1953.8,,,,,
2023-02-22 14:45:00,,,,,,589.0,,714.2666666666667,,,,,1166.6,,,,,
2023-02-22 15:00:00,,,,,,611.4666666666667,,665.4666666666667,,,,,3706.0,,,,,
2023-02-22 15:15:00,,,,,,645.8666666666667,,641.7333333333333,,,,,4000.3333333333335,,,,,
2023-02-22 15:30:00,,,,,,692.4,,646.3333333333334,,,,,1681.3333333333333,,,,,
2023-02-22 15:45:00,,,,,,701.3333333333334,,762.2666666666667,,,,,3674.133333333333,,,,,
2023-02-22 16:00:00,,,,,,724.2666666666667,,1041.6,,,,,1834.0666666666666,,,,,
2023-02-22 16:15:00,,,,,,754.3333333333334,,1030.9333333333334,,,,,2467.5333333333333,,,,,
2023-02-22 16:30:00,,,,,,758.6666666666666,,863.8666666666667,,,,,1965.8,,,,,
2023-02-22 16:45:00,,,,,,782.4666666666667,,983.8,,,,,2218.133333333333,,,,,
2023-02-22 17:00:00,,,,,,837.6666666666666,,1337.0666666666666,,,,,1654.3333333333333,,,,,
2023-02-22 17:15:00,,,,,,945.6,,1204.2666666666667,,,,,1151.7333333333333,,,,,
2023-02-22 17:30:00,,,,,,1059.9333333333334,,1229.2666666666667,,,,,984.4,,,,,
2023-02-22 17:45:00,,,,,,1301.8666666666666,,1382.0666666666666,,,,,1427.7333333333333,,,,,
2023-02-22 18:00:00,,,,,,1310.4666666666667,,1579.6666666666667,,,,,1125.3333333333333,,,,,
2023-02-22 18:15:00,,,,,,1408.2,,1624.7333333333333,,,,,1631.4666666666667,,,,,
2023-02-22 18:30:00,,,,,,1397.3333333333333,,1871.9333333333334,,,,,5509.6,,,,,
2023-02-22 18:45:00,,,,,,1425.4,,1696.6,,,,,3791.3333333333335,,,,,
