Date/Time,2071_O_NOSD,7635_O_BRAD,8941_O_MTLE,4431_O_WBG,6809_O_SQHS,8183_O_MILL,4831_O_HIPK,2281_O_HiPK,1282_O_BCVW,5679_O_BLOO,5624_O_BUFF,5571_O_BUFF,7460_O_FRHL,7543_O_MILL,8698_O_NOSD,6582_O_OAKD,1404_O_TROY
2017-07-31 02:30:00,72.6,,6.066666666666666,,,,,34.4,,38.53333333333333,,,,,44.0,,
2017-07-31 02:45:00,69.4,,6.466666666666667,,,,,32.4,,35.93333333333333,,,,,46.8,,
2017-07-31 03:00:00,70.8,,7.866666666666666,,,,,33.86666666666667,,38.266666666666666,,,,,52.2,,
2017-07-31 03:15:00,75.13333333333334,,8.066666666666666,,,,,36.13333333333333,,35.666666666666664,,,,,45.6,,
2017-07-31 03:30:00,75.46666666666667,,9.133333333333333,,,,,33.93333333333333,,37.8,,,,,41.266666666666666,,
2017-07-31 03:45:00,72.06666666666666,,10.066666666666666,,,,,34.333333333333336,,36.13333333333333,,,,,43.46666666666667,,
2017-07-31 04:00:00,82.53333333333333,,10.133333333333333,,,,,32.53333333333333,,38.86666666666667,,,,,47.333333333333336,,
2017-07-31 04:15:00,90.8,,11.2,,,,,34.46666666666667,,41.46666666666667,,,,,50.6,,
2017-07-31 04:30:00,89.06666666666666,,11.333333333333334,,,,,34.333333333333336,,48.4,,,,,58.06666666666667,,
2017-07-31 04:45:00,93.0,,11.666666666666666,,,,,35.6,,54.6,,,,,53.93333333333333,,
2017-07-31 05:00:00,91.06666666666666,,12.533333333333333,,,,,46.8,,59.53333333333333,,,,,57.733333333333334,,
2017-07-31 05:15:00,90.73333333333333,,12.6,,,,,58.0,,62.733333333333334,,,,,71.86666666666666,,
2017-07-31 05:30:00,89.46666666666667,,11.733333333333333,,,,,68.06666666666666,,64.53333333333333,,,,,74.86666666666666,,
2017-07-31 05:45:00,95.66666666666667,,14.2,,,,,81.6,,65.73333333333333,,,,,77.46666666666667,,
2017-07-31 06:00:00,97.53333333333333,,20.466666666666665,,,,,85.46666666666667,,65.26666666666667,,,,,79.2,,
2017-07-31 06:15:00,98.2,,25.8,,,,,91.6,,66.8,,,,,78.86666666666666,,
2017-07-31 06:30:00,102.26666666666667,,22.4,,,,,95.13333333333334,,66.13333333333334,,,,,78.0,,
2017-07-31 06:45:00,112.73333333333333,,23.0,,,,,102.06666666666666,,75.6,,,,,77.86666666666666,,
2017-07-31 07:00:00,125.2,,25.466666666666665,,,,,107.2,,80.8,,,,,78.53333333333333,,
2017-07-31 07:15:00,123.0,,28.0,,,,,106.0,,83.8,,,,,73.8,,
2017-07-31 07:30:00,105.0,,24.6,,,,,101.13333333333334,,80.6,,,,,92.53333333333333,,
2017-07-31 07:45:00,97.86666666666666,,22.666666666666668,,,,,96.13333333333334,,78.13333333333334,,,,,95.93333333333334,,
2017-07-31 08:00:00,97.66666666666667,,21.733333333333334,,,,,102.53333333333333,,64.06666666666666,,,,,97.6,,
2017-07-31 08:15:00,107.13333333333334,,19.533333333333335,,,,,98.93333333333334,,58.733333333333334,,,,,103.2,,
2017-07-31 08:30:00,100.53333333333333,,19.866666666666667,,,,,96.86666666666666,,52.266666666666666,,,,,86.0,,
2017-07-31 08:45:00,94.93333333333334,,17.533333333333335,,,,,82.6,,49.13333333333333,,,,,100.2,,
2017-07-31 09:00:00,94.4,,14.666666666666666,,,,,73.0,,48.86666666666667,,,,,95.73333333333333,,
2017-07-31 09:15:00,90.86666666666666,,14.533333333333333,,,,,59.86666666666667,,43.86666666666667,,,,,85.53333333333333,,
2017-07-31 09:30:00,74.0,,14.066666666666666,,,,,34.333333333333336,,41.333333333333336,,,,,66.86666666666666,,
2017-07-31 09:45:00,66.46666666666667,,11.933333333333334,,,,,30.6,,29.333333333333332,,,,,58.6,,
2017-07-31 10:00:00,53.6,,11.533333333333333,,,,,30.533333333333335,,31.733333333333334,,,,,82.06666666666666,,
2017-07-31 10:15:00,48.6,,11.066666666666666,,,,,124.66666666666667,,32.0,,,,,52.53333333333333,,
2017-07-31 10:30:00,34.266666666666666,,10.266666666666667,,,,,87.73333333333333,,46.13333333333333,,,,,32.0,,
2017-07-31 10:45:00,18.0,,8.466666666666667,,,,,29.2,,34.2,,,,,40.6,,
2017-07-31 11:00:00,20.933333333333334,,8.0,,,,,23.666666666666668,,33.86666666666667,,,,,45.53333333333333,,
2017-07-31 11:15:00,20.133333333333333,,7.133333333333334,,,,,27.533333333333335,,34.266666666666666,,,,,45.2,,
2017-07-31 11:30:00,18.066666666666666,,7.0,,,,,26.733333333333334,,191.33333333333334,,,,,31.533333333333335,,
2017-07-31 11:45:00,20.466666666666665,,6.666666666666667,,,,,23.066666666666666,,477.46666666666664,,,,,24.6,,
2017-07-31 12:00:00,18.866666666666667,,6.466666666666667,,,,,21.533333333333335,,884.1333333333333,,,,,39.53333333333333,,
2017-07-31 12:15:00,23.4,,6.333333333333333,,,,,20.6,,2054.5333333333333,,,,,30.6,,
2017-07-31 12:30:00,26.266666666666666,,6.8,,,,,19.0,,1167.2,,,,,39.53333333333333,,
2017-07-31 12:45:00,20.533333333333335,,5.8,,31.0,,,16.4,,1441.4,,,,,50.8,,
2017-07-31 13:00:00,19.0,,5.2,,29.533333333333335,,,17.066666666666666,,212.6,,,,,93.26666666666667,,
2017-07-31 13:15:00,22.6,,5.266666666666667,,26.733333333333334,,,17.533333333333335,,21.266666666666666,,,,,124.8,,
