Date/Time,4164_O_ROSS,6035_O_WLKG,5464_O_SQHL,4450_O_CRFT,4430_O_WASH,5999_O_DORM,8157_O_NVLL,5514_O_MNMP,7233_O_MEBA,1254_O_MTLE
2025-04-18 22:00:00,894.4666666666667,,,1025.8,1172.7333333333333,,817.7333333333333,366.3333333333333,1547.9333333333334,798.3333333333334
2025-04-18 22:15:00,902.5333333333333,,,1040.9333333333334,1188.0666666666666,,925.2666666666667,210.2,1608.6666666666667,794.2666666666667
2025-04-18 22:30:00,928.9333333333333,,,1074.8,1197.9333333333334,,1249.2666666666667,192.26666666666668,1635.5333333333333,799.9333333333333
2025-04-18 22:45:00,957.3333333333334,,,1096.4666666666667,1267.9333333333334,,1680.9333333333334,184.93333333333334,1657.1333333333334,831.8666666666667
2025-04-18 23:00:00,979.4,,,1092.1333333333334,1264.1333333333334,,1624.0666666666666,191.53333333333333,1724.3333333333333,853.2666666666667
2025-04-18 23:15:00,980.3333333333334,,,1085.0,1274.8666666666666,,2071.6666666666665,178.46666666666667,1720.8,860.2
2025-04-18 23:30:00,1004.4,,,1109.8,1309.1333333333334,,1532.4,168.66666666666666,1667.6666666666667,881.4
2025-04-18 23:45:00,1009.7333333333333,,,1138.5333333333333,1344.0666666666666,,1574.6666666666667,170.2,1720.2,880.0666666666667
2025-04-19 00:00:00,1039.8,,,1186.8,1376.1333333333334,,1335.2,176.53333333333333,1823.0666666666666,896.0
2025-04-19 00:15:00,1046.5333333333333,,,1212.5333333333333,1405.0666666666666,,1405.0666666666666,173.33333333333334,1845.2666666666667,906.4666666666667
2025-04-19 00:30:00,1104.8666666666666,,,1218.7333333333333,1437.5333333333333,,1360.6,160.53333333333333,1870.5333333333333,937.6666666666666
2025-04-19 00:45:00,1133.0,,,1228.6,1461.6666666666667,,1311.8666666666666,193.2,1962.2666666666667,955.8666666666667
2025-04-19 01:00:00,1156.1333333333334,,,1285.4666666666667,1498.3333333333333,,1390.8666666666666,197.46666666666667,2001.6,1005.3333333333334
2025-04-19 01:15:00,1192.2666666666667,,,1309.8,1559.7333333333333,,1572.7333333333333,177.93333333333334,1979.2666666666667,962.8666666666667
2025-04-19 01:30:00,1227.4,,,1281.0,1570.9333333333334,,1902.7333333333333,176.46666666666667,1974.6,933.7333333333333
2025-04-19 01:45:00,1228.2666666666667,,,1158.4,1529.2666666666667,,1587.5333333333333,172.06666666666666,1968.0666666666666,884.8666666666667
2025-04-19 02:00:00,1201.9333333333334,,,1116.4666666666667,1499.6666666666667,,1302.1333333333334,169.8,1944.4,843.8666666666667
2025-04-19 02:15:00,1126.2,,,1101.3333333333333,1495.8666666666666,,906.4,168.06666666666666,2021.8666666666666,821.1333333333333
2025-04-19 02:30:00,1055.3333333333333,,,1049.5333333333333,1519.0666666666666,,812.8666666666667,171.4,2080.6666666666665,793.4
2025-04-19 02:45:00,1038.4,,,1012.6666666666666,1537.2,,791.9333333333333,194.2,2122.5333333333333,775.5333333333333
2025-04-19 03:00:00,1016.4,,,1013.4666666666667,1546.6,,772.4,204.53333333333333,2292.3333333333335,780.2
2025-04-19 03:15:00,1004.1333333333333,,,1010.2666666666667,1525.4666666666667,,763.7333333333333,206.53333333333333,2181.0,785.8666666666667
2025-04-19 03:30:00,996.4666666666667,,,1010.3333333333334,1533.1333333333334,,752.6666666666666,199.93333333333334,2217.4666666666667,774.4666666666667
2025-04-19 03:45:00,979.3333333333334,,,1040.7333333333333,1627.5333333333333,,754.3333333333334,200.0,2114.3333333333335,770.1333333333333
2025-04-19 04:00:00,966.1333333333333,,,1011.8666666666667,1701.2666666666667,,737.6666666666666,199.93333333333334,2025.2666666666667,798.4666666666667
2025-04-19 04:15:00,959.0666666666667,,,1016.4666666666667,1705.0666666666666,,750.6666666666666,201.06666666666666,2131.6666666666665,812.0666666666667
2025-04-19 04:30:00,965.4666666666667,,,1032.3333333333333,1735.8666666666666,,756.8666666666667,209.6,2314.4,818.0666666666667
2025-04-19 04:45:00,968.6,,,1066.5333333333333,1730.6,,802.6,219.26666666666668,2266.6,868.8666666666667
