Date/Time,1282_O_BCVW,1404_O_TROY,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,4386_O_MTLE,4431_O_WBG,4576_O_EMSW,5008_O_HWD,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,6582_O_OAKD,6809_O_SQHS,7543_O_MILL,8183_O_MILL,8941_O_MTLE
2017-05-21 19:30:00,636.0666666666667,458.13333333333327,,,,385.53333333333336,652.4,417.33333333333326,1490.2666666666669,,,418.2,756.8666666666667,,725.4666666666667,2610.333333333333,425.53333333333336,
2017-05-21 19:45:00,838.6666666666665,471.73333333333335,,,,410.33333333333326,635.2,436.6,1629.6,,,431.2,705.5333333333333,,815.2,2630.8,450.66666666666674,
2017-05-21 20:00:00,567.6666666666666,504.0,,,,445.06666666666666,696.2,470.66666666666674,1621.333333333333,,,493.06666666666666,904.8666666666667,,906.3333333333335,2545.2,454.9333333333333,
2017-05-21 20:15:00,593.8,523.6666666666666,,,,481.26666666666665,685.4666666666667,455.4666666666666,1433.9333333333334,,,516.9333333333333,872.6,,867.8,2299.4666666666667,467.33333333333326,
2017-05-21 20:30:00,637.4666666666667,571.8666666666667,,,,515.6,667.1333333333333,451.66666666666674,1378.1333333333334,,,545.8,875.0666666666667,,955.8666666666667,2294.0,515.2666666666668,
2017-05-21 20:45:00,700.6,593.8666666666667,,,,533.6666666666666,662.8,477.13333333333327,1351.0666666666666,,,610.3333333333334,1026.3333333333333,,1112.7333333333333,2315.4,531.0,
2017-05-21 21:00:00,745.8,646.0666666666667,,,,555.2666666666668,671.9333333333333,483.73333333333335,1385.0666666666666,,,631.4,1132.5333333333333,,1277.7333333333333,2201.5333333333333,532.5333333333333,
2017-05-21 21:15:00,695.4,632.4666666666667,,,,569.1333333333333,718.4666666666667,508.8,1542.666666666667,,,714.2,1620.8666666666666,,1679.7333333333331,2092.133333333333,584.0666666666667,
2017-05-21 21:30:00,746.9333333333333,650.0666666666667,,,,606.4,712.3333333333335,586.6666666666666,1531.9333333333334,,,803.1333333333333,2058.6,,2021.9333333333332,2262.733333333333,615.6666666666666,
2017-05-21 21:45:00,779.0,714.4,,,,636.2,697.4,561.8666666666667,1237.9333333333334,,,877.6666666666665,1788.533333333333,,2015.8,2258.8,629.3333333333334,
2017-05-21 22:00:00,842.5333333333333,722.7333333333332,,,,654.6,679.8,573.9333333333333,1247.0666666666666,,,830.7333333333332,1626.666666666667,,1919.333333333333,2352.133333333333,671.8,
2017-05-21 22:15:00,788.6,714.6666666666665,,,,641.6666666666666,680.8,602.2,1130.1333333333334,,,875.1333333333333,2178.4666666666667,,2508.133333333333,2250.733333333333,727.5333333333333,
2017-05-21 22:30:00,806.9333333333333,699.2666666666668,,,,636.1333333333333,689.4666666666667,591.8,1128.9333333333334,,,1372.1333333333334,2817.4666666666667,,3272.4666666666667,2340.4666666666667,739.0,
2017-05-21 22:45:00,851.6666666666665,691.9333333333333,,,,649.6666666666666,707.2,595.2666666666668,1156.8666666666666,,,1952.466666666667,3208.4666666666667,,3270.4666666666667,2368.4666666666667,743.8666666666667,
2017-05-21 23:00:00,880.7333333333332,711.8,,,,666.8666666666667,738.0,621.0,1138.4,,,2004.466666666667,3375.666666666666,,3143.8,2743.933333333333,733.4,
2017-05-21 23:15:00,846.6,708.3333333333335,,,,687.5333333333333,720.9333333333333,647.8666666666667,1157.1333333333334,,,1945.666666666667,2979.333333333333,,2958.0,2869.266666666667,947.8666666666667,
2017-05-21 23:30:00,834.8666666666667,895.8666666666667,,,,1118.2,748.0,666.7333333333332,1186.1333333333334,,,1859.2,2699.4,,2786.2,3210.866666666667,1311.6666666666667,
2017-05-21 23:45:00,902.2666666666668,1086.2,,,,1493.733333333333,775.2666666666668,669.8666666666667,1475.533333333333,,,1939.2,2389.4666666666667,,2733.5333333333333,3237.4,1490.0666666666666,
2017-05-22 00:00:00,849.8666666666667,1119.3333333333333,,,,1587.2,818.1333333333333,694.3333333333335,1922.0,,,1884.333333333333,2276.266666666667,,2471.6666666666665,3239.333333333333,1553.2,
2017-05-22 00:15:00,875.6,1523.0,,,,1792.266666666667,842.1333333333333,749.9333333333333,1935.8,,,1723.0666666666666,2017.0,,2217.0666666666666,3097.133333333333,1662.8,
2017-05-22 00:30:00,935.6,1646.666666666667,,,,1836.466666666667,811.2,805.6,1971.1333333333332,,,1727.2666666666669,1849.7333333333331,,2214.5333333333333,3586.866666666667,1687.333333333333,
2017-05-22 00:45:00,1005.3333333333335,1460.6,,,,1476.733333333333,809.3333333333335,759.6,1960.4,,,1652.8,1754.466666666667,,2270.5333333333333,3581.4666666666667,1707.0,
2017-05-22 01:00:00,1152.0666666666666,1414.8,,,,1356.9333333333334,827.3333333333335,699.7333333333332,1922.333333333333,,,1650.0,1694.333333333333,,2067.4666666666667,3649.666666666666,1683.0,
2017-05-22 01:15:00,1524.466666666667,1438.7333333333331,,,,1433.266666666667,863.8,711.2,1689.6,,,1568.4,1548.0666666666666,,1822.1333333333332,3504.5333333333333,1622.8,
2017-05-22 01:30:00,1542.0666666666666,1419.533333333333,,,,1493.733333333333,852.3333333333335,738.0,1534.6,,,1393.2666666666669,1471.8,,1708.7333333333331,3448.2,1670.666666666667,
2017-05-22 01:45:00,1541.333333333333,1401.8,,,,1532.733333333333,855.4666666666667,740.8666666666667,1435.333333333333,,,1319.8666666666666,1421.4,,1670.0666666666666,3311.933333333333,1578.6,
2017-05-22 02:00:00,1530.533333333333,1313.4666666666667,,,,1387.466666666667,884.9333333333333,761.9333333333333,1595.0,,,1279.2,1464.2,,1647.333333333333,3298.066666666666,1482.1333333333334,
2017-05-22 02:15:00,1461.8,1279.2,,,,1361.6,906.2,776.0666666666667,1375.4,,,1320.2666666666667,1552.8666666666666,,1692.466666666667,3731.2,1381.0,
2017-05-22 02:30:00,1379.7333333333331,1226.3333333333333,,,,1289.5333333333333,931.6,808.0,1199.9333333333334,,,1305.0,1590.2,,1649.2,3811.733333333333,1429.6,
2017-05-22 02:45:00,1319.7333333333333,1182.6,,,,1238.4666666666667,921.9333333333333,852.7333333333332,1091.9333333333334,,,1290.8,1623.2,,1940.6,3379.733333333333,1380.8666666666666,
2017-05-22 03:00:00,1270.0,1190.4,,,,1110.0666666666666,923.1333333333333,909.8,1018.8,,,1297.7333333333333,1788.8,,2133.6666666666665,3364.333333333333,1359.6666666666667,
2017-05-22 03:15:00,1162.2,1142.2,,,,1052.2,918.0666666666667,943.0,1035.4,,,1285.7333333333333,1783.333333333333,,2054.733333333333,3139.066666666666,1373.3333333333333,
2017-05-22 03:30:00,1145.3333333333333,1272.1333333333334,,,,996.5333333333333,916.4,887.4666666666667,972.9333333333333,,,1269.4,1686.333333333333,,2007.7333333333331,2877.4666666666667,1332.2666666666667,
2017-05-22 03:45:00,1040.6666666666667,1289.6,,,,919.5333333333333,919.8,866.2666666666668,933.1333333333333,,,1231.6666666666667,1694.4,,1902.8,2787.6,1306.4666666666667,
2017-05-22 04:00:00,960.1333333333333,1033.8666666666666,,,,870.5333333333333,926.6,858.2,909.2,,,1185.8666666666666,1646.466666666667,,1884.8666666666666,2816.933333333333,1290.3333333333333,
2017-05-22 04:15:00,966.2666666666668,891.6666666666665,,,,817.0,952.2,871.2,882.7333333333332,,,1123.3333333333333,1642.2666666666669,,1870.333333333333,2780.333333333333,1272.6,
2017-05-22 04:30:00,964.6,972.6,,,,827.2666666666668,974.4,847.3333333333335,775.8666666666667,,,1053.4666666666667,1605.7333333333331,,1711.2,2738.933333333333,1283.8666666666666,
2017-05-22 04:45:00,941.9333333333333,873.3333333333335,,,,820.6666666666665,959.8,792.0,455.53333333333336,,,966.6,1447.1333333333334,,1946.0,2612.0,1230.2,
2017-05-22 05:00:00,920.3333333333335,844.5333333333333,,,,809.6666666666665,985.0,833.2666666666668,447.06666666666666,,,898.8666666666667,1414.6,,1902.9333333333332,2587.2,1194.8666666666666,
2017-05-22 05:15:00,921.0,860.1333333333333,,,,807.4,1019.2666666666668,799.0,441.2,,,870.6666666666665,1309.3333333333333,,1655.8666666666666,2688.6,1115.6,
2017-05-22 05:30:00,879.6666666666665,870.7333333333332,,,,804.0,1018.8,819.9333333333333,466.13333333333327,,,865.8666666666667,1193.6666666666667,,1484.333333333333,3278.4,932.5333333333333,
2017-05-22 05:45:00,919.8,969.8,,,,808.6,982.6,948.8666666666667,456.0,,,872.4,1125.8,,1328.2666666666667,3639.333333333334,910.7333333333332,
2017-05-22 06:00:00,919.7333333333332,847.9333333333333,,,,826.4666666666667,1032.5333333333333,839.4666666666667,422.0,,,887.8666666666667,1110.9333333333334,,1292.6666666666667,4237.666666666667,915.3333333333335,
2017-05-22 06:15:00,918.6666666666665,857.0,,,,824.4,1055.8,909.8,535.6,,,907.5333333333333,1105.4,,1295.2666666666667,3964.4,891.6,
2017-05-22 06:30:00,949.4666666666667,878.8,,,,816.7333333333332,1046.3333333333333,987.0666666666667,549.6666666666666,,,938.2666666666668,1106.8666666666666,,1182.8666666666666,4537.133333333333,887.1333333333333,
2017-05-22 06:45:00,937.0,1032.6,,,,878.2000000000002,1104.6,951.6666666666665,352.86666666666673,,,971.1333333333333,1118.9333333333334,,1140.8,4355.533333333334,902.6,
2017-05-22 07:00:00,984.9333333333333,1069.1333333333334,,,,890.4666666666667,1103.2,559.4,283.73333333333335,,,1007.1333333333333,1200.3333333333333,,1221.5333333333333,3084.4,930.4666666666667,
2017-05-22 07:15:00,787.0666666666667,849.2,,,,725.2666666666668,1107.8666666666666,567.2666666666668,253.2,,,898.2666666666668,1232.4,,1233.4,2451.333333333333,817.3333333333335,
2017-05-22 07:30:00,570.8,559.3333333333334,,,,495.6000000000001,1153.6,482.53333333333336,234.7333333333333,,,702.0,916.8666666666667,,932.7333333333332,2527.2,534.8666666666667,
2017-05-22 07:45:00,717.8,507.8,,,,492.3999999999999,770.9333333333333,435.4,228.26666666666668,,,534.3846153846154,758.8,,691.6,3261.8,596.8,
2017-05-22 08:00:00,717.4666666666667,488.73333333333335,,,,577.0,560.6,415.86666666666673,260.3333333333333,,,575.3333333333334,810.5333333333333,,695.6,3637.6,570.6666666666666,
2017-05-22 08:15:00,726.5333333333333,480.06666666666666,,,,594.9333333333333,442.06666666666666,369.8,291.6,,,506.86666666666673,710.6,,748.8666666666667,4041.4,537.2,
2017-05-22 08:30:00,605.3333333333334,624.4,,,,582.6666666666666,378.4,411.09090909090907,530.4,,,498.13333333333327,601.4,,686.1333333333333,4902.866666666667,453.86666666666673,
2017-05-22 08:45:00,646.4,764.9333333333333,,,,516.2,366.4666666666666,1177.9,578.6,,,516.8666666666667,547.8666666666667,,665.0666666666667,5103.733333333334,447.8,
2017-05-22 09:00:00,403.4666666666666,478.86666666666673,,,,385.2,396.53333333333336,820.9333333333333,761.4666666666667,,,570.2666666666668,633.5333333333333,,785.7333333333332,5847.6,540.2,
2017-05-22 09:15:00,318.2,432.8,,,,391.53333333333336,406.66666666666674,701.6363636363636,370.4666666666666,,,408.9333333333333,732.0,,516.1333333333333,6758.533333333334,479.9333333333333,
2017-05-22 09:30:00,272.73333333333335,451.73333333333335,,,,329.3333333333333,380.66666666666674,,233.53333333333333,,,366.13333333333327,501.6,,468.53333333333336,6541.733333333334,357.6,
2017-05-22 09:45:00,257.06666666666666,388.8,,,,299.1333333333333,350.46666666666664,,248.33333333333331,,,304.0,395.6,,379.9333333333333,6898.2,299.26666666666665,
2017-05-22 10:00:00,269.8,343.46666666666664,,,,292.46666666666664,334.6666666666667,,214.8,,,269.6666666666667,302.6666666666667,,286.06666666666666,7985.133333333332,241.7333333333333,
2017-05-22 10:15:00,254.26666666666668,292.06666666666666,,,,282.53333333333336,325.6666666666667,,198.33333333333331,,,248.13333333333333,284.3333333333333,,286.8666666666667,8351.6,281.8,
2017-05-22 10:30:00,240.7333333333333,277.06666666666666,,,,280.06666666666666,319.6,,198.4,,,248.86666666666667,271.3333333333333,,279.6666666666667,8092.6,246.0,
2017-05-22 10:45:00,278.8666666666667,375.33333333333326,,,,288.8,326.8666666666667,,167.4,,,252.26666666666668,289.93333333333334,,300.3333333333333,8989.2,268.6,
2017-05-22 11:00:00,361.66666666666674,297.2,,,,263.4,301.26666666666665,,151.86666666666667,,,270.46666666666664,301.1333333333333,,324.3333333333333,8306.8,271.2,
