Date/Time,2071_O_NOSD,2229_O_BAHT,2281_O_HiPK,2898_O_AVLN,4431_O_WBG,4576_O_EMSW,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5708_O_XXXX,5952_O_EDWD,6140_O_FRHL,6196_O_MWSH,6496_O_MTLE,6809_O_SQHS,7543_O_MILL,8183_O_MILL,8941_O_MTLE
2017-06-14 18:00:00,,,,724.8666666666667,1078.5333333333333,1214.1333333333334,699.2,699.2,1052.2666666666667,,1448.428571428571,748.9333333333333,907.3333333333335,,1408.0,2076.866666666667,1353.2666666666667,811.9333333333333
2017-06-14 18:15:00,,,,651.3333333333334,1105.4,1012.5333333333333,818.7333333333332,818.7333333333332,1086.0666666666666,,1349.4666666666667,842.1333333333333,910.4666666666667,,1350.6666666666667,2249.2,1236.4,762.0
2017-06-14 18:30:00,,,,578.2,1138.8,873.8666666666667,759.6,759.6,1089.0666666666666,,1549.8,983.2,935.4,,1798.666666666667,2397.866666666667,1453.8,1046.4
2017-06-14 18:45:00,,,,574.2,1372.5333333333333,917.9333333333333,752.8,752.8,1398.533333333333,,1912.6,1128.6,959.4,,1861.2666666666669,2884.733333333333,1378.0,751.7333333333332
2017-06-14 19:00:00,,,,646.2,2325.133333333333,1208.8666666666666,733.6,733.6,1495.7333333333331,,2175.2,1159.8666666666666,1225.1333333333334,,1728.7333333333331,2916.6,1467.466666666667,665.5333333333333
2017-06-14 19:15:00,,,,762.4666666666667,2352.333333333333,1288.3333333333333,745.3333333333335,745.3333333333335,1658.8,,1827.0,1209.7333333333333,1633.1333333333334,,1910.466666666667,2387.266666666667,1680.533333333333,686.3333333333334
2017-06-14 19:30:00,,,,744.0666666666667,2558.933333333333,1344.3333333333333,832.0,832.0,1633.0666666666666,,2288.5333333333333,1175.7333333333333,1637.466666666667,,1938.0666666666666,2961.933333333333,1447.0,713.8666666666667
2017-06-14 19:45:00,,,,762.8,2500.266666666667,1523.7333333333331,869.5333333333333,869.5333333333333,1509.6,,1967.0,1095.6,1727.1333333333334,,1622.7333333333331,2639.733333333333,1479.0,711.6666666666665
2017-06-14 20:00:00,,,,723.2,2624.6666666666665,1276.4666666666667,876.6666666666665,876.6666666666665,1264.8666666666666,,1597.8666666666666,1278.3333333333333,1988.0,,1597.2666666666669,2329.866666666667,1658.8666666666666,679.0666666666667
2017-06-14 20:15:00,,,,788.9333333333333,2370.733333333333,1175.2666666666667,944.9333333333333,944.9333333333333,1236.6,,1683.8666666666666,1029.2666666666667,2276.333333333333,,2130.333333333333,2589.6,1789.333333333333,667.4
