Date/Time,4431_O_WBG,5571_O_BUFF,4584_O_MOON,5662_O_DOWN,4124_O_FRONT,7956_O_BELL,1040_O_MCCA,6227_O_ELIB,6386_O_SOSI
2016-11-23 04:00:00,215.4,130.93333333333334,105.13333333333334,121.46666666666667,232.93333333333334,161.93333333333334,371.2,170.13333333333333,270.73333333333335
2016-11-23 04:15:00,223.93333333333334,108.86666666666666,103.66666666666667,121.6,241.46666666666667,165.8,281.3333333333333,180.53333333333333,275.46666666666664
2016-11-23 04:30:00,237.8,121.46666666666667,105.66666666666667,117.0,245.53333333333333,158.8,290.73333333333335,203.6,279.26666666666665
2016-11-23 04:45:00,250.66666666666666,127.93333333333334,109.66666666666667,123.46666666666667,255.0,160.4,352.2,187.33333333333334,241.73333333333332
2016-11-23 05:00:00,279.2,128.0,117.46666666666667,132.86666666666667,261.4,162.66666666666666,331.46666666666664,184.4,267.4
2016-11-23 05:15:00,271.73333333333335,121.53333333333333,127.46666666666667,153.0,268.93333333333334,160.4,322.2,184.46666666666667,283.06666666666666
2016-11-23 05:30:00,240.6,122.86666666666666,137.26666666666668,149.6,262.4,158.2,319.1333333333333,187.4,310.46666666666664
2016-11-23 05:45:00,255.0,100.0,119.66666666666667,145.6,267.6,158.4,322.06666666666666,186.93333333333334,335.8
2016-11-23 06:00:00,237.33333333333334,90.93333333333334,116.2,170.73333333333332,284.6,155.06666666666666,303.6,210.26666666666668,345.4
2016-11-23 06:15:00,229.26666666666668,90.33333333333333,118.8,257.2,334.6,158.46666666666667,268.6,229.86666666666667,336.2
2016-11-23 06:30:00,226.93333333333334,103.0,120.6,346.8,385.3333333333333,152.13333333333333,259.53333333333336,243.2,367.53333333333336
2016-11-23 06:45:00,345.93333333333334,113.2,130.33333333333334,224.46666666666667,382.93333333333334,159.4,276.4,246.0,336.2
2016-11-23 07:00:00,301.53333333333336,120.8,141.86666666666667,202.4,330.93333333333334,159.13333333333333,259.8666666666667,243.0,390.46666666666664
2016-11-23 07:15:00,309.6,144.26666666666668,166.0,403.73333333333335,305.8666666666667,161.33333333333334,259.2,257.0,417.53333333333336
2016-11-23 07:30:00,342.06666666666666,130.53333333333333,126.8,441.8,268.6,178.06666666666666,253.6,257.06666666666666,423.6666666666667
2016-11-23 07:45:00,270.1333333333333,94.8,138.06666666666666,416.93333333333334,293.53333333333336,191.8,272.26666666666665,263.6666666666667,400.73333333333335
2016-11-23 08:00:00,229.73333333333332,85.2,132.06666666666666,364.93333333333334,383.1333333333333,197.06666666666666,278.0,280.8,347.26666666666665
2016-11-23 08:15:00,222.33333333333334,77.86666666666666,138.8,324.46666666666664,429.0,208.33333333333334,284.6666666666667,268.1333333333333,337.3333333333333
2016-11-23 08:30:00,163.66666666666666,75.2,136.53333333333333,223.26666666666668,347.8666666666667,209.6,319.8,269.1333333333333,306.3333333333333
2016-11-23 08:45:00,119.73333333333333,88.66666666666667,137.4,226.4,346.2,177.53333333333333,319.2,265.8666666666667,365.4
2016-11-23 09:00:00,102.73333333333333,86.6,117.73333333333333,131.66666666666666,208.93333333333334,79.33333333333333,287.6666666666667,251.0,511.6666666666667
2016-11-23 09:15:00,80.8,73.26666666666667,101.0,174.33333333333334,164.06666666666666,31.833333333333332,209.66666666666666,212.46666666666667,349.2
2016-11-23 09:30:00,80.53333333333333,68.06666666666666,81.06666666666666,213.53333333333333,175.53333333333333,22.5,144.46666666666667,179.46666666666667,246.6
2016-11-23 09:45:00,95.13333333333334,60.86666666666667,78.93333333333334,234.93333333333334,200.53333333333333,31.8,110.0,182.26666666666668,234.2
2016-11-23 10:00:00,84.06666666666666,50.733333333333334,70.2,250.4,212.26666666666668,55.06666666666667,88.53333333333333,171.73333333333332,204.93333333333334
