Date/Time,8304_O_SQHS,7543_O_MILL,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,6360_O_PTBR,4363_O_SQHS,2130_O_MTOV,5761_O_SOSD,8356_O_OHRA,2071_O_NOSD,8941_O_MTLE,3555_O_SCLL,2281_O_HiPK,4530_O_CNTP,8183_O_MILL,2535_O_RGSQ,3798_O_BRKN,1637_O_BELL,1502_O_BLPK,5679_O_BLOO
2017-10-09 11:00:00,28.2,27.8,25.133333333333333,,,34.333333333333336,28.866666666666667,,34.333333333333336,57.06666666666667,23.333333333333332,26.6,,26.0,,,31.333333333333332,30.4,33.8,,
2017-10-09 11:15:00,28.133333333333333,27.266666666666666,26.933333333333334,,,33.2,28.0,,38.333333333333336,39.93333333333333,20.066666666666666,27.933333333333334,,25.533333333333335,,,30.133333333333333,33.46666666666667,88.73333333333333,,
2017-10-09 11:30:00,23.533333333333335,25.4,25.666666666666668,,,29.0,25.133333333333333,,34.06666666666667,38.86666666666667,18.933333333333334,28.066666666666666,,23.466666666666665,,,35.46666666666667,27.733333333333334,51.333333333333336,,
2017-10-09 11:45:00,26.6,24.0,25.2,,,23.4,25.2,,30.2,43.46666666666667,20.466666666666665,28.2,,22.133333333333333,,,26.2,29.066666666666666,25.933333333333334,,
2017-10-09 12:00:00,24.733333333333334,26.0,24.666666666666668,,,26.466666666666665,24.8,,34.266666666666666,36.266666666666666,21.333333333333332,27.733333333333334,,20.933333333333334,,,27.8,29.333333333333332,32.46666666666667,,
2017-10-09 12:15:00,22.533333333333335,22.333333333333332,39.13333333333333,,,23.133333333333333,20.866666666666667,,51.733333333333334,66.73333333333333,21.0,24.933333333333334,,20.866666666666667,,,24.733333333333334,36.2,32.86666666666667,,
2017-10-09 12:30:00,22.8,20.933333333333334,43.6,,,18.933333333333334,20.933333333333334,,111.06666666666666,55.13333333333333,21.466666666666665,26.333333333333332,,17.0,,,24.133333333333333,29.533333333333335,40.266666666666666,,
2017-10-09 12:45:00,20.6,19.733333333333334,31.4,,,16.4,17.2,,315.53333333333336,52.06666666666667,19.733333333333334,26.866666666666667,,17.066666666666666,,,24.533333333333335,33.666666666666664,29.8,,
2017-10-09 13:00:00,22.666666666666668,19.933333333333334,32.2,,,19.533333333333335,21.733333333333334,,28.4,44.266666666666666,23.933333333333334,24.533333333333335,,16.733333333333334,,,23.933333333333334,33.86666666666667,30.0,,
2017-10-09 13:15:00,22.866666666666667,33.06666666666667,26.866666666666667,,,19.0,18.866666666666667,,145.93333333333334,52.266666666666666,24.2,28.0,,14.8,,,40.4,29.733333333333334,33.2,,
2017-10-09 13:30:00,23.4,35.266666666666666,28.8,,,18.8,20.733333333333334,,28.6,33.0,31.133333333333333,28.4,,15.666666666666666,,,20.133333333333333,25.066666666666666,30.333333333333332,,
2017-10-09 13:45:00,29.333333333333332,28.533333333333335,29.333333333333332,,,21.4,20.4,,31.266666666666666,27.866666666666667,31.2,23.133333333333333,,20.466666666666665,,,21.733333333333334,22.733333333333334,38.266666666666666,,
2017-10-09 14:00:00,28.0,22.933333333333334,26.0,,,23.133333333333333,23.133333333333333,,32.4,25.4,26.066666666666666,26.6,,19.066666666666666,,,22.266666666666666,28.066666666666666,54.266666666666666,,
2017-10-09 14:15:00,28.733333333333334,23.866666666666667,24.133333333333333,,,23.333333333333332,23.6,,184.53333333333333,27.866666666666667,21.733333333333334,33.666666666666664,,18.266666666666666,,,25.4,27.466666666666665,63.6,,
2017-10-09 14:30:00,30.533333333333335,26.2,23.133333333333333,,,23.8,23.333333333333332,,62.733333333333334,26.4,19.733333333333334,35.733333333333334,,16.133333333333333,,,43.266666666666666,29.8,32.0,,
2017-10-09 14:45:00,29.0,22.8,25.133333333333333,,,29.866666666666667,23.8,,32.8,30.533333333333335,18.933333333333334,36.53333333333333,,16.266666666666666,,,28.2,26.733333333333334,28.2,,
2017-10-09 15:00:00,26.6,25.266666666666666,27.933333333333334,,,24.2,23.066666666666666,,27.4,30.0,20.333333333333332,28.933333333333334,,29.0,,,25.333333333333332,35.46666666666667,27.6,,
2017-10-09 15:15:00,24.733333333333334,21.333333333333332,19.8,,,21.866666666666667,23.6,,26.0,27.133333333333333,21.466666666666665,22.8,,18.933333333333334,,,27.466666666666665,29.466666666666665,25.866666666666667,,
2017-10-09 15:30:00,24.8,18.8,23.0,,,18.2,19.533333333333335,,28.466666666666665,27.4,25.133333333333333,23.2,,18.8,,,25.133333333333333,32.8,30.666666666666668,,
2017-10-09 15:45:00,31.066666666666666,21.533333333333335,24.133333333333333,,,18.666666666666668,19.266666666666666,,45.8,27.466666666666665,23.266666666666666,24.333333333333332,,17.466666666666665,,,62.6,30.133333333333333,33.53333333333333,,
2017-10-09 16:00:00,30.933333333333334,23.6,25.2,,,17.8,20.533333333333335,,52.06666666666667,27.0,24.066666666666666,27.533333333333335,,21.6,,,25.066666666666666,30.533333333333335,34.4,,
2017-10-09 16:15:00,32.86666666666667,22.2,27.066666666666666,,,20.933333333333334,23.466666666666665,,42.53333333333333,24.866666666666667,27.933333333333334,32.333333333333336,,20.0,,,25.0,28.133333333333333,38.0,,
2017-10-09 16:30:00,31.4,25.133333333333333,25.8,,,19.533333333333335,21.333333333333332,,61.2,23.8,24.266666666666666,32.6,,20.466666666666665,,,37.266666666666666,30.666666666666668,35.46666666666667,,
2017-10-09 16:45:00,36.733333333333334,24.733333333333334,23.866666666666667,,,19.733333333333334,23.866666666666667,,46.0,42.53333333333333,46.46666666666667,33.53333333333333,,21.0,,,28.866666666666667,26.333333333333332,30.333333333333332,,
2017-10-09 17:00:00,42.0,29.133333333333333,27.866666666666667,,,22.066666666666666,25.6,,59.46666666666667,32.333333333333336,100.93333333333334,35.333333333333336,,21.133333333333333,,,23.933333333333334,30.2,40.2,,
2017-10-09 17:15:00,37.4,26.733333333333334,27.6,,,22.733333333333334,23.933333333333334,,67.6,26.266666666666666,120.66666666666667,32.93333333333333,,21.6,,,37.0,31.333333333333332,34.0,,
2017-10-09 17:30:00,42.93333333333333,29.4,32.6,,,21.0,23.133333333333333,,90.0,45.6,146.86666666666667,28.0,,20.866666666666667,,,70.6,30.133333333333333,30.533333333333335,,
2017-10-09 17:45:00,55.46666666666667,55.93333333333333,50.06666666666667,,,27.2,27.533333333333335,,113.93333333333334,49.53333333333333,67.86666666666666,24.466666666666665,,18.6,,,99.8,33.86666666666667,28.866666666666667,,
2017-10-09 18:00:00,56.46666666666667,52.2,43.666666666666664,,,29.8,27.266666666666666,,121.06666666666666,32.53333333333333,37.733333333333334,19.933333333333334,,21.266666666666666,,,40.333333333333336,33.0,30.533333333333335,,
2017-10-09 18:15:00,58.53333333333333,73.93333333333334,36.333333333333336,,,30.866666666666667,28.8,,139.86666666666667,48.86666666666667,43.86666666666667,18.266666666666666,,24.866666666666667,,,39.333333333333336,39.6,28.533333333333335,,
2017-10-09 18:30:00,57.733333333333334,95.86666666666666,59.13333333333333,,,31.466666666666665,28.2,,146.33333333333334,57.142857142857146,55.86666666666667,15.266666666666667,,27.733333333333334,,,46.266666666666666,44.733333333333334,34.4,,
2017-10-09 18:45:00,74.6,112.06666666666666,58.6,,,30.533333333333335,35.2,,150.73333333333332,62.8,69.8,15.466666666666667,,29.2,,,58.0,52.13333333333333,36.266666666666666,,
2017-10-09 19:00:00,64.46666666666667,99.93333333333334,60.93333333333333,,,33.6,35.53333333333333,,155.93333333333334,41.53333333333333,68.86666666666666,17.2,,29.6,,,54.733333333333334,52.93333333333333,37.06666666666667,,
2017-10-09 19:15:00,83.13333333333334,120.93333333333334,58.86666666666667,,,34.333333333333336,37.06666666666667,,144.06666666666666,68.46666666666667,58.333333333333336,20.666666666666668,,29.733333333333334,,,50.6,45.666666666666664,37.13333333333333,,
2017-10-09 19:30:00,69.4,136.93333333333334,73.53333333333333,,,35.06666666666667,44.06666666666667,,158.86666666666667,81.26666666666667,65.0,28.466666666666665,,35.53333333333333,,,70.0,37.53333333333333,38.4,,
2017-10-09 19:45:00,73.4,142.6,127.86666666666666,,,33.86666666666667,40.13333333333333,,156.4,69.53333333333333,67.8,31.666666666666668,,37.13333333333333,,,105.2,49.2,43.93333333333333,,
2017-10-09 20:00:00,78.4,131.26666666666668,124.66666666666667,,,36.86666666666667,34.733333333333334,,139.73333333333332,89.26666666666667,65.6,56.86666666666667,,34.333333333333336,,,92.86666666666666,50.8,43.93333333333333,,
2017-10-09 20:15:00,80.46666666666667,135.6,105.8,,,34.46666666666667,35.46666666666667,,119.0,121.93333333333334,53.4,57.46666666666667,,40.0,,,93.53333333333333,49.666666666666664,47.666666666666664,,
2017-10-09 20:30:00,82.93333333333334,143.93333333333334,136.93333333333334,,,33.13333333333333,36.733333333333334,,123.86666666666666,163.73333333333332,51.0,51.93333333333333,,41.06666666666667,,,72.13333333333334,53.0,51.266666666666666,,
