Date/Time,2963_O_LWCV,5938_O_SOSD,2427_O_ELIB,1955_O_PETE,7543_O_MILL,4645_O_SOSD,6227_O_ELIB,5624_O_BUFF,5571_O_BUFF,4431_O_WBG,8185_O_SWPK,8581_O_SOSD
2016-08-23 17:30:00,,25.2,,,25.266666666666666,18.466666666666665,23.333333333333332,,,,27.666666666666668,19.666666666666668
2016-08-23 17:45:00,,30.333333333333332,,,24.4,17.8,21.2,,,,27.533333333333335,22.0
2016-08-23 18:00:00,,31.333333333333332,,,24.533333333333335,20.933333333333334,22.4,,,,31.6,20.2
2016-08-23 18:15:00,,48.266666666666666,,,24.533333333333335,19.6,22.533333333333335,,,,36.06666666666667,20.2
2016-08-23 18:30:00,,49.06666666666667,,,28.4,20.6,25.933333333333334,,,,47.06666666666667,20.466666666666665
2016-08-23 18:45:00,,55.333333333333336,,,31.666666666666668,22.333333333333332,27.8,,,,48.6,23.666666666666668
2016-08-23 19:00:00,,57.333333333333336,,,38.266666666666666,29.133333333333333,26.4,,,,49.53333333333333,30.066666666666666
2016-08-23 19:15:00,,58.733333333333334,,,38.2,20.4,31.533333333333335,,,,51.2,24.266666666666666
2016-08-23 19:30:00,,56.666666666666664,,,40.6,25.8,28.266666666666666,,,,46.4,28.466666666666665
2016-08-23 19:45:00,,57.4,,,45.266666666666666,31.133333333333333,27.8,,,,44.2,34.53333333333333
2016-08-23 20:00:00,,61.0,,,46.266666666666666,41.266666666666666,29.2,,,,47.06666666666667,46.53333333333333
2016-08-23 20:15:00,,68.93333333333334,,,46.53333333333333,32.2,41.8,,,,40.333333333333336,33.6
2016-08-23 20:30:00,,76.53333333333333,,,54.6,29.8,37.2,,,,42.266666666666666,34.93333333333333
2016-08-23 20:45:00,,77.26666666666667,,,60.2,32.93333333333333,38.4,,,,43.53333333333333,36.8
2016-08-23 21:00:00,,50.0,,,76.26666666666667,38.666666666666664,45.666666666666664,,,,46.333333333333336,43.0
2016-08-23 21:15:00,,105.2,,,66.66666666666667,37.13333333333333,48.06666666666667,,,,44.13333333333333,44.93333333333333
2016-08-23 21:30:00,,128.8,,,61.86666666666667,38.86666666666667,48.86666666666667,,,,41.733333333333334,43.06666666666667
2016-08-23 21:45:00,,90.73333333333333,,,60.13333333333333,41.86666666666667,44.4,,,,62.06666666666667,51.8
2016-08-23 22:00:00,,70.2,,,64.4,42.0,46.2,,,,56.6,48.333333333333336
2016-08-23 22:15:00,,62.8,,,65.53333333333333,40.93333333333333,49.666666666666664,,,,57.0,47.06666666666667
2016-08-23 22:30:00,,59.266666666666666,,,62.266666666666666,58.46666666666667,56.266666666666666,,,,58.86666666666667,62.666666666666664
2016-08-23 22:45:00,,55.4,,,69.13333333333334,52.333333333333336,55.53333333333333,,,,53.266666666666666,59.86666666666667
2016-08-23 23:00:00,,76.2,,,71.33333333333333,59.06666666666667,60.2,,,,59.0,68.33333333333333
2016-08-23 23:15:00,,75.53333333333333,,,66.66666666666667,62.6,61.2,,,,63.46666666666667,72.33333333333333
2016-08-23 23:30:00,,54.666666666666664,,,70.2,63.733333333333334,64.4,,,,74.33333333333333,71.93333333333334
2016-08-23 23:45:00,,66.8,,,69.8,69.53333333333333,63.4,,,,84.2,75.33333333333333
2016-08-24 00:00:00,,93.33333333333333,,,70.73333333333333,68.53333333333333,66.8,,,,80.6,76.06666666666666
2016-08-24 00:15:00,,72.0,,,66.46666666666667,60.86666666666667,72.06666666666666,,,,81.2,69.86666666666666
2016-08-24 00:30:00,,72.26666666666667,,,65.46666666666667,62.53333333333333,74.26666666666667,,,,84.0,72.46666666666667
2016-08-24 00:45:00,,78.33333333333333,,,70.93333333333334,66.13333333333334,76.4,,,,92.6,75.13333333333334
2016-08-24 01:00:00,,80.53333333333333,,,67.86666666666666,65.06666666666666,82.4,,,,96.26666666666667,73.06666666666666
2016-08-24 01:15:00,,58.13333333333333,,,67.6,65.4,85.4,,,,101.46666666666667,82.6
2016-08-24 01:30:00,,63.8,,,74.06666666666666,73.66666666666667,92.46666666666667,,,,96.33333333333333,86.46666666666667
2016-08-24 01:45:00,,63.93333333333333,,,65.13333333333334,84.8,96.6,,,,104.53333333333333,107.6
2016-08-24 02:00:00,,81.86666666666666,,,71.66666666666667,69.86666666666666,96.0,,,,103.0,88.46666666666667
2016-08-24 02:15:00,,75.73333333333333,,,66.33333333333333,87.0,97.2,,,,109.2,98.26666666666667
2016-08-24 02:30:00,,63.46666666666667,,,65.73333333333333,93.8,95.66666666666667,,,,108.53333333333333,111.53333333333333
2016-08-24 02:45:00,,65.26666666666667,,,70.46666666666667,109.53333333333333,102.73333333333333,,,,96.4,123.0
2016-08-24 03:00:00,,82.86666666666666,,,69.4,135.93333333333334,105.93333333333334,,,,96.53333333333333,161.66666666666666
2016-08-24 03:15:00,,78.2,,,70.6,127.66666666666667,105.2,,,,97.2,142.26666666666668
2016-08-24 03:30:00,,74.6,,,72.46666666666667,129.4,111.6,,,,98.4,148.86666666666667
2016-08-24 03:45:00,,71.6,,,70.0,131.06666666666666,108.4,,,,94.46666666666667,147.26666666666668
2016-08-24 04:00:00,,74.6,,,68.86666666666666,135.66666666666666,107.66666666666667,,,,98.2,148.06666666666666
