Date/Time,1295_O_BCVW,3422_O_HICK,4431_O_WBG,4972_O_MTLE,5571_O_BUFF,5624_O_BUFF,8185_O_SWPK
2016-03-18 16:00:00,161.53333333333333,121.73333333333332,204.86666666666667,830.6666666666665,695.0,695.0,178.73333333333332
2016-03-18 16:15:00,165.4,117.66666666666669,181.33333333333331,1009.7333333333332,818.0666666666667,818.0666666666667,181.66666666666663
2016-03-18 16:30:00,174.06666666666663,120.33333333333331,175.66666666666663,706.7333333333332,887.6,887.6,221.66666666666663
2016-03-18 16:45:00,166.0,121.93333333333334,185.8,934.4,908.9333333333333,908.9333333333333,216.86666666666667
2016-03-18 17:00:00,244.46666666666667,134.06666666666666,181.0,1129.7333333333333,827.5333333333333,827.5333333333333,204.9333333333333
2016-03-18 17:15:00,300.8,202.4,186.2,1056.0,699.3333333333335,699.3333333333335,279.3333333333333
2016-03-18 17:30:00,318.4,364.8,190.4,1375.4,669.2666666666668,669.2666666666668,305.1333333333333
2016-03-18 17:45:00,326.6,417.4,188.13333333333333,1313.0,836.0,836.0,326.53333333333336
2016-03-18 18:00:00,330.73333333333335,449.0,189.8,1368.7333333333333,1236.9333333333334,1236.9333333333334,347.13333333333327
2016-03-18 18:15:00,595.0666666666667,512.2,186.86666666666667,1517.2,1670.7333333333331,1670.7333333333331,341.46666666666664
2016-03-18 18:30:00,579.1333333333333,568.0666666666667,190.46666666666667,1378.6,2201.866666666667,2201.866666666667,481.8
2016-03-18 18:45:00,651.5333333333333,508.4666666666666,185.7333333333333,1336.8,2323.866666666667,2323.866666666667,629.9333333333333
2016-03-18 19:00:00,747.2,488.06666666666666,276.0,1309.7333333333333,2029.9333333333332,2029.9333333333332,629.7333333333332
2016-03-18 19:15:00,668.0666666666667,550.7333333333332,427.4,1598.8666666666666,2117.266666666667,2117.266666666667,634.9333333333333
2016-03-18 19:30:00,597.4666666666667,949.9333333333333,464.9333333333333,1882.666666666667,2251.933333333333,2251.933333333333,659.7333333333332
2016-03-18 19:45:00,572.3333333333334,1075.8,529.0,1935.466666666667,2079.4666666666667,2079.4666666666667,602.9333333333333
2016-03-18 20:00:00,555.8666666666667,1063.4666666666667,561.9333333333333,1989.533333333333,1949.1333333333332,1949.1333333333332,499.4
