Date/Time,1639_O_ELIB,2071_O_NOSD,3555_O_SCLL,3653_O_MARS,3780_O_HZWD,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,6227_O_ELIB,7543_O_MILL,8581_O_SOSD
2016-10-14 15:45:00,207.33333333333331,311.06666666666666,314.0,,,230.66666666666663,263.4,263.4,231.9333333333333,179.26666666666668,
2016-10-14 16:00:00,189.46666666666667,330.8666666666667,331.26666666666665,,,230.53333333333333,308.26666666666665,308.26666666666665,231.9333333333333,197.2,
2016-10-14 16:15:00,175.53333333333333,327.8,321.93333333333334,,,259.53333333333336,305.06666666666666,305.06666666666666,241.8,190.86666666666667,
2016-10-14 16:30:00,174.0,380.53333333333336,298.6,,,249.26666666666668,377.86666666666673,377.86666666666673,250.0,256.4,
2016-10-14 16:45:00,181.13333333333333,429.66666666666674,277.8666666666667,,,228.7333333333333,322.46666666666664,322.46666666666664,253.86666666666667,251.46666666666667,
2016-10-14 17:00:00,178.66666666666663,474.26666666666665,312.93333333333334,,,232.8,318.3333333333333,318.3333333333333,268.1333333333333,340.93333333333334,
2016-10-14 17:15:00,194.53333333333333,469.8,308.06666666666666,,,239.46666666666667,245.8,245.8,325.8,713.7333333333332,
2016-10-14 17:30:00,227.53333333333333,477.53333333333336,397.13333333333327,,,277.93333333333334,356.9333333333333,356.9333333333333,333.8666666666667,907.4666666666667,
2016-10-14 17:45:00,233.0,477.0,635.4,,,308.53333333333336,431.13333333333327,431.13333333333327,565.2666666666668,702.0666666666667,
2016-10-14 18:00:00,236.33333333333331,453.06666666666666,719.2,,,359.53333333333336,643.8,643.8,324.4,575.3333333333334,
2016-10-14 18:15:00,270.6666666666667,491.66666666666674,1829.533333333333,,,492.2,423.26666666666665,423.26666666666665,498.06666666666666,406.06666666666666,
2016-10-14 18:30:00,315.0,638.0,656.0,,,512.7333333333332,263.6,263.6,532.2,469.2,
2016-10-14 18:45:00,342.3333333333333,523.0666666666667,1909.9333333333332,,,954.8,227.06666666666663,227.06666666666663,555.7333333333332,578.2,
2016-10-14 19:00:00,371.9333333333333,524.0666666666667,697.8666666666667,,,983.8666666666667,255.53333333333333,255.53333333333333,581.0,733.2,
2016-10-14 19:15:00,408.13333333333327,638.4666666666667,465.73333333333335,,,565.6,262.06666666666666,262.06666666666666,356.28571428571433,1089.5333333333333,
2016-10-14 19:30:00,421.53333333333336,635.2,401.53333333333336,,,4033.733333333333,258.93333333333334,258.93333333333334,475.13333333333327,1087.1333333333334,
2016-10-14 19:45:00,442.73333333333335,781.1333333333333,550.6,,,4456.066666666667,269.93333333333334,269.93333333333334,732.0666666666667,1053.0666666666666,
2016-10-14 20:00:00,488.0,1086.1333333333334,1861.9333333333332,,,11176.866666666667,279.8666666666667,279.8666666666667,840.2666666666668,1350.1333333333334,
2016-10-14 20:15:00,532.2,1986.2,2752.0,,,1433.0666666666666,295.4,295.4,954.4666666666667,1133.2,
2016-10-14 20:30:00,635.8,1714.333333333333,1631.8666666666666,,,1179.0,845.3333333333335,845.3333333333335,1131.1333333333334,1316.6666666666667,
2016-10-14 20:45:00,1306.3333333333333,1313.7333333333333,640.8666666666667,,,1197.6,629.8666666666667,629.8666666666667,1161.9333333333334,1950.9333333333332,
2016-10-14 21:00:00,1078.7333333333333,1366.8,538.8666666666667,,,1168.3333333333333,1610.4,1610.4,1076.8,1197.2666666666667,
2016-10-14 21:15:00,935.7333333333332,1510.8666666666666,690.6666666666665,,,7557.0666666666675,1762.2,1762.2,1158.3333333333333,1366.5333333333333,
2016-10-14 21:30:00,916.2,1700.4,1182.2666666666667,,,3319.0,1084.2666666666667,1084.2666666666667,1174.0,1852.1333333333332,
2016-10-14 21:45:00,1790.8,1634.8666666666666,1355.7333333333333,,,3386.733333333333,730.1333333333333,730.1333333333333,1174.0,2288.933333333333,
2016-10-14 22:00:00,1331.2666666666667,1448.2,1048.3333333333333,,,1151.4,861.2,861.2,1318.2,2354.933333333333,
2016-10-14 22:15:00,1558.9333333333334,1767.1333333333334,729.3333333333335,,,752.8,1004.9333333333333,1004.9333333333333,1488.4,2537.6,
2016-10-14 22:30:00,1536.8,1607.466666666667,705.0666666666667,,,760.7333333333332,1036.5333333333333,1036.5333333333333,1478.6,2567.6,
2016-10-14 22:45:00,1399.6,2096.4666666666667,790.6666666666665,,,1462.7333333333331,845.2,845.2,1538.8,2793.666666666666,
2016-10-14 23:00:00,2318.6,1615.2666666666669,817.6,,,1038.0,697.1333333333333,697.1333333333333,1626.8,2732.4,
2016-10-14 23:15:00,2071.333333333333,1941.533333333333,1121.2,,,966.6666666666665,1038.5333333333333,1038.5333333333333,1710.666666666667,2436.6666666666665,
2016-10-14 23:30:00,1584.466666666667,2137.6666666666665,1236.5333333333333,,,1574.0666666666666,1395.1333333333334,1395.1333333333334,1768.2666666666669,2577.4666666666667,
2016-10-14 23:45:00,1339.9333333333334,1746.1333333333334,893.3333333333335,,,1763.2666666666669,3386.066666666666,3386.066666666666,1894.7333333333331,2814.066666666666,
2016-10-15 00:00:00,1182.3333333333333,1933.4,939.8,,,1320.4666666666667,11154.333333333336,11154.333333333336,1982.666666666667,2828.333333333333,
2016-10-15 00:15:00,1072.4,1939.2,1045.1333333333334,,,1127.1333333333334,3761.266666666667,3761.266666666667,2010.2666666666669,2497.6666666666665,
2016-10-15 00:30:00,1033.8,1867.466666666667,1296.9333333333334,,,1141.6,1761.466666666667,1761.466666666667,2146.4666666666667,2844.2,
2016-10-15 00:45:00,1002.2,1960.2,2620.266666666667,,,1286.2,1654.666666666667,1654.666666666667,2271.0,2566.933333333333,
2016-10-15 01:00:00,992.1333333333333,1988.666666666667,2230.8,,,1374.6,1810.533333333333,1810.533333333333,2239.4,2709.6666666666665,
2016-10-15 01:15:00,982.0666666666667,2019.0666666666666,2538.5333333333333,,,1529.666666666667,1609.466666666667,1609.466666666667,2091.933333333333,2840.4666666666667,
2016-10-15 01:30:00,955.8,2062.133333333333,1594.0666666666666,,,1791.333333333333,1367.7333333333333,1367.7333333333333,2149.5333333333333,2841.733333333333,
2016-10-15 01:45:00,949.6666666666665,2052.333333333333,1836.2666666666669,,,2134.0,1539.6,1539.6,2147.4,2949.8,
2016-10-15 02:00:00,956.0,1940.0666666666666,1567.466666666667,,,1973.466666666667,1164.8666666666666,1164.8666666666666,2336.866666666667,3017.8,
2016-10-15 02:15:00,948.6,1791.666666666667,1333.3333333333333,,,1856.333333333333,888.4666666666667,888.4666666666667,2466.333333333333,3314.0,
2016-10-15 02:30:00,995.6,1823.466666666667,1470.466666666667,,,1835.2666666666669,964.0,964.0,2679.0666666666666,3251.8,
2016-10-15 02:45:00,1021.7333333333332,1840.6,1354.7333333333333,,,1741.2,1022.0666666666667,1022.0666666666667,2799.4666666666667,3295.733333333333,
2016-10-15 03:00:00,1014.4,2193.0666666666666,1305.4666666666667,,,2021.1333333333332,1055.2666666666667,1055.2666666666667,2910.5333333333333,3033.933333333333,
2016-10-15 03:15:00,990.8,1918.6,1321.2666666666667,,,2389.6666666666665,1027.9333333333334,1027.9333333333334,2922.8,2989.066666666666,
2016-10-15 03:30:00,1188.2666666666667,1944.333333333333,1316.5333333333333,,,2050.733333333333,1027.8,1027.8,2754.333333333333,2943.333333333333,
2016-10-15 03:45:00,1415.533333333333,2071.8,1418.466666666667,,,1857.666666666667,1077.6,1077.6,2623.0,3334.333333333333,
2016-10-15 04:00:00,1211.4,2096.866666666667,1475.333333333333,,,1819.1333333333332,1252.2,1252.2,2785.066666666666,3541.266666666667,
2016-10-15 04:15:00,1269.0666666666666,1960.8666666666666,1500.1333333333334,,,2798.8,1403.0666666666666,1403.0666666666666,2787.066666666666,3049.4666666666667,
2016-10-15 04:30:00,1173.4,1912.466666666667,1623.2,,,2229.6,1575.533333333333,1575.533333333333,2602.0666666666666,2864.133333333333,
2016-10-15 04:45:00,1168.2666666666667,1927.333333333333,1732.6,,,2084.4,1577.466666666667,1577.466666666667,2761.933333333333,2948.866666666667,
2016-10-15 05:00:00,1558.0666666666666,1875.4,1714.2,,,2060.6,1605.0,1605.0,3173.933333333333,2745.4666666666667,
2016-10-15 05:15:00,1863.8666666666666,2040.9333333333332,1514.0,,,1941.466666666667,1635.333333333333,1635.333333333333,3813.866666666667,2884.866666666667,
2016-10-15 05:30:00,2178.2,2048.133333333333,1625.8,,,1769.2,1264.0666666666666,1264.0666666666666,6592.6,4338.866666666667,
2016-10-15 05:45:00,1877.533333333333,2160.866666666667,1705.8,,,1719.0,1212.6,1212.6,7334.8,4538.533333333334,
2016-10-15 06:00:00,1550.6,2216.4666666666667,1555.0,,,1699.9333333333334,1433.2666666666669,1433.2666666666669,7396.0,6200.8,
2016-10-15 06:15:00,2364.5333333333333,2219.5333333333333,1550.0666666666666,,,2549.6,1497.8666666666666,1497.8666666666666,8268.666666666666,7031.666666666668,
2016-10-15 06:30:00,2531.866666666667,2488.866666666667,1929.9333333333332,,,2591.4666666666667,1413.666666666667,1413.666666666667,7848.266666666666,5113.0,
2016-10-15 06:45:00,2069.0,3461.266666666667,1820.0,,,2490.266666666667,1273.4,1273.4,7581.9333333333325,3634.933333333333,
2016-10-15 07:00:00,2459.5333333333333,3338.933333333333,1641.533333333333,,,2485.4,1301.6,1301.6,6224.4,3950.6,
2016-10-15 07:15:00,2307.4666666666667,3396.8,1644.466666666667,,,2228.733333333333,1178.9333333333334,1178.9333333333334,5311.466666666666,4558.533333333334,
2016-10-15 07:30:00,2039.0666666666666,3078.8,1546.2,,,2162.0666666666666,1086.0666666666666,1086.0666666666666,5899.866666666668,3618.4666666666662,
2016-10-15 07:45:00,2646.0666666666666,3061.933333333333,1483.4,,,1979.7333333333331,1000.6,1000.6,5389.466666666666,4914.933333333333,
2016-10-15 08:00:00,2323.6,3175.666666666666,1496.0666666666666,,,1923.0666666666666,781.8666666666667,781.8666666666667,5176.2,6004.266666666666,
2016-10-15 08:15:00,2103.933333333333,3300.2,1221.6,,,1567.9333333333334,769.2666666666668,769.2666666666668,5070.333333333333,6312.0666666666675,
2016-10-15 08:30:00,1438.8666666666666,4128.133333333333,1191.9333333333334,,,1520.0,717.8,717.8,6283.266666666666,7338.333333333332,
2016-10-15 08:45:00,2273.8,3759.6,1289.0666666666666,,,1562.9333333333334,639.7333333333332,639.7333333333332,6017.733333333334,6681.8,
2016-10-15 09:00:00,1671.1333333333334,3631.666666666666,1243.0,,,1594.533333333333,518.3333333333334,518.3333333333334,7017.2,5243.266666666666,
2016-10-15 09:15:00,1464.533333333333,4007.666666666666,1149.5333333333333,,,1641.8,501.53333333333336,501.53333333333336,5612.866666666668,4188.533333333334,
2016-10-15 09:30:00,1370.8666666666666,4054.6,708.7333333333332,,,1659.466666666667,428.9333333333333,428.9333333333333,4217.266666666666,3313.866666666667,
2016-10-15 09:45:00,1384.0,4216.466666666666,549.1333333333333,,,1475.2666666666669,379.73333333333335,379.73333333333335,3454.133333333333,2233.866666666667,
2016-10-15 10:00:00,1049.2,4669.0,546.1333333333333,,,1368.2666666666667,373.4666666666666,373.4666666666666,2036.7333333333331,1837.333333333333,
2016-10-15 10:15:00,853.0,4768.666666666667,462.73333333333335,,,1320.8,376.4,376.4,1857.0666666666666,1830.333333333333,
2016-10-15 10:30:00,717.1333333333333,4248.533333333334,342.2,,,1209.9333333333334,380.0,380.0,1611.2,1728.6,
