Date/Time,2238_O_GNFD,4918_O_MEHL_ME,4114_O_BLKR,4757_O_PNHL,3192_O_BRKN,4431_O_WBG,2693_O_CAPA_CA,5158_O_NYCT_NY,6228_O_ASPW,5502_O_SQHS,8624_O_BCVW,5451_O_LWCV
2021-01-22 06:30:00,,,,,,559.7333333333333,,,,,,
2021-01-22 06:45:00,,,,,,505.2,,,,,,
2021-01-22 07:00:00,,,,,,502.8,,,,,,
2021-01-22 07:15:00,,,,,,615.8666666666667,,,,,,
2021-01-22 07:30:00,,,,,,565.4666666666667,,,,,,
2021-01-22 07:45:00,,,,,,558.8666666666667,,,,,,
2021-01-22 08:00:00,,,,,,639.0,,,,,,
2021-01-22 08:15:00,,3554.7,,,,636.6,,,,,,
2021-01-22 08:30:00,,5441.466666666666,,,,678.8666666666667,,,,,,
2021-01-22 08:45:00,,5515.333333333333,,,,706.6666666666666,,,,,,
2021-01-22 09:00:00,,5472.333333333333,,,,761.4666666666667,,,,,,
2021-01-22 09:15:00,,5518.2,,,,697.6666666666666,,,,,,
2021-01-22 09:30:00,,5470.466666666666,,,,687.3333333333334,,,,,,
2021-01-22 09:45:00,,4840.733333333334,,,,663.1333333333333,,,,,,
2021-01-22 10:00:00,,3793.733333333333,,,,659.3333333333334,,,,,,
2021-01-22 10:15:00,,3555.2,,,,652.0,,,,,,
2021-01-22 10:30:00,,3205.9333333333334,,,,771.6,,,234.41666666666666,,,
2021-01-22 10:45:00,,2881.0666666666666,,,,698.4666666666667,,,171.0,,,
2021-01-22 11:00:00,,2754.0666666666666,,,,754.6,,,,,,
2021-01-22 11:15:00,,2936.266666666667,,,,659.2666666666667,,,433.0,,,
2021-01-22 11:30:00,,2704.6666666666665,,,,666.5333333333333,,,617.8666666666667,,,
2021-01-22 11:45:00,,2828.9333333333334,,,,664.7333333333333,,,674.7333333333333,,,
2021-01-22 12:00:00,,2472.0,,,,620.4,,,691.4,,,
2021-01-22 12:15:00,,2423.6,,,,556.8666666666667,,,736.2666666666667,,,
