Date/Time,2348_O_HILL,7324_O_NSHR,8485_O_FRSP,2759_O_BRHT,6959_O_ELIB,8609_O_DOWN,6582_O_OAKD,2533_O_ALTN,5575_O_ETNA
2018-08-18 13:00:00,36.06666666666667,36.53333333333333,,57.266666666666666,29.0,,,,
2018-08-18 13:15:00,43.6,29.666666666666668,,45.06666666666667,29.0,,,,
2018-08-18 13:30:00,28.933333333333334,30.866666666666667,,47.13333333333333,25.266666666666666,,,,
2018-08-18 13:45:00,21.4,25.066666666666666,,45.86666666666667,20.466666666666665,,,,
2018-08-18 14:00:00,26.466666666666665,30.266666666666666,,44.13333333333333,20.466666666666665,,,,
2018-08-18 14:15:00,22.333333333333332,25.933333333333334,,39.0,19.333333333333332,,,,
2018-08-18 14:30:00,18.2,23.2,,32.6,16.4,,,,
2018-08-18 14:45:00,16.866666666666667,21.333333333333332,,30.266666666666666,12.133333333333333,,,,
2018-08-18 15:00:00,17.6,20.133333333333333,,28.933333333333334,10.066666666666666,,,,
2018-08-18 15:15:00,13.866666666666667,17.266666666666666,,29.8,10.0,,,,
2018-08-18 15:30:00,13.933333333333334,18.933333333333334,,42.266666666666666,9.866666666666667,,,,
2018-08-18 15:45:00,15.2,21.6,,30.0,8.733333333333333,,,,
2018-08-18 16:00:00,12.4,17.866666666666667,,30.466666666666665,9.866666666666667,,,,
2018-08-18 16:15:00,16.133333333333333,19.6,,31.866666666666667,12.866666666666667,,,,
2018-08-18 16:30:00,16.933333333333334,18.266666666666666,,30.733333333333334,12.066666666666666,,,,
2018-08-18 16:45:00,19.466666666666665,17.8,,32.06666666666667,11.866666666666667,,,,
2018-08-18 17:00:00,16.266666666666666,15.8,,27.533333333333335,9.466666666666667,,,,
2018-08-18 17:15:00,15.866666666666667,16.133333333333333,,24.066666666666666,6.0,,,,
2018-08-18 17:30:00,13.6,13.333333333333334,,29.866666666666667,8.866666666666667,,,,
2018-08-18 17:45:00,15.4,15.4,,27.733333333333334,9.0,,,,
2018-08-18 18:00:00,16.0,18.2,,32.46666666666667,9.4,,,,
2018-08-18 18:15:00,20.466666666666665,20.4,,42.2,11.933333333333334,,,,
2018-08-18 18:30:00,19.8,22.6,,38.06666666666667,13.0,,,,
2018-08-18 18:45:00,23.466666666666665,25.0,,36.4,13.8,,,,
2018-08-18 19:00:00,24.8,28.2,,43.666666666666664,14.533333333333333,,,,
2018-08-18 19:15:00,25.333333333333332,29.466666666666665,,45.333333333333336,15.933333333333334,,,,
2018-08-18 19:30:00,27.266666666666666,29.0,,43.53333333333333,19.266666666666666,,,,
2018-08-18 19:45:00,25.133333333333333,30.266666666666666,,44.46666666666667,19.266666666666666,,,,
2018-08-18 20:00:00,28.133333333333333,31.4,,45.93333333333333,20.2,,,,
2018-08-18 20:15:00,29.0,30.066666666666666,,44.93333333333333,24.0,,,,
2018-08-18 20:30:00,30.8,35.4,,49.06666666666667,21.733333333333334,,,,
2018-08-18 20:45:00,31.8,34.266666666666666,,54.13333333333333,24.4,,,,
2018-08-18 21:00:00,31.866666666666667,34.86666666666667,,57.333333333333336,21.0,,,,
2018-08-18 21:15:00,30.6,39.2,,62.733333333333334,23.533333333333335,,,,
2018-08-18 21:30:00,29.866666666666667,37.666666666666664,,61.46666666666667,22.933333333333334,,,,
2018-08-18 21:45:00,32.86666666666667,41.6,,66.93333333333334,28.8,,,92.0,
2018-08-18 22:00:00,34.53333333333333,42.53333333333333,,69.0,24.533333333333335,,,65.93333333333334,
2018-08-18 22:15:00,35.266666666666666,45.06666666666667,,69.2,26.933333333333334,,,60.733333333333334,
2018-08-18 22:30:00,38.46666666666667,46.93333333333333,,59.93333333333333,27.866666666666667,,,58.06666666666667,
2018-08-18 22:45:00,44.4,47.733333333333334,,72.66666666666667,28.066666666666666,,,59.333333333333336,
2018-08-18 23:00:00,45.13333333333333,48.86666666666667,,85.8,28.4,,,61.93333333333333,
2018-08-18 23:15:00,42.266666666666666,49.93333333333333,,84.86666666666666,34.4,,,61.666666666666664,
2018-08-18 23:30:00,46.86666666666667,49.733333333333334,,98.8,30.933333333333334,,,66.0,
2018-08-18 23:45:00,46.333333333333336,55.06666666666667,,111.2,33.266666666666666,,,62.2,
2018-08-19 00:00:00,50.06666666666667,54.2,,85.2,33.8,,,94.2,
2018-08-19 00:15:00,46.53333333333333,53.6,,138.46666666666667,36.53333333333333,,,75.0,
2018-08-19 00:30:00,44.86666666666667,187.73333333333332,,92.33333333333333,39.46666666666667,,,69.46666666666667,
2018-08-19 00:45:00,44.0,123.8,,104.8,44.06666666666667,,,72.6,
2018-08-19 01:00:00,44.6,54.733333333333334,,119.66666666666667,53.6,,,75.93333333333334,
2018-08-19 01:15:00,51.53333333333333,56.86666666666667,,95.53333333333333,52.733333333333334,,,72.26666666666667,
2018-08-19 01:30:00,52.53333333333333,54.6,,81.06666666666666,42.93333333333333,,,70.4,
2018-08-19 01:45:00,48.266666666666666,53.266666666666666,,84.26666666666667,46.2,,,84.06666666666666,
2018-08-19 02:00:00,49.06666666666667,50.86666666666667,,87.53333333333333,44.333333333333336,,,80.73333333333333,
2018-08-19 02:15:00,48.6,55.06666666666667,,99.26666666666667,46.8,,,77.2,
2018-08-19 02:30:00,48.266666666666666,56.06666666666667,,165.86666666666667,44.333333333333336,,,74.06666666666666,
2018-08-19 02:45:00,53.0,55.6,,98.46666666666667,45.6,,,66.53333333333333,
2018-08-19 03:00:00,55.13333333333333,94.8,,108.26666666666667,43.333333333333336,,,73.46666666666667,
2018-08-19 03:15:00,54.06666666666667,63.733333333333334,,82.46666666666667,46.13333333333333,,,79.26666666666667,
2018-08-19 03:30:00,52.46666666666667,59.13333333333333,,83.73333333333333,43.86666666666667,,,80.4,
2018-08-19 03:45:00,50.0,57.86666666666667,,90.53333333333333,43.2,,,81.86666666666666,
2018-08-19 04:00:00,50.4,58.0,,105.4,42.06666666666667,,,78.33333333333333,
2018-08-19 04:15:00,54.266666666666666,61.86666666666667,,142.26666666666668,44.4,,,84.2,
2018-08-19 04:30:00,55.4,59.46666666666667,,168.2,41.666666666666664,,,80.93333333333334,
2018-08-19 04:45:00,54.86666666666667,63.53333333333333,,102.6,45.666666666666664,,,81.33333333333333,
2018-08-19 05:00:00,56.6,66.66666666666667,,98.73333333333333,40.93333333333333,,,76.4,
2018-08-19 05:15:00,57.93333333333333,65.26666666666667,,89.06666666666666,45.2,,,78.26666666666667,
2018-08-19 05:30:00,59.06666666666667,62.266666666666666,,114.4,44.666666666666664,,,79.6,
2018-08-19 05:45:00,58.2,65.33333333333333,,146.46666666666667,48.733333333333334,,,77.0,
2018-08-19 06:00:00,57.4,67.66666666666667,,98.73333333333333,45.86666666666667,,,74.73333333333333,
2018-08-19 06:15:00,62.4,70.0,,99.93333333333334,47.93333333333333,,,77.6,
2018-08-19 06:30:00,64.6,69.26666666666667,,104.6,46.0,,,82.2,
2018-08-19 06:45:00,65.33333333333333,69.86666666666666,,99.8,46.8,,,86.2,
2018-08-19 07:00:00,64.86666666666666,70.73333333333333,,112.0,48.333333333333336,,,88.6,
2018-08-19 07:15:00,68.73333333333333,70.06666666666666,,124.4,54.666666666666664,,,90.46666666666667,
2018-08-19 07:30:00,69.73333333333333,66.4,,149.2,50.13333333333333,,,82.86666666666666,
2018-08-19 07:45:00,69.46666666666667,65.6,,92.4,55.266666666666666,,,78.33333333333333,
2018-08-19 08:00:00,68.26666666666667,64.13333333333334,,93.66666666666667,52.0,,,77.53333333333333,
2018-08-19 08:15:00,67.8,62.333333333333336,,92.6,57.0,,,75.46666666666667,
2018-08-19 08:30:00,63.13333333333333,60.4,,98.4,58.93333333333333,,,74.86666666666666,
2018-08-19 08:45:00,61.46666666666667,59.53333333333333,,98.0,68.6,,,77.13333333333334,
