Date/Time,1441_O_CARN,1502_O_BLPK,1712_O_SQHS,2071_O_NOSD,3037_O_BLPK,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6582_O_OAKD,7075_O_BLOO,8941_O_MTLE
2018-02-25 04:30:00,1141.8666666666666,,,1140.0,,,740.4,812.7333333333332,812.7333333333332,695.2666666666668,,,718.8
2018-02-25 04:45:00,1084.2,,,1182.0,,,757.7333333333332,683.5333333333333,683.5333333333333,632.6,,,745.3333333333335
2018-02-25 05:00:00,962.5333333333333,,,1174.7333333333333,,,715.0666666666667,591.2666666666668,591.2666666666668,646.9333333333333,,,605.2666666666668
2018-02-25 05:15:00,836.8,,,1102.0666666666666,,,624.6666666666666,557.6,557.6,836.2666666666668,,,545.2666666666668
2018-02-25 05:30:00,696.8,,,957.3333333333335,,,529.5333333333333,476.4666666666666,476.4666666666666,1072.4,,,570.9333333333333
2018-02-25 05:45:00,621.5333333333333,,,710.5333333333333,,,484.6,465.0,465.0,982.9333333333333,,,609.1333333333333
2018-02-25 06:00:00,537.4666666666667,,,632.8,,,449.2,455.13333333333327,455.13333333333327,857.4666666666667,,,619.4
2018-02-25 06:15:00,485.2,,,564.7333333333332,,,412.26666666666665,417.13333333333327,417.13333333333327,851.6,,,628.4
2018-02-25 06:30:00,448.4,,,539.4666666666667,,,405.0,363.2,363.2,748.2666666666668,,,588.6
2018-02-25 06:45:00,420.6,,,447.86666666666673,,,368.4,332.8,332.8,592.6666666666666,,,1623.7333333333331
2018-02-25 07:00:00,376.8,,,433.86666666666673,,,315.26666666666665,319.1333333333333,319.1333333333333,599.7333333333332,,,703.4
2018-02-25 07:15:00,322.73333333333335,,,416.8,,,293.3333333333333,295.53333333333336,295.53333333333336,457.8,,,448.13333333333327
2018-02-25 07:30:00,305.3333333333333,,,371.26666666666665,,,279.3333333333333,286.26666666666665,286.26666666666665,423.9333333333333,,,363.13333333333327
2018-02-25 07:45:00,304.06666666666666,,,378.86666666666673,,,270.6,280.06666666666666,280.06666666666666,397.26666666666665,,,334.53333333333336
2018-02-25 08:00:00,297.73333333333335,,,388.6,,,265.06666666666666,289.4,289.4,366.6,,,324.1333333333333
2018-02-25 08:15:00,285.2,,,387.0,,,256.53333333333336,289.93333333333334,289.93333333333334,346.66666666666674,,,305.0
2018-02-25 08:30:00,284.1333333333333,,,388.0,,,261.06666666666666,295.73333333333335,295.73333333333335,342.26666666666665,,,284.53333333333336
2018-02-25 08:45:00,291.53333333333336,,,371.26666666666665,,,263.46666666666664,297.1333333333333,297.1333333333333,312.8,,,267.2
2018-02-25 09:00:00,299.6666666666667,,,409.2,,,287.53333333333336,305.6,305.6,314.2,,,252.6
2018-02-25 09:15:00,303.6,,,505.6,,,250.26666666666668,316.8666666666667,316.8666666666667,300.0,,,246.9333333333333
2018-02-25 09:30:00,305.06666666666666,,,455.06666666666666,,,260.06666666666666,316.6666666666667,316.6666666666667,288.8,,,247.4
2018-02-25 09:45:00,320.8,,,430.06666666666666,,,276.53333333333336,323.93333333333334,323.93333333333334,294.6666666666667,,,259.26666666666665
2018-02-25 10:00:00,372.0,,,627.6666666666666,,,186.8,356.6,356.6,291.8,,,268.1333333333333
2018-02-25 10:15:00,257.4,,,359.86666666666673,,,169.53333333333333,327.06666666666666,327.06666666666666,295.3333333333333,,,279.0
2018-02-25 10:30:00,233.0,,,300.8,,,163.46666666666667,269.53333333333336,269.53333333333336,326.6666666666667,,,284.73333333333335
2018-02-25 10:45:00,188.06666666666663,,,250.8,,,155.4,198.7333333333333,198.7333333333333,322.06666666666666,,,279.46666666666664
2018-02-25 11:00:00,170.8,,,248.33333333333331,,,140.6,168.93333333333334,168.93333333333334,346.0,,,320.1333333333333
2018-02-25 11:15:00,165.13333333333333,,,227.33333333333331,,,145.26666666666668,166.4,166.4,402.6,,,350.06666666666666
2018-02-25 11:30:00,163.33333333333334,,,219.86666666666667,,,146.8,171.13333333333333,171.13333333333333,267.8666666666667,,,259.6666666666667
2018-02-25 11:45:00,158.4,,,214.26666666666668,,,151.6,175.26666666666668,175.26666666666668,209.7333333333333,,,270.93333333333334
2018-02-25 12:00:00,156.33333333333334,,,230.66666666666663,,,150.06666666666666,174.4,174.4,198.46666666666667,,,247.8
2018-02-25 12:15:00,156.8,,,215.8,,,159.4,170.6,170.6,188.46666666666667,,,263.6
2018-02-25 12:30:00,164.06666666666666,,,214.2,,,288.53333333333336,157.33333333333334,157.33333333333334,179.73333333333332,,,207.8
2018-02-25 12:45:00,173.0,,,214.86666666666667,,,136.6,160.8,160.8,175.66666666666663,,,188.0
2018-02-25 13:00:00,167.53333333333333,,,205.33333333333331,,,129.06666666666666,167.73333333333332,167.73333333333332,175.2,,,177.73333333333332
2018-02-25 13:15:00,155.06666666666666,,,185.26666666666668,,,120.4,173.13333333333333,173.13333333333333,176.8,,,179.0
2018-02-25 13:30:00,145.26666666666668,,,188.0,,,125.06666666666666,172.6,172.6,185.7333333333333,,,220.6
2018-02-25 13:45:00,145.86666666666667,,,193.66666666666663,,,138.6,148.86666666666667,148.86666666666667,170.0,,,252.2
2018-02-25 14:00:00,136.46666666666667,,,254.46666666666667,,,132.46666666666667,152.06666666666666,152.06666666666666,179.33333333333337,,,260.93333333333334
2018-02-25 14:15:00,142.33333333333334,,,266.6666666666667,,,135.2,161.2,161.2,159.2,,,262.93333333333334
2018-02-25 14:30:00,143.53333333333333,,,192.0,,,140.8,158.4,158.4,152.66666666666666,,,273.4
2018-02-25 14:45:00,138.26666666666668,,,195.33333333333331,,,148.73333333333332,161.93333333333334,161.93333333333334,160.26666666666668,,,226.8
2018-02-25 15:00:00,143.26666666666668,,,205.6,,,136.06666666666666,158.2,158.2,155.73333333333332,,,281.0
2018-02-25 15:15:00,150.4,,,199.2,,,150.4,162.86666666666667,162.86666666666667,170.8,,,348.86666666666673
2018-02-25 15:30:00,169.46666666666667,,,208.06666666666663,,,152.86666666666667,171.13333333333333,171.13333333333333,169.0,,,266.2
2018-02-25 15:45:00,172.66666666666663,,,221.66666666666663,,,163.06666666666666,174.53333333333333,174.53333333333333,170.2,,,219.66666666666663
2018-02-25 16:00:00,179.13333333333333,,,222.7333333333333,,,158.86666666666667,183.6,183.6,171.2,,,225.53333333333333
2018-02-25 16:15:00,185.46666666666667,,,232.33333333333331,,,160.06666666666666,186.66666666666663,186.66666666666663,177.0,,,224.6
