Date/Time,6030_O_BELL,2071_O_NOSD,1502_O_BLPK,4431_O_WBG,4387_O_EDWD,5571_O_BUFF,3259_O_BRAD,8941_O_MTLE,3555_O_SCLL,8100_O_PTBZ,5679_O_BLOO,6560_O_MTLE,5052_O_PennHills,5060_O_LWCV,3108_O_STDT,1441_O_CARN,7543_O_MILL,6582_O_OAKD,4530_O_CNTP,5624_O_BUFF,4533_O_ALPK,3732_O_BCVW
2018-04-04 04:30:00,38.8,41.53333333333333,,,,,60.06666666666667,40.06666666666667,,,36.2,43.2,64.06666666666666,44.333333333333336,42.93333333333333,48.0,71.93333333333334,41.8,33.06666666666667,,187.06666666666666,52.333333333333336
2018-04-04 04:45:00,39.733333333333334,45.13333333333333,,,,,63.06666666666667,44.8,,,39.46666666666667,46.06666666666667,68.6,43.13333333333333,46.6,48.13333333333333,154.06666666666666,45.13333333333333,31.333333333333332,,196.13333333333333,54.0
2018-04-04 05:00:00,43.733333333333334,49.13333333333333,,,,,72.6,44.13333333333333,,,41.8,42.46666666666667,75.0,46.266666666666666,47.733333333333334,48.8,17.4,45.2,42.53333333333333,,200.0,54.666666666666664
2018-04-04 05:15:00,43.666666666666664,48.0,,,,,61.0,45.53333333333333,,,38.666666666666664,43.666666666666664,75.13333333333334,47.4,48.6,53.06666666666667,19.333333333333332,44.4,24.466666666666665,,152.26666666666668,54.4
2018-04-04 05:30:00,47.06666666666667,53.2,,,,,60.666666666666664,50.266666666666666,,,43.6,52.0,97.0,52.93333333333333,64.46666666666667,52.666666666666664,26.533333333333335,52.266666666666666,21.866666666666667,,135.0,60.666666666666664
2018-04-04 05:45:00,26.933333333333334,57.0,,,,,59.0,42.2,,,42.266666666666666,36.0,84.66666666666667,57.13333333333333,51.06666666666667,26.266666666666666,24.8,16.0,30.4,,458.6666666666667,51.4
2018-04-04 06:00:00,18.066666666666666,19.6,,,,,69.6,40.8,,,13.133333333333333,19.4,91.2,27.133333333333333,23.933333333333334,23.333333333333332,60.53333333333333,18.066666666666666,30.2,,224.06666666666666,21.333333333333332
2018-04-04 06:15:00,17.666666666666668,22.866666666666667,,,,,20.266666666666666,28.733333333333334,,,19.533333333333335,25.533333333333335,23.6,31.0,29.733333333333334,25.6,67.4,22.4,32.266666666666666,,158.4,26.6
2018-04-04 06:30:00,19.133333333333333,23.466666666666665,,,,,27.2,32.0,,,23.2,28.333333333333332,35.0,32.666666666666664,36.53333333333333,27.333333333333332,49.13333333333333,22.4,28.866666666666667,,140.46666666666667,28.066666666666666
2018-04-04 06:45:00,18.6,22.0,,,,,32.733333333333334,29.6,,,19.2,26.933333333333334,42.0,30.066666666666666,33.53333333333333,31.266666666666666,77.2,22.466666666666665,28.133333333333333,,121.2,26.6
2018-04-04 07:00:00,18.066666666666666,22.466666666666665,,,,,29.6,28.6,,,20.2,22.466666666666665,30.266666666666666,35.733333333333334,31.466666666666665,20.8,25.4,21.533333333333335,22.6,,113.13333333333334,27.333333333333332
2018-04-04 07:15:00,19.0,22.4,,,,,32.53333333333333,44.46666666666667,,,20.133333333333333,20.666666666666668,27.466666666666665,34.666666666666664,29.8,18.2,25.866666666666667,18.666666666666668,24.0,,120.26666666666667,27.533333333333335
2018-04-04 07:30:00,15.533333333333333,19.8,,,,,27.333333333333332,42.8,,,17.066666666666666,16.6,27.8,30.6,26.333333333333332,14.466666666666667,20.4,15.333333333333334,21.2,8.714285714285714,138.86666666666667,18.5
2018-04-04 07:45:00,12.6,17.333333333333332,,,,,21.266666666666666,39.93333333333333,,,13.733333333333333,14.6,21.066666666666666,24.2,25.333333333333332,16.8,13.8,13.0,14.2,8.466666666666667,84.26666666666667,
2018-04-04 08:00:00,10.333333333333334,13.333333333333334,,,,,18.466666666666665,91.73333333333333,,,14.466666666666667,9.266666666666667,17.2,19.866666666666667,20.066666666666666,15.133333333333333,14.733333333333333,8.8,14.333333333333334,7.8,90.93333333333334,
2018-04-04 08:15:00,11.866666666666667,13.466666666666667,,,,,11.933333333333334,56.333333333333336,,,15.8,8.666666666666666,13.0,16.733333333333334,23.933333333333334,13.0,12.666666666666666,9.266666666666667,15.4,7.933333333333334,73.53333333333333,
2018-04-04 08:30:00,12.066666666666666,14.266666666666667,,,,,12.466666666666667,28.333333333333332,,,12.933333333333334,7.733333333333333,10.866666666666667,18.2,20.733333333333334,11.4,13.8,10.066666666666666,11.466666666666667,7.933333333333334,76.53333333333333,
2018-04-04 08:45:00,13.266666666666667,14.133333333333333,,,,,12.266666666666667,39.2,,,12.466666666666667,9.533333333333333,11.8,16.733333333333334,24.066666666666666,9.533333333333333,17.466666666666665,8.533333333333333,12.933333333333334,7.4,54.0,
2018-04-04 09:00:00,14.733333333333333,15.666666666666666,,,,,10.333333333333334,20.533333333333335,,,11.666666666666666,10.266666666666667,12.466666666666667,25.6,28.6,15.0,14.8,7.866666666666666,11.533333333333333,8.066666666666666,53.53333333333333,
2018-04-04 09:15:00,12.8,13.466666666666667,,,,,12.733333333333333,46.0,,,11.933333333333334,8.866666666666667,12.0,27.733333333333334,26.866666666666667,8.533333333333333,13.533333333333333,8.533333333333333,14.733333333333333,7.733333333333333,41.6,
2018-04-04 09:30:00,18.133333333333333,17.2,,,,,11.2,35.86666666666667,,,11.666666666666666,8.866666666666667,10.866666666666667,19.533333333333335,34.4,9.866666666666667,13.066666666666666,9.333333333333334,12.4,11.266666666666667,66.06666666666666,
2018-04-04 09:45:00,13.333333333333334,21.6,,,,,10.533333333333333,88.8,,,14.4,9.466666666666667,11.4,24.266666666666666,35.6,11.333333333333334,11.4,9.933333333333334,12.066666666666666,9.666666666666666,64.86666666666666,43.0
2018-04-04 10:00:00,11.666666666666666,18.266666666666666,,,,,12.266666666666667,32.13333333333333,,,15.2,11.866666666666667,13.333333333333334,18.266666666666666,27.333333333333332,10.933333333333334,19.066666666666666,8.733333333333333,9.466666666666667,9.533333333333333,40.0,
2018-04-04 10:15:00,17.333333333333332,77.26666666666667,,,,,12.6,41.333333333333336,,,15.266666666666667,10.8,11.8,17.133333333333333,39.6,8.733333333333333,11.6,9.733333333333333,12.0,9.066666666666666,59.733333333333334,
2018-04-04 10:30:00,11.733333333333333,35.86666666666667,,,,,21.466666666666665,39.733333333333334,,,14.666666666666666,10.866666666666667,11.266666666666667,40.06666666666667,33.8,8.733333333333333,11.8,8.066666666666666,11.866666666666667,9.533333333333333,49.8,
2018-04-04 10:45:00,16.866666666666667,20.133333333333333,,,,,13.066666666666666,33.2,,,11.266666666666667,7.8,10.0,31.666666666666668,42.0,15.266666666666667,11.066666666666666,6.866666666666666,12.0,9.0,70.13333333333334,
2018-04-04 11:00:00,19.533333333333335,18.333333333333332,,,,,13.133333333333333,37.8,,47.666666666666664,13.333333333333334,6.6,10.866666666666667,40.46666666666667,27.2,7.866666666666666,12.8,6.8,11.866666666666667,5.733333333333333,62.86666666666667,
2018-04-04 11:15:00,11.533333333333333,20.133333333333333,,,,,10.8,38.666666666666664,,,12.6,8.8,8.533333333333333,30.066666666666666,32.266666666666666,6.6,13.066666666666666,7.733333333333333,9.733333333333333,4.933333333333334,56.46666666666667,
2018-04-04 11:30:00,10.666666666666666,20.666666666666668,,,,,12.8,29.8,,,11.933333333333334,6.066666666666666,9.666666666666666,43.0,32.93333333333333,11.133333333333333,20.066666666666666,8.066666666666666,15.0,8.0,41.733333333333334,
2018-04-04 11:45:00,17.0,23.0,,,98.5,,10.533333333333333,46.86666666666667,,,11.533333333333333,7.733333333333333,7.666666666666667,24.6,28.8,7.533333333333333,16.266666666666666,6.666666666666667,18.533333333333335,8.666666666666666,39.46666666666667,
2018-04-04 12:00:00,19.933333333333334,22.666666666666668,,,,,9.333333333333334,57.8,,,14.6,7.933333333333334,8.4,23.6,33.86666666666667,7.2,16.866666666666667,7.066666666666666,22.133333333333333,9.266666666666667,57.8,
