Date/Time,5624_O_BUFF,8941_O_MTLE,6196_O_MWSH,7543_O_MILL,2281_O_HiPK,2071_O_NOSD,2229_O_BAHT,4576_O_EMSW,2898_O_AVLN,5952_O_EDWD,6809_O_SQHS,8183_O_MILL,6496_O_MTLE,6140_O_FRHL,5708_O_XXXX
2017-06-15 09:00:00,,2332.0,56.53333333333333,67.0,,,,83.53333333333333,74.46666666666667,81.46666666666667,68.13333333333334,73.06666666666666,,67.66666666666667,
2017-06-15 09:15:00,,2373.2,51.266666666666666,60.13333333333333,,,,82.93333333333334,74.0,75.53333333333333,57.733333333333334,65.0,,66.73333333333333,
2017-06-15 09:30:00,,2194.733333333333,58.8,57.4,,,,80.8,55.06666666666667,68.8,94.06666666666666,61.6,,68.2,
2017-06-15 09:45:00,,1472.8666666666666,58.666666666666664,47.2,,,,74.86666666666666,54.733333333333334,68.4,98.73333333333333,56.733333333333334,,65.66666666666667,
2017-06-15 10:00:00,,1504.8,60.733333333333334,45.46666666666667,,,,61.6,37.6,64.4,43.733333333333334,45.666666666666664,,61.46666666666667,
2017-06-15 10:15:00,,1329.1333333333334,57.13333333333333,41.86666666666667,,,,44.06666666666667,39.13333333333333,59.93333333333333,44.4,45.93333333333333,,55.6,
2017-06-15 10:30:00,,981.3333333333334,50.266666666666666,45.46666666666667,,,,39.93333333333333,41.2,63.0,42.666666666666664,48.06666666666667,,51.06666666666667,
2017-06-15 10:45:00,,858.9333333333333,46.333333333333336,41.86666666666667,,,,39.733333333333334,29.6,52.93333333333333,34.8,46.4,,51.4,
2017-06-15 11:00:00,,612.4,40.6,38.53333333333333,,,,38.2,29.866666666666667,47.93333333333333,34.333333333333336,40.733333333333334,,43.93333333333333,
2017-06-15 11:15:00,,643.2666666666667,35.06666666666667,32.0,,,,39.0,33.8,44.8,36.8,49.06666666666667,,42.46666666666667,
2017-06-15 11:30:00,,416.4,34.666666666666664,29.133333333333333,,,,37.2,27.6,41.0,66.06666666666666,44.06666666666667,,42.13333333333333,
2017-06-15 11:45:00,,209.13333333333333,35.0,27.733333333333334,,,,36.53333333333333,37.13333333333333,45.86666666666667,39.13333333333333,35.2,,36.333333333333336,
2017-06-15 12:00:00,,195.26666666666668,37.666666666666664,26.666666666666668,,,,33.13333333333333,34.2,44.333333333333336,37.266666666666666,32.733333333333334,,34.8,
2017-06-15 12:15:00,,188.66666666666666,35.53333333333333,28.533333333333335,,,,35.666666666666664,35.0,52.86666666666667,35.46666666666667,33.46666666666667,,36.666666666666664,
2017-06-15 12:30:00,,200.0,30.533333333333335,29.933333333333334,,,,30.933333333333334,30.533333333333335,37.666666666666664,35.666666666666664,31.2,,34.666666666666664,
2017-06-15 12:45:00,,184.0,29.8,26.133333333333333,,,,33.266666666666666,31.733333333333334,37.06666666666667,34.8,32.333333333333336,,36.86666666666667,
2017-06-15 13:00:00,,177.8,30.333333333333332,28.2,,,,42.13333333333333,30.933333333333334,36.13333333333333,34.13333333333333,32.53333333333333,,33.06666666666667,
2017-06-15 13:15:00,,176.73333333333332,32.266666666666666,26.066666666666666,,,,38.733333333333334,32.13333333333333,33.6,34.0,33.6,,36.53333333333333,
2017-06-15 13:30:00,,180.73333333333332,30.0,28.066666666666666,,,,44.4,33.86666666666667,34.53333333333333,33.06666666666667,34.8,,26.466666666666665,
2017-06-15 13:45:00,,341.6666666666667,31.2,26.666666666666668,,,,35.86666666666667,40.46666666666667,34.0,35.46666666666667,33.733333333333334,,29.933333333333334,
2017-06-15 14:00:00,,149.26666666666668,35.733333333333334,26.733333333333334,,,,37.46666666666667,31.733333333333334,33.8,35.733333333333334,31.733333333333334,,36.666666666666664,
2017-06-15 14:15:00,,144.13333333333333,34.93333333333333,31.666666666666668,,,,35.666666666666664,28.866666666666667,38.46666666666667,36.06666666666667,33.6,,36.13333333333333,
2017-06-15 14:30:00,,280.2,35.733333333333334,29.4,,,,31.333333333333332,26.333333333333332,35.86666666666667,39.4,37.53333333333333,,30.933333333333334,
2017-06-15 14:45:00,,832.6666666666666,37.6,28.466666666666665,,,,36.93333333333333,27.266666666666666,37.2,40.666666666666664,38.4,,32.6,
2017-06-15 15:00:00,,897.2,39.2,31.2,,,,57.06666666666667,26.0,38.266666666666666,35.8,35.733333333333334,,32.2,
2017-06-15 15:15:00,,278.6,68.2,34.6,,,,106.73333333333333,31.133333333333333,36.93333333333333,38.266666666666666,35.666666666666664,,31.866666666666667,
2017-06-15 15:30:00,,237.2,66.8,103.26666666666667,,,,91.73333333333333,118.66666666666667,37.2,36.86666666666667,73.06666666666666,,36.4,
2017-06-15 15:45:00,,96.4,609.8,693.6666666666666,,,,99.6,198.06666666666666,43.266666666666666,45.0,127.66666666666667,,48.93333333333333,
2017-06-15 16:00:00,,63.6,519.3333333333334,874.0666666666667,,,,77.46666666666667,76.2,36.6,43.2,113.8,,36.06666666666667,
2017-06-15 16:15:00,,54.46666666666667,251.8,182.4,,,,66.06666666666666,54.86666666666667,100.6,273.73333333333335,84.33333333333333,,46.666666666666664,
2017-06-15 16:30:00,,58.333333333333336,60.06666666666667,144.6,,,,72.8,62.666666666666664,77.6,232.53333333333333,64.86666666666666,,96.33333333333333,
2017-06-15 16:45:00,,48.666666666666664,49.666666666666664,69.8,,,,66.33333333333333,40.46666666666667,48.266666666666666,58.86666666666667,50.6,,83.13333333333334,
2017-06-15 17:00:00,,32.13333333333333,54.2,65.06666666666666,,,,56.333333333333336,36.733333333333334,50.8,59.46666666666667,51.6,,64.46666666666667,
2017-06-15 17:15:00,,23.533333333333335,64.46666666666667,64.8,,,,53.266666666666666,40.93333333333333,48.93333333333333,58.93333333333333,57.733333333333334,,41.6,
2017-06-15 17:30:00,,23.133333333333333,55.6,60.8,,,,46.86666666666667,37.53333333333333,50.6,53.666666666666664,54.4,,35.0,
2017-06-15 17:45:00,,37.4,48.93333333333333,44.13333333333333,,,,44.0,34.6,57.53333333333333,58.93333333333333,57.06666666666667,,48.06666666666667,
2017-06-15 18:00:00,,27.6,55.733333333333334,42.8,,,,39.6,35.333333333333336,47.06666666666667,61.266666666666666,56.13333333333333,,56.666666666666664,
2017-06-15 18:15:00,,34.266666666666666,52.733333333333334,46.666666666666664,,,,41.46666666666667,30.066666666666666,43.333333333333336,56.6,53.4,,42.86666666666667,
2017-06-15 18:30:00,,38.06666666666667,63.733333333333334,45.733333333333334,,,,48.06666666666667,25.8,47.6,59.06666666666667,69.0,,43.86666666666667,
2017-06-15 18:45:00,,55.333333333333336,58.8,50.06666666666667,,,,56.666666666666664,33.06666666666667,46.8,62.6,73.2,,58.266666666666666,
2017-06-15 19:00:00,,30.733333333333334,59.4,51.666666666666664,,,,52.733333333333334,31.666666666666668,49.8,77.93333333333334,78.33333333333333,,67.8,
2017-06-15 19:15:00,,43.4,60.13333333333333,66.4,,,,54.666666666666664,40.2,77.4,72.13333333333334,82.46666666666667,,73.66666666666667,
2017-06-15 19:30:00,,57.46666666666667,78.13333333333334,77.53333333333333,,,,58.4,45.0,94.93333333333334,81.66666666666667,93.46666666666667,,64.26666666666667,
2017-06-15 19:45:00,,40.666666666666664,65.4,74.66666666666667,,,,66.66666666666667,44.4,92.66666666666667,82.13333333333334,111.2,,64.33333333333333,
2017-06-15 20:00:00,,42.93333333333333,109.86666666666666,81.6,,,,77.53333333333333,42.46666666666667,98.4,83.4,121.0,,65.73333333333333,
