Date/Time,2164_O_DMBR,7924_O_LWCV,5809_O_SHGT,6651_O_SHGT,6780_O_FXCP,2130_O_MTOV,2759_O_BRHT,8888_O_MRSD,5624_O_BUFF,2400_O_STGC,7578_O_BVFL,3746_O_DOWN,8941_O_MTLE,5571_O_BUFF,4431_O_WBG,5470_O_SQHS,4667_O_PHLL,2554_O_STCG,4363_O_XXXX,4530_O_CNTP,4463_O_XXXX,8457_O_XXXX
2019-01-20 15:00:00,464.0,,373.73333333333335,,554.2666666666667,,,570.6,431.4,900.5333333333333,443.4,351.8666666666667,534.6666666666666,431.4,489.73333333333335,750.0666666666667,343.2,726.2,509.8,,,
2019-01-20 15:15:00,560.8,,400.46666666666664,,573.0666666666667,,,533.2,482.93333333333334,769.5333333333333,411.6,408.8,529.8,482.93333333333334,506.73333333333335,909.1333333333333,370.3333333333333,669.6666666666666,429.8666666666667,,,
2019-01-20 15:30:00,1331.6,,439.73333333333335,,499.8666666666667,,,538.8,493.4,779.6,434.93333333333334,417.06666666666666,590.8,493.4,475.6,892.0,356.53333333333336,695.2,428.93333333333334,,,
2019-01-20 15:45:00,495.3333333333333,,420.0,,449.26666666666665,,,796.7333333333333,551.4666666666667,780.0666666666667,395.73333333333335,450.2,599.8,551.4666666666667,738.0666666666667,868.3333333333334,352.3333333333333,687.3333333333334,432.53333333333336,,,
2019-01-20 16:00:00,520.6666666666666,,411.4,,461.06666666666666,,,514.0,445.6,752.2,505.53333333333336,478.06666666666666,607.6,445.6,650.9333333333333,944.1333333333333,387.53333333333336,643.8666666666667,480.26666666666665,,,
2019-01-20 16:15:00,504.3333333333333,,425.06666666666666,,421.4,,,480.6666666666667,500.6666666666667,735.4,425.53333333333336,437.6,613.2666666666667,500.6666666666667,435.6,790.4666666666667,377.46666666666664,602.6666666666666,528.0,,,
2019-01-20 16:30:00,457.26666666666665,,501.6666666666667,,425.8666666666667,,,411.1333333333333,516.4,705.0666666666667,487.6,420.8,571.4,516.4,448.6,739.4666666666667,373.8666666666667,632.8,575.5333333333333,,,
2019-01-20 16:45:00,639.2,,499.4,,474.8,,,395.06666666666666,501.8,750.8,510.6666666666667,399.06666666666666,648.8,501.8,446.8666666666667,757.2666666666667,394.8,610.6666666666666,584.8666666666667,,,
2019-01-20 17:00:00,443.1333333333333,,436.46666666666664,,515.2,,,453.1333333333333,518.0,717.9333333333333,517.6666666666666,425.46666666666664,702.1333333333333,518.0,472.26666666666665,713.6666666666666,446.46666666666664,605.5333333333333,671.2666666666667,,,
2019-01-20 17:15:00,427.4,,490.6,,889.8666666666667,,,485.3333333333333,589.9333333333333,661.0666666666667,544.6666666666666,473.46666666666664,681.8,589.9333333333333,515.6,737.3333333333334,438.93333333333334,571.3333333333334,583.8,,,
2019-01-20 17:30:00,425.26666666666665,,584.6,,1247.9333333333334,,,774.2,604.5333333333333,721.0,518.6666666666666,493.93333333333334,631.4666666666667,604.5333333333333,520.4,763.7333333333333,494.53333333333336,582.0666666666667,864.6666666666666,,,
2019-01-20 17:45:00,438.2,,664.3333333333334,,633.1333333333333,,,806.8666666666667,606.9333333333333,779.4,558.2,552.0666666666667,654.8,606.9333333333333,563.4666666666667,935.2,439.2,609.7333333333333,910.9333333333333,,,
2019-01-20 18:00:00,461.0,,626.4666666666667,,598.4666666666667,,,545.4666666666667,602.0,749.8666666666667,631.9333333333333,514.7333333333333,675.1333333333333,602.0,594.7333333333333,795.4666666666667,417.4,650.6666666666666,1245.8666666666666,,,
2019-01-20 18:15:00,492.6666666666667,,723.1333333333333,,687.1333333333333,,,696.7333333333333,571.9333333333333,717.4666666666667,704.0666666666667,515.4,637.3333333333334,571.9333333333333,623.0,814.8,471.4,613.6,1013.5333333333333,,,
2019-01-20 18:30:00,491.6666666666667,,743.6666666666666,,739.4666666666667,,,871.8666666666667,599.2666666666667,734.2,808.6,546.4666666666667,561.8,599.2666666666667,563.6,819.4666666666667,448.6,624.4,888.9333333333333,,,
2019-01-20 18:45:00,528.8666666666667,,743.9333333333333,,970.1333333333333,,,636.0,588.4666666666667,771.4666666666667,753.0,577.6666666666666,575.3333333333334,588.4666666666667,532.0666666666667,1004.1333333333333,458.26666666666665,629.2,779.8,,,
