Date/Time,5907_O_EDWD,4634_O_NOSD,1272_O_SQHL,7984_O_PLHL,5093_O_MCCA,2467_O_BAVN,1124_O_PLUM,4924_O_WOAK,2748_O_ALPK,5166_O_AMBR,7896_O_PTBZ,4431_O_WBG,7872_O_SPHL
2026-03-12 22:00:00,219.8947333,127.134,201.5309333,33.26666667,232.8435667,129.9592,56,46.6,28.93333333,75.06666667,38.6,,164.0970333
2026-03-12 22:15:00,264.8625,131.6072333,229.3120667,35.13333333,233.079,124.5442333,55.73333333,46.73333333,31.33333333,72.8,41.33333333,,162.6844333
2026-03-12 22:30:00,281.3428333,125.9568333,215.8923667,34.06666667,232.6081333,131.1363667,51.8,52.06666667,32.53333333,65.13333333,43.46666667,,150.2064667
2026-03-12 22:45:00,303.4735667,130.1946333,210.2419667,33.2,243.6735,157.7403333,54.4,49.93333333,33.4,59.66666667,40.6,,152.5608
2026-03-12 23:00:00,319.2476,131.6072333,235.4333333,37.66666667,246.4987,185.5214667,54.4,52.13333333,37.66666667,55.73333333,38.33333333,,140.7891333
2026-03-12 23:15:00,332.1964333,145.0269333,207.6522,33.8,264.6270667,185.9923333,51.73333333,51.6,37.73333333,60.06666667,42.66666667,,161.5072667
2026-03-12 23:30:00,298.5294667,144.5560667,208.5939333,39.53333333,283.6971667,189.2884,59.13333333,51.73333333,39,73.33333333,44.4,,153.0316667
2026-03-12 23:45:00,320.4247667,150.9127667,184.3443,38.6,294.0562333,190.701,70.33333333,51.06666667,39.93333333,59.26666667,44.4,,169.9828667
2026-03-13 0:00:00,278.7530667,154.6797,189.2884,39.73333333,291.9373333,192.3490333,73.26666667,50.53333333,43.73333333,70.93333333,46.93333333,,161.2718333
2026-03-13 0:15:00,258.5058,151.3836333,195.8805333,37.13333333,365.1571,204.827,69.2,76.86666667,48.2,77.33333333,51.2,,165.0387667
2026-03-13 0:30:00,238.7294,154.4442667,242.4963333,40.26666667,420.9548,210.9482667,69.8,57.8,51.33333333,72.26666667,55,,183.1671333
2026-03-13 0:45:00,270.9837667,150.6773333,241.3191667,38.06666667,413.1855,220.6010333,78.26666667,50.06666667,50.73333333,72.06666667,63.6,,166.6868
2026-03-13 1:00:00,286.5223667,147.6167,216.1278,37.4,420.9548,235.9042,80.93333333,48.8,53.6,77.4,57.06666667,,167.3931
2026-03-13 1:15:00,290.0538667,144.7915,213.3026,38.2,422.8382667,243.6735,87.8,44.53333333,51.6,80.4,55.33333333,,173.0435
2026-03-13 1:30:00,356.6815,143.1434667,238.9648333,36.26666667,409.4185667,242.7317667,105.8,46.2,52.46666667,82.73333333,52.8,,165.9805
2026-03-13 1:45:00,356.2106333,141.7308667,215.8923667,38.26666667,433.1973333,245.3215333,107.6,45,55.33333333,76.13333333,54.2,,172.5726333
2026-03-13 2:00:00,354.3271667,146.2041,226.9577333,37.26666667,444.2627,244.6152333,119.6,48.53333333,57.2,92.53333333,58.26666667,,170.9246
2026-03-13 2:15:00,412.7146333,155.386,239.4357,40.46666667,506.1816667,255.2097333,138,54.6,57,91,60.8,,181.9899667
2026-03-13 2:30:00,408.7122667,156.7986,238.7294,39.6,528.0769667,256.1514667,160.3333333,50.46666667,60,92.46666667,71.33333333,,190.4655667
2026-03-13 2:45:00,393.1736667,164.3324667,238.0231,39.06666667,490.4076333,257.7995,172.3333333,50.86666667,58.4,81.73333333,81.4,,177.9876
2026-03-13 3:00:00,391.7610667,156.7986,211.1837,39.93333333,503.5919,256.8577667,186.1333333,50.8,57.66666667,85.73333333,89.26666667,,176.8104333
2026-03-13 3:15:00,435.3162333,159.6238,227.4286,43.93333333,523.3683,264.6270667,183.3333333,49.86666667,60.73333333,93.8,94.46666667,,185.2860333
2026-03-13 3:30:00,522.4265667,159.8592333,214.4797667,44.8,509.0068667,269.1003,175.4,47,61.2,94.66666667,104.2,,194.4679333
2026-03-13 3:45:00,577.2825333,164.5679,208.8293667,43.46666667,529.2541333,286.7578,161.4666667,55.93333333,62.53333333,87.8,98.06666667,,187.1695
2026-03-13 4:00:00,559.6250333,179.6356333,268.394,43.86666667,504.7690667,289.8184333,166.6,56.73333333,62,81.66666667,102.1333333,,193.2907667
2026-03-13 4:15:00,510.8903333,176.3395667,315.9515333,42.46666667,487.8178667,300.1775,163.8,66.8,67.46666667,90.8,105.2666667,,201.7663667
2026-03-13 4:30:00,454.6217667,175.8687,304.6507333,42.33333333,529.0187,308.1822333,134.6,67.26666667,64.66666667,100.8666667,103.6666667,,196.5868333
2026-03-13 4:45:00,501.2375667,162.6844333,316.8932667,40.46666667,511.3612,317.3641333,113.4,75.93333333,66.6,115.8,87.26666667,,205.0624333
2026-03-13 5:00:00,563.1565333,175.3978333,302.5318333,46.93333333,526.4289333,323.9562667,103.3333333,68.6,67.33333333,139.2666667,81.26666667,,202.7081
2026-03-13 5:15:00,471.1021,193.7616333,258.0349333,47.46666667,523.3683,325.1334333,99.6,71.53333333,67.26666667,132.8,71.4,,202.2372333
2026-03-13 5:30:00,395.0571333,185.2860333,250.9719333,52.8,535.6108333,312.6554667,116.8666667,72,66.2,119.8666667,80.4,,223.1908
