Date/Time,1342_O_CLRN,7218_O_ETNA,8029_O_ETNA,2384_O_MILL,5571_O_BUFF,5624_O_BUFF,4880_O_DOWN,5651_O_SHRP,4365_O_ETNA,2071_O_NOSD,4431_O_WBG,6959_O_BRHT,5106_O_ETNA,8119_O_SHRP,4135_O_SHRP,1754_O_SHRP,8457_O_NSEW,8749_O_CNTP
2019-07-27 09:15:00,,,,1006.0,542.0666666666667,542.0666666666667,400.46666666666664,1506.0666666666666,,,,2694.4666666666667,,1319.5333333333333,1319.5333333333333,,,
2019-07-27 09:30:00,,,,,561.2,561.2,419.8,1396.4,,,,2128.2,,1278.7333333333333,1278.7333333333333,,,
2019-07-27 09:45:00,,,,255.0,597.1333333333333,597.1333333333333,469.0,1100.2,,,,2497.0,,1236.6,1236.6,,,
2019-07-27 10:00:00,,,,,677.3333333333334,677.3333333333334,489.8666666666667,1042.6,,,,2099.9333333333334,,1191.7333333333333,1191.7333333333333,,,
2019-07-27 10:15:00,,,,,724.8666666666667,724.8666666666667,564.8666666666667,908.7333333333333,,,,1422.7333333333333,,1107.5333333333333,1107.5333333333333,,,
2019-07-27 10:30:00,,,,,772.2666666666667,772.2666666666667,547.9333333333333,840.6,,,,1302.2666666666667,,1036.4,1036.4,,,
2019-07-27 10:45:00,,,,,756.8666666666667,756.8666666666667,555.4,792.9333333333333,,,,1278.6666666666667,,988.0666666666667,988.0666666666667,,,
2019-07-27 11:00:00,,,,,758.2666666666667,758.2666666666667,562.2,757.7333333333333,,,,1178.9333333333334,,937.0,937.0,,,
2019-07-27 11:15:00,,,,,760.2666666666667,760.2666666666667,502.06666666666666,671.1333333333333,,,,1186.1333333333334,,885.6,885.6,,,
2019-07-27 11:30:00,,,,,758.5333333333333,758.5333333333333,482.46666666666664,627.0666666666667,,,,1070.0,,809.3333333333334,809.3333333333334,,,
2019-07-27 11:45:00,,,,,722.4666666666667,722.4666666666667,485.6666666666667,603.8,,,,998.0666666666667,,716.4,716.4,,,
2019-07-27 12:00:00,,,,,722.3333333333334,722.3333333333334,481.8,597.7333333333333,,,,969.8,,645.0666666666667,645.0666666666667,,,
2019-07-27 12:15:00,,,,,763.9333333333333,763.9333333333333,459.2,523.2,,,,975.1333333333333,,601.1333333333333,601.1333333333333,,,
2019-07-27 12:30:00,,,,155.0,714.0666666666667,714.0666666666667,455.8666666666667,515.6,,,,924.1333333333333,,472.6,472.6,,,
2019-07-27 12:45:00,,,,49.0,696.4666666666667,696.4666666666667,478.6666666666667,462.0,,,,891.6666666666666,,383.8,383.8,,,
2019-07-27 13:00:00,,,,,760.1333333333333,760.1333333333333,490.46666666666664,521.6,,,,846.4,,382.26666666666665,382.26666666666665,,,
2019-07-27 13:15:00,,,,,660.8666666666667,660.8666666666667,484.8666666666667,505.0,,,,797.8,,326.26666666666665,326.26666666666665,,,
2019-07-27 13:30:00,,,,,634.5333333333333,634.5333333333333,440.4,482.6,,,,805.5333333333333,,341.8,341.8,,,
2019-07-27 13:45:00,,,,,617.6666666666666,617.6666666666666,416.8,515.2666666666667,,,,836.0,,499.46666666666664,499.46666666666664,,,
2019-07-27 14:00:00,,,,,621.0666666666667,621.0666666666667,420.06666666666666,506.2,,,,802.2,,440.4,440.4,,,
2019-07-27 14:15:00,,,,,640.1333333333333,640.1333333333333,398.6666666666667,473.06666666666666,,,,787.8666666666667,,454.46666666666664,454.46666666666664,,,
2019-07-27 14:30:00,,,,,657.3333333333334,657.3333333333334,472.73333333333335,479.0,,,,811.6666666666666,,353.0,353.0,,,
2019-07-27 14:45:00,,,,,635.2,635.2,460.06666666666666,471.6,,,,795.7333333333333,,338.06666666666666,338.06666666666666,,,
