Date/Time,3992_O_CABK_CA,1924_O_WABH_CA,3396_O_TRAF,7808_O_SQHS,2404_O_CLRN ,6007_O_BRHT,1222_O_RGSQ,5874_O_MTLE,4611_O_SHLR ,8195_O_KSOP_KS,7603_O_DORM,7185_O_LWCV,3709_O_MEPL_ME,6704_O_PERN,6530_O_CASC,6352_O_TRTM
2020-11-20 10:00:00,780.2666666666667,360.2,540.9333333333333,911.2,756.4,882.6666666666666,936.6,959.6666666666666,855.6,543.6666666666666,1321.7333333333333,1052.3333333333333,1008.2,665.8,,1087.5333333333333
2020-11-20 10:15:00,754.0666666666667,350.4,725.0,921.6666666666666,772.1333333333333,949.6,948.6666666666666,969.5333333333333,875.1333333333333,546.7333333333333,895.2,1057.0666666666666,2455.733333333333,699.4,,1062.0
2020-11-20 10:30:00,803.8666666666667,353.6,774.0,909.0,809.6,971.0,958.1333333333333,943.7142857142857,877.6666666666666,569.2666666666667,905.7333333333333,1053.0666666666666,1001.2666666666667,721.4,,1091.5333333333333
2020-11-20 10:45:00,849.4666666666667,340.4,751.5333333333333,998.2666666666667,828.2666666666667,979.1333333333333,986.9333333333333,951.4,938.5333333333333,561.0666666666667,928.6,1118.7333333333333,952.6666666666666,771.4666666666667,,1128.7333333333333
2020-11-20 11:00:00,1053.0,313.8,758.4666666666667,982.4,853.8,981.4,999.7333333333333,920.1333333333333,962.2,541.0,926.1333333333333,1107.9333333333334,885.8666666666667,789.8666666666667,,959.6
2020-11-20 11:15:00,980.0666666666667,317.4,733.6,941.4,850.0,977.9333333333333,973.4666666666667,883.3333333333334,1003.8666666666667,526.9333333333333,895.3333333333334,1127.8666666666666,859.0,844.3333333333334,,966.2666666666667
2020-11-20 11:30:00,656.1333333333333,308.6,677.2666666666667,908.5333333333333,863.2666666666667,971.6,970.8,843.0,1058.2,521.9333333333333,904.4666666666667,1049.5333333333333,840.0666666666667,870.4666666666667,,1057.6
2020-11-20 11:45:00,436.0,316.2,607.4,893.4666666666667,870.5333333333333,960.8666666666667,952.6,852.6666666666666,1077.4666666666667,518.4,902.2666666666667,1055.4666666666667,860.6666666666666,876.1333333333333,,1052.4
2020-11-20 12:00:00,491.6666666666667,311.53333333333336,594.8666666666667,939.8666666666667,870.4666666666667,951.4,976.6666666666666,908.0,1098.6666666666667,511.6666666666667,908.3333333333334,1066.1333333333334,732.7333333333333,879.2,,1120.9333333333334
2020-11-20 12:15:00,576.0,294.1333333333333,574.2666666666667,893.6,854.3333333333334,944.8,945.8666666666667,958.8,1075.0,512.7333333333333,918.2666666666667,1044.4,718.8666666666667,900.2666666666667,,979.9333333333333
2020-11-20 12:30:00,533.9333333333333,328.93333333333334,621.9333333333333,898.0666666666667,861.0,971.0,930.8,921.0666666666667,1086.8666666666666,546.4,884.1333333333333,1048.4666666666667,748.2666666666667,869.8,,1010.6666666666666
2020-11-20 12:45:00,401.93333333333334,316.93333333333334,604.5333333333333,895.0666666666667,867.2,980.2666666666667,937.6666666666666,878.1333333333333,1080.1333333333334,1114.2,812.6666666666666,1061.8666666666666,731.2,860.5333333333333,,1012.1333333333333
