Date/Time,1955_O_PETE,2071_O_NOSD,2427_O_ELIB,2963_O_LWCV,4431_O_WBG,4645_O_SOSD,5571_O_BUFF,5624_O_BUFF,5938_O_SOSD,6227_O_ELIB,7543_O_MILL,8185_O_SWPK,8581_O_SOSD
2016-08-09 21:15:00,2487.0,,605.8666666666667,,1133.9333333333334,797.2,841.4,841.4,1163.2,646.4666666666667,705.7333333333332,637.5333333333333,800.8666666666667
2016-08-09 21:30:00,2092.4,,546.3333333333334,,1223.2666666666667,683.4,861.9333333333333,861.9333333333333,1372.2666666666667,549.1333333333333,627.7333333333332,607.8666666666667,762.2
2016-08-09 21:45:00,2023.0666666666666,,589.4666666666667,,1060.2666666666667,600.5333333333333,901.3333333333335,901.3333333333335,1437.0,484.66666666666674,619.5333333333333,596.8,641.1333333333333
2016-08-09 22:00:00,1885.333333333333,,2869.266666666667,,955.4666666666667,479.53333333333336,836.4666666666667,836.4666666666667,1368.1333333333334,439.8,628.6,618.0666666666667,544.6666666666666
2016-08-09 22:15:00,1738.0,,1103.2,,819.1333333333333,429.06666666666666,795.6,795.6,1287.2,438.26666666666665,672.6666666666666,611.5333333333333,484.4666666666666
2016-08-09 22:30:00,1513.8666666666666,,719.2,,1925.666666666667,409.4666666666666,734.1333333333333,734.1333333333333,905.6666666666665,479.6,708.7333333333332,609.0,472.33333333333326
2016-08-09 22:45:00,1422.9333333333334,,494.4,,832.5333333333333,402.66666666666674,788.4,788.4,737.6,477.66666666666674,706.2666666666668,656.2666666666668,440.33333333333326
2016-08-09 23:00:00,1334.2,,451.26666666666665,,806.9333333333333,387.26666666666665,1051.4,1051.4,674.1333333333333,434.86666666666673,728.3333333333335,658.7333333333332,433.2
2016-08-09 23:15:00,1258.7333333333333,,417.53333333333336,,782.9333333333333,414.26666666666665,774.4666666666667,774.4666666666667,657.2666666666668,438.4666666666666,770.0666666666667,686.1333333333333,432.86666666666673
2016-08-09 23:30:00,1251.0,,433.2,,771.7333333333332,415.0,749.4,749.4,632.9333333333333,510.4,633.2666666666668,753.0,459.6
2016-08-09 23:45:00,1191.0,,458.4,,693.9333333333333,411.2,706.1333333333333,706.1333333333333,593.4666666666667,550.0666666666667,574.3333333333334,681.5333333333333,472.2
2016-08-10 00:00:00,1027.3333333333333,,460.8,,762.2,431.9333333333333,702.5333333333333,702.5333333333333,557.4,547.1333333333333,588.5333333333333,717.0666666666667,543.6666666666666
2016-08-10 00:15:00,1052.7333333333333,,483.4,,671.1333333333333,419.06666666666666,708.6,708.6,545.3333333333334,570.3333333333334,567.8666666666667,713.1333333333333,487.53333333333336
2016-08-10 00:30:00,1028.9333333333334,,488.4,,686.8666666666667,415.8,726.7333333333332,726.7333333333332,567.4666666666667,566.5333333333333,664.8,662.1333333333333,467.33333333333326
2016-08-10 00:45:00,980.7333333333332,,508.0,,703.6666666666665,436.53333333333336,725.0,725.0,573.8666666666667,581.4,581.0666666666667,700.7333333333332,498.9333333333333
2016-08-10 01:00:00,948.3333333333335,,526.7333333333332,,714.1333333333333,423.9333333333333,744.1333333333333,744.1333333333333,559.5333333333333,591.7333333333332,567.3333333333334,725.3333333333335,477.4666666666666
2016-08-10 01:15:00,926.2,,528.2,,767.2666666666668,430.33333333333326,779.5333333333333,779.5333333333333,1082.1333333333334,588.2,565.2666666666668,795.1333333333333,490.53333333333336
2016-08-10 01:30:00,932.4,,526.2,,798.1333333333333,428.0,803.0666666666667,803.0666666666667,537.6666666666666,582.9333333333333,580.2,786.5333333333333,488.2
2016-08-10 01:45:00,923.4,,520.8,,781.0666666666667,423.06666666666666,828.0,828.0,524.8,571.6,580.6,753.0,491.0
2016-08-10 02:00:00,925.9333333333333,,511.66666666666674,,856.5333333333333,425.66666666666674,644.1333333333333,644.1333333333333,541.0666666666667,561.8,588.8,734.3333333333335,493.4666666666666
2016-08-10 02:15:00,963.4,,483.06666666666666,,871.6666666666665,435.26666666666665,673.0666666666667,673.0666666666667,549.6666666666666,541.1333333333333,568.2,679.6666666666666,487.6
2016-08-10 02:30:00,994.3333333333335,,470.0,,924.8666666666667,444.4666666666666,849.2666666666668,849.2666666666668,576.6,527.6666666666666,595.2,677.0,509.8
2016-08-10 02:45:00,1063.7333333333333,,474.86666666666673,,1002.6,465.06666666666666,864.4,864.4,591.6,533.4,599.5333333333333,673.8,521.5333333333333
2016-08-10 03:00:00,1117.4666666666667,,488.13333333333327,,1041.6666666666667,478.86666666666673,879.8666666666667,879.8666666666667,614.3333333333334,553.5333333333333,618.1333333333333,712.0,523.1333333333333
2016-08-10 03:15:00,1145.0666666666666,,505.73333333333335,,1039.4,495.26666666666665,879.0666666666667,879.0666666666667,622.9333333333333,573.3333333333334,659.2,705.8,542.8
2016-08-10 03:30:00,1167.2,,517.9333333333333,,1019.2666666666668,516.5333333333333,790.2,790.2,630.2666666666668,605.2,653.2,740.4666666666667,564.8666666666667
2016-08-10 03:45:00,1200.8666666666666,,522.5333333333333,,1127.2,528.4,907.2666666666668,907.2666666666668,627.5333333333333,621.8666666666667,676.7333333333332,768.2666666666668,582.4
2016-08-10 04:00:00,1245.5333333333333,,517.2666666666668,,1180.6666666666667,543.3333333333334,721.5333333333333,721.5333333333333,645.8666666666667,631.4666666666667,699.2666666666668,790.7333333333332,602.0
2016-08-10 04:15:00,1280.6,,544.2666666666668,,1179.0666666666666,576.4,754.9333333333333,754.9333333333333,665.4,656.4,746.8,795.8666666666667,626.2666666666668
2016-08-10 04:30:00,1256.4,,565.7333333333332,,1242.8666666666666,582.0,975.5333333333333,975.5333333333333,686.5333333333333,672.2,766.4,819.1333333333333,635.8
2016-08-10 04:45:00,1243.4,,581.6666666666666,,1265.1333333333334,597.9333333333333,999.9333333333333,999.9333333333333,695.8666666666667,675.2,800.0666666666667,862.4,648.9333333333333
2016-08-10 05:00:00,1309.6666666666667,,599.5333333333333,,1265.2666666666667,601.8,1029.4,1029.4,689.0,704.7333333333332,832.0,890.4,665.0
2016-08-10 05:15:00,1326.6666666666667,,611.0,,1270.2666666666667,606.7333333333332,1050.6,1050.6,684.0666666666667,706.4,818.6666666666665,927.2666666666668,688.0
2016-08-10 05:30:00,1423.466666666667,,622.2666666666668,,1372.4,629.0666666666667,1100.8666666666666,1100.8666666666666,704.7333333333332,737.1333333333333,841.3333333333335,963.4,707.1333333333333
2016-08-10 05:45:00,1413.9333333333334,,659.5333333333333,,1401.8,667.7333333333332,1104.8,1104.8,755.5333333333333,749.0,890.0,1000.8666666666667,745.6
2016-08-10 06:00:00,1459.333333333333,,696.0,,1457.9333333333334,675.3333333333334,1128.2666666666667,1128.2666666666667,761.2,786.0666666666667,930.5333333333333,1006.0666666666667,768.2666666666668
2016-08-10 06:15:00,1456.4,,692.6,,1496.9333333333334,699.0666666666667,1104.4666666666667,1104.4666666666667,788.8666666666667,818.2,946.2,1015.0,780.8666666666667
2016-08-10 06:30:00,1464.333333333333,,699.2666666666668,,1546.8666666666666,709.7333333333332,1111.5333333333333,1111.5333333333333,769.2,823.1333333333333,958.6,1032.6666666666667,823.1333333333333
2016-08-10 06:45:00,1510.2666666666669,,729.2,,1572.8,724.6,1108.0,1108.0,775.8,842.4666666666667,976.6666666666665,1032.2666666666667,836.3333333333335
2016-08-10 07:00:00,1478.6,,746.2666666666668,,1618.4,747.6,1123.0666666666666,1123.0666666666666,786.8,898.6666666666665,1211.3333333333333,1019.3333333333335,830.6
2016-08-10 07:15:00,1420.7333333333331,,923.5333333333333,,1680.6,751.0,1118.0666666666666,1118.0666666666666,807.0666666666667,999.7333333333332,1518.0,1018.0666666666667,840.8666666666667
2016-08-10 07:30:00,1396.2666666666669,,833.4666666666667,,1665.6,769.5333333333333,1111.2666666666667,1111.2666666666667,810.2,898.9333333333333,1613.2666666666669,1043.3333333333333,836.4
2016-08-10 07:45:00,1309.8,,876.4666666666667,,1647.533333333333,746.4,976.7333333333332,976.7333333333332,824.4,947.4,1546.2666666666669,1106.6666666666667,819.1333333333333
2016-08-10 08:00:00,1271.4,,821.4666666666667,,1794.0,734.3333333333335,775.6666666666665,775.6666666666665,827.8,976.5333333333333,1453.533333333333,1078.6,802.5333333333333
2016-08-10 08:15:00,1216.7333333333333,,772.6,,1729.9333333333334,720.7333333333332,853.2666666666668,853.2666666666668,827.8666666666667,897.2,1278.4666666666667,1003.9333333333333,792.2666666666668
2016-08-10 08:30:00,1058.1333333333334,,814.8,,1654.0666666666666,694.2,876.9333333333333,876.9333333333333,1132.6666666666667,937.9333333333333,1215.0,920.9333333333333,749.8
2016-08-10 08:45:00,1014.2,,831.1333333333333,,1361.5333333333333,662.8666666666667,825.5333333333333,825.5333333333333,3540.066666666666,912.4,1077.0666666666666,890.0,726.0666666666667
2016-08-10 09:00:00,1032.4666666666667,,806.8666666666667,,1269.2,639.0666666666667,689.8666666666667,689.8666666666667,880.8,827.3333333333335,950.6666666666665,812.0,705.2666666666668
2016-08-10 09:15:00,946.9333333333333,,690.0,,1146.6666666666667,626.0666666666667,513.9333333333333,513.9333333333333,847.5333333333333,822.7333333333332,863.8666666666667,734.2666666666668,699.5333333333333
2016-08-10 09:30:00,834.4,,474.9333333333333,,994.3333333333335,612.7333333333332,496.33333333333326,496.33333333333326,2788.2,769.4,790.1333333333333,694.4,670.9333333333333
2016-08-10 09:45:00,707.0,,446.0,,927.7333333333332,656.8,418.73333333333335,418.73333333333335,770.2666666666668,684.4,786.4666666666667,630.9333333333333,820.2
2016-08-10 10:00:00,562.9333333333333,,434.26666666666665,,833.0666666666667,560.4,454.53333333333336,454.53333333333336,730.4666666666667,659.0666666666667,702.2,616.3333333333334,611.4666666666667
2016-08-10 10:15:00,538.1333333333333,,408.73333333333335,,715.7333333333332,492.6,445.33333333333326,445.33333333333326,657.5333333333333,615.4,568.6,576.7333333333332,539.2
2016-08-10 10:30:00,549.2,,529.4,,710.2,469.4666666666666,451.33333333333326,451.33333333333326,613.6,531.1333333333333,547.5333333333333,561.3333333333334,513.4
2016-08-10 10:45:00,557.5333333333333,,489.26666666666665,,677.3333333333334,478.26666666666665,450.06666666666666,450.06666666666666,599.6,650.5333333333333,524.5333333333333,544.2666666666668,542.4
2016-08-10 11:00:00,537.5333333333333,,478.0,,572.4,438.66666666666674,445.33333333333326,445.33333333333326,589.4666666666667,660.6,512.2666666666668,543.4666666666667,519.2
2016-08-10 11:15:00,467.6,,420.06666666666666,,550.0666666666667,381.53333333333336,460.9333333333333,460.9333333333333,534.6,622.6,464.13333333333327,539.4666666666667,474.73333333333335
2016-08-10 11:30:00,431.66666666666674,,398.66666666666674,,544.6666666666666,373.4,462.53333333333336,462.53333333333336,502.4666666666666,512.0,445.2,472.13333333333327,482.73333333333335
2016-08-10 11:45:00,488.06666666666666,,411.53333333333336,,506.13333333333327,397.6,486.53333333333336,486.53333333333336,489.86666666666673,885.1333333333333,419.4,483.26666666666665,502.73333333333335
2016-08-10 12:00:00,508.33333333333326,,424.53333333333336,,552.2666666666668,364.4,466.73333333333335,466.73333333333335,486.4666666666666,501.0,398.06666666666666,550.0,479.4666666666666
2016-08-10 12:15:00,505.6,,470.2,,482.4,342.1333333333333,437.53333333333336,437.53333333333336,472.8,607.3333333333334,354.6,525.7333333333332,429.26666666666665
2016-08-10 12:30:00,499.0,,438.73333333333335,,497.4,345.13333333333327,451.0,451.0,450.4666666666666,499.4666666666666,372.86666666666673,510.66666666666674,434.73333333333335
2016-08-10 12:45:00,491.66666666666674,,447.4,,505.0,415.8,450.66666666666674,450.66666666666674,473.8,908.2,429.4666666666666,521.0,481.8
2016-08-10 13:00:00,481.86666666666673,,434.06666666666666,,532.8666666666667,378.86666666666673,434.06666666666666,434.06666666666666,465.66666666666674,486.4666666666666,413.4666666666666,512.3333333333334,443.06666666666666
2016-08-10 13:15:00,492.33333333333326,,433.26666666666665,,464.8,405.4666666666666,412.4,412.4,478.13333333333327,492.86666666666673,426.8,454.4666666666666,460.26666666666665
2016-08-10 13:30:00,477.0,,413.66666666666674,,521.5333333333333,399.4,379.0,379.0,474.26666666666665,451.4666666666666,426.53333333333336,582.8,462.9333333333333
2016-08-10 13:45:00,475.8,,410.06666666666666,,495.6,408.86666666666673,319.6666666666667,319.6666666666667,503.9333333333333,478.06666666666666,418.86666666666673,553.6,448.8
2016-08-10 14:00:00,462.06666666666666,,429.0,,511.26666666666665,490.6,429.2,429.2,483.6,516.0,464.9333333333333,536.4666666666667,523.8666666666667
2016-08-10 14:15:00,480.4,,422.53333333333336,,493.73333333333335,511.53333333333336,371.06666666666666,371.06666666666666,400.0,550.1333333333333,425.13333333333327,528.3333333333334,504.0
2016-08-10 14:30:00,502.53333333333336,,442.33333333333326,,483.86666666666673,442.9333333333333,403.4666666666666,403.4666666666666,797.8,544.7333333333332,346.66666666666674,507.13333333333327,492.73333333333335
2016-08-10 14:45:00,488.06666666666666,,438.73333333333335,,510.86666666666673,494.9333333333333,414.66666666666674,414.66666666666674,359.4,509.06666666666666,296.0,517.4666666666667,532.1333333333333
2016-08-10 15:00:00,450.0,,433.6,,598.6666666666666,583.7333333333332,410.33333333333326,410.33333333333326,309.2,492.86666666666673,298.53333333333336,806.0,433.8
2016-08-10 15:15:00,427.8,,403.4666666666666,,490.8,270.06666666666666,419.6,419.6,406.66666666666674,446.9333333333333,294.1333333333333,1381.533333333333,296.3333333333333
2016-08-10 15:30:00,438.9333333333333,,457.9333333333333,,431.26666666666665,284.06666666666666,430.73333333333335,430.73333333333335,392.33333333333326,413.0,329.3333333333333,1580.333333333333,339.73333333333335
2016-08-10 15:45:00,482.26666666666665,,470.4666666666666,,470.8,387.4666666666666,404.66666666666674,404.66666666666674,537.3333333333334,416.66666666666674,355.66666666666674,1631.0,441.13333333333327
2016-08-10 16:00:00,506.9333333333333,,412.26666666666665,,806.7333333333332,779.7333333333332,331.8,331.8,416.86666666666673,450.8,358.4,972.0,737.7333333333332
2016-08-10 16:15:00,1519.333333333333,,540.7333333333332,,480.4666666666666,867.1333333333333,316.06666666666666,316.06666666666666,6911.2,655.8666666666667,397.86666666666673,998.3333333333335,815.6666666666665
2016-08-10 16:30:00,1215.0,,815.6666666666665,,498.4666666666666,830.0666666666667,313.73333333333335,313.73333333333335,21326.2,848.4,332.1333333333333,961.7333333333332,924.5333333333333
