Date/Time,1502_O_BLPK,1639_O_ELIB,2071_O_NOSD,2281_O_HiPK,2319_O_DWNTN,4209_O_LWCV,4363_O_SQHS,4431_O_WBG,4691_O_SWKY,4919_O_HIPK,5309_O_SQHL,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6227_O_ELIB,6399_O_GLEN,7543_O_MILL,8284_O_SWPK
2017-01-12 06:45:00,,,534.2,520.7333333333332,521.0666666666667,,,,,,471.0,9478.533333333333,9478.533333333333,474.53333333333336,574.4666666666667,565.1333333333333,535.2666666666668,457.06666666666666
2017-01-12 07:00:00,,,541.2666666666668,519.6666666666666,773.4666666666667,,,,,,492.73333333333335,9888.333333333334,9888.333333333334,508.4666666666666,573.9333333333333,534.0,530.2666666666668,471.06666666666666
2017-01-12 07:15:00,,,551.4,514.1333333333333,562.0,,,,,,511.6,9489.266666666666,9489.266666666666,489.66666666666674,588.0666666666667,535.4666666666667,532.6666666666666,476.73333333333335
2017-01-12 07:30:00,,,548.7333333333332,513.6666666666666,507.6,,,,,,512.0,10851.933333333332,10851.933333333332,505.9333333333333,579.5333333333333,539.4,552.3333333333334,491.4
2017-01-12 07:45:00,,,559.2666666666668,522.6666666666666,835.6666666666665,,,,,,531.8,10028.0,10028.0,507.86666666666673,566.9333333333333,541.0,555.7333333333332,506.73333333333335
2017-01-12 08:00:00,,,579.7333333333332,531.7333333333332,572.2666666666668,,,,,,568.2,9731.2,9731.2,517.9333333333333,587.7333333333332,563.4,535.5333333333333,537.8
2017-01-12 08:15:00,,,582.8666666666667,552.2,543.6666666666666,,,,,,520.5333333333333,9994.333333333334,9994.333333333334,510.4666666666666,579.1333333333333,575.0666666666667,570.2,573.0
2017-01-12 08:30:00,,,620.8,543.1333333333333,546.6,,,,,,525.8666666666667,8564.466666666667,8564.466666666667,523.9333333333333,603.5333333333333,581.0666666666667,548.9333333333333,550.2666666666668
2017-01-12 08:45:00,,,613.2,577.0,543.4,,,,,,588.2,9580.666666666666,9580.666666666666,548.2,626.6,611.6,554.8666666666667,564.9333333333333
2017-01-12 09:00:00,,,623.1333333333333,566.2,588.7333333333332,,,,,,593.1333333333333,10729.0,10729.0,564.9333333333333,631.7333333333332,710.2666666666668,574.9333333333333,568.8666666666667
