Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL,3050_O_OHCO,1266_O_WLKG
2026-05-02 12:00:00,1573.13333333,558.53333333,,,190.53333333,2119.26666667,491.46666667,1126.53333333,,
2026-05-02 12:15:00,1510.86666667,602.53333333,,,176.93333333,1959.33333333,892.93333333,1025.33333333,,
2026-05-02 12:30:00,1817.93333333,716.06666667,,,157.0,1869.8,553.86666667,1256.13333333,,
2026-05-02 12:45:00,2472.6,707.53333333,,,168.93333333,1800.4,504.26666667,1504.6,,
2026-05-02 13:00:00,2383.26666667,730.2,,,173.2,1525.4,2502.8,1790.33333333,,
2026-05-02 13:15:00,2294.93333333,755.0,,,183.6,1444.33333333,401.26666667,1729.93333333,,
2026-05-02 13:30:00,1995.2,897.26666667,,,188.0,1404.6,412.46666667,1460.53333333,,
2026-05-02 13:45:00,1515.6,838.26666667,,,164.33333333,1237.26666667,515.46666667,1361.13333333,,
2026-05-02 14:00:00,1093.4,725.13333333,,,168.66666667,1134.46666667,376.06666667,1145.6,,
2026-05-02 14:15:00,977.8,727.06666667,,,173.0,1079.46666667,389.53333333,1100.33333333,,
2026-05-02 14:30:00,909.66666667,976.0,,,171.0,975.8,3439.2,1074.8,,
2026-05-02 14:45:00,886.53333333,924.2,,,173.33333333,901.2,390.06666667,1058.66666667,,
2026-05-02 15:00:00,785.46666667,1066.93333333,,,162.86666667,748.33333333,391.4,1757.2,,
2026-05-02 15:15:00,733.8,944.6,,,163.06666667,713.53333333,380.2,1784.0,,
2026-05-02 15:30:00,705.26666667,761.46666667,,,183.0,715.26666667,2218.4,944.2,,
2026-05-02 15:45:00,674.06666667,634.46666667,,,187.73333333,724.4,322.2,873.73333333,,
2026-05-02 16:00:00,641.26666667,679.13333333,,,219.06666667,523.26666667,416.66666667,744.66666667,,
2026-05-02 16:15:00,610.93333333,767.46666667,,,205.53333333,409.53333333,843.4,762.86666667,,
2026-05-02 16:30:00,566.8,925.66666667,,526.33333333,185.06666667,407.66666667,1215.13333333,719.4,,
2026-05-02 16:45:00,505.86666667,1048.53333333,,675.06666667,182.66666667,403.26666667,778.26666667,676.4,,
2026-05-02 17:00:00,409.33333333,1111.66666667,,692.46666667,171.6,359.2,780.93333333,529.46666667,,
2026-05-02 17:15:00,336.93333333,945.13333333,,610.0,181.26666667,322.86666667,665.93333333,463.26666667,,
2026-05-02 17:30:00,439.53333333,788.6,,515.6,193.8,228.8,627.0,432.53333333,,
2026-05-02 17:45:00,342.73333333,760.86666667,,465.33333333,255.33333333,274.66666667,739.93333333,436.0,,
2026-05-02 18:00:00,323.4,755.13333333,,472.8,199.13333333,315.93333333,839.73333333,397.0,,
2026-05-02 18:15:00,289.4,784.66666667,,436.4,279.53333333,291.66666667,860.6,326.66666667,,
