Date/Time,6227_O_ELIB,1282_O_BCVW,1404_O_TROY,1639_O_ELIB,5679_O_BLOO,2071_O_NOSD,5624_O_BUFF,1502_O_BLPK,8941_O_MTLE,5008_O_HWD,4576_O_EMSW,6809_O_SQHS,8183_O_MILL,5571_O_BUFF,4431_O_WBG,6582_O_OAKD,4386_O_MTLE,7543_O_MILL
2017-05-15 11:30:00,19.066666666666666,,,16.0,16.933333333333334,,,,406.8666666666667,,30.0,33.06666666666667,36.6,,,,27.866666666666667,27.142857142857142
2017-05-15 11:45:00,23.0,,,17.666666666666668,24.866666666666667,,,,480.4,,91.0,34.46666666666667,17.733333333333334,,,,24.8,50.0
2017-05-15 12:00:00,26.266666666666666,,,20.4,30.066666666666666,,,,243.86666666666667,,35.53333333333333,29.733333333333334,22.733333333333334,,,,28.933333333333334,12.866666666666667
2017-05-15 12:15:00,21.466666666666665,,,18.533333333333335,17.2,,,,360.73333333333335,,35.6,31.0,40.8,,,,28.0,14.933333333333334
2017-05-15 12:30:00,24.2,,,25.2,27.333333333333332,,,,355.06666666666666,,24.266666666666666,30.8,19.266666666666666,,,,31.066666666666666,14.933333333333334
2017-05-15 12:45:00,62.13333333333333,,,32.0,27.466666666666665,,,,241.06666666666666,,26.266666666666666,30.0,19.533333333333335,,,,24.933333333333334,12.866666666666667
2017-05-15 13:00:00,31.933333333333334,,,59.06666666666667,18.933333333333334,,,,501.73333333333335,,23.4,24.333333333333332,19.533333333333335,,,,27.0,12.6
2017-05-15 13:15:00,21.4,,,52.0,21.666666666666668,,,,300.46666666666664,,20.133333333333333,27.8,22.0,,,,26.466666666666665,14.533333333333333
2017-05-15 13:30:00,27.4,,,42.46666666666667,21.866666666666667,,,,297.53333333333336,,23.533333333333335,28.266666666666666,48.666666666666664,,,,31.933333333333334,15.133333333333333
2017-05-15 13:45:00,27.266666666666666,,38.4,32.733333333333334,17.466666666666665,,,,218.73333333333332,,28.466666666666665,39.06666666666667,37.4,,,,30.266666666666666,13.066666666666666
2017-05-15 14:00:00,23.666666666666668,,36.13333333333333,29.466666666666665,20.6,,,,228.13333333333333,,28.066666666666666,26.4,52.0,,,,34.2,14.933333333333334
2017-05-15 14:15:00,21.6,,35.4,25.866666666666667,22.066666666666666,,,,104.26666666666667,,33.06666666666667,25.266666666666666,29.8,,,,32.46666666666667,15.733333333333333
2017-05-15 14:30:00,35.266666666666666,,35.4,20.866666666666667,20.8,,,,309.8,,24.133333333333333,32.8,25.066666666666666,,,,34.0,15.733333333333333
2017-05-15 14:45:00,29.866666666666667,,32.53333333333333,24.933333333333334,24.666666666666668,,,,382.8666666666667,,23.8,30.866666666666667,30.066666666666666,,,,27.666666666666668,17.6
2017-05-15 15:00:00,26.933333333333334,,30.6,29.0,30.733333333333334,,,,238.06666666666666,,25.733333333333334,39.46666666666667,63.333333333333336,,,,33.46666666666667,18.933333333333334
2017-05-15 15:15:00,31.2,,27.0,27.666666666666668,25.333333333333332,,,,276.93333333333334,,25.8,24.0,37.733333333333334,,,,29.8,17.4
2017-05-15 15:30:00,28.6,,21.733333333333334,23.666666666666668,24.466666666666665,,,,343.26666666666665,,32.4,24.2,37.46666666666667,,,,25.133333333333333,16.4
2017-05-15 15:45:00,25.933333333333334,,20.4,28.8,21.933333333333334,,,,189.93333333333334,,20.866666666666667,27.6,32.333333333333336,,,,26.8,18.4
2017-05-15 16:00:00,27.0,,19.133333333333333,42.0,23.6,,,,194.66666666666666,,589.4,25.266666666666666,28.2,,,,18.5,20.933333333333334
2017-05-15 16:15:00,26.666666666666668,,16.533333333333335,32.53333333333333,22.733333333333334,,,,92.86666666666666,,39.86666666666667,23.866666666666667,40.2,,,,15.88888888888889,19.733333333333334
2017-05-15 16:30:00,31.733333333333334,,16.533333333333335,22.466666666666665,23.2,,,,73.2,,29.4,23.2,38.266666666666666,,,,19.733333333333334,22.466666666666665
2017-05-15 16:45:00,40.266666666666666,,12.0,33.333333333333336,25.733333333333334,,,,69.6,,41.266666666666666,25.0,52.4,,,,33.53333333333333,20.266666666666666
2017-05-15 17:00:00,27.6,,22.0,21.733333333333334,29.133333333333333,,,,65.93333333333334,,38.6,24.2,82.6,,,,27.22222222222222,18.933333333333334
2017-05-15 17:15:00,21.6,,20.2,22.933333333333334,25.466666666666665,,,,23.4,,21.8,24.6,25.4,,,,,19.333333333333332
2017-05-15 17:30:00,22.066666666666666,,16.133333333333333,26.266666666666666,41.666666666666664,,,,22.133333333333333,,49.2,22.2,25.6,,,,,18.733333333333334
2017-05-15 17:45:00,254.53333333333333,,15.733333333333333,31.533333333333335,127.13333333333334,,,,22.0,,22.333333333333332,21.4,24.0,,,,,20.0
2017-05-15 18:00:00,117.6,,17.133333333333333,21.6,36.8,,,,20.066666666666666,,29.333333333333332,24.666666666666668,29.6,,,,,18.733333333333334
2017-05-15 18:15:00,38.8,,16.666666666666668,25.666666666666668,25.0,,,,24.133333333333333,,22.866666666666667,24.666666666666668,39.86666666666667,,,,,19.6
2017-05-15 18:30:00,33.86666666666667,,20.666666666666668,26.266666666666666,69.73333333333333,,,,17.8,,20.8,27.8,31.333333333333332,,,,,22.466666666666665
2017-05-15 18:45:00,27.4,,24.066666666666666,25.533333333333335,35.46666666666667,,,,18.933333333333334,,20.0,26.0,30.933333333333334,,,,,20.533333333333335
2017-05-15 19:00:00,25.733333333333334,,18.8,29.0,60.333333333333336,,,,20.933333333333334,,19.733333333333334,26.533333333333335,37.86666666666667,,,,,21.466666666666665
2017-05-15 19:15:00,29.133333333333333,,18.866666666666667,32.4,30.666666666666668,,,,28.666666666666668,,21.6,25.866666666666667,33.86666666666667,,,,,21.8
2017-05-15 19:30:00,31.4,,19.066666666666666,26.8,53.06666666666667,,,,21.8,,19.8,28.866666666666667,34.733333333333334,,,,,25.2
2017-05-15 19:45:00,30.6,,16.666666666666668,24.733333333333334,108.93333333333334,,,,32.666666666666664,,22.533333333333335,27.4,25.666666666666668,,,,,26.8
2017-05-15 20:00:00,31.933333333333334,,17.0,25.6,47.93333333333333,,,,28.066666666666666,,24.733333333333334,27.533333333333335,23.866666666666667,,,,,28.0
2017-05-15 20:15:00,31.2,,36.6,24.8,53.13333333333333,,,,31.2,,29.133333333333333,32.46666666666667,53.2,,,,,28.066666666666666
2017-05-15 20:30:00,26.866666666666667,,48.06666666666667,29.533333333333335,38.333333333333336,,,,28.066666666666666,,45.8,30.4,23.4,,,,,26.866666666666667
2017-05-15 20:45:00,31.8,,51.266666666666666,44.266666666666666,50.333333333333336,,,,38.06666666666667,,22.266666666666666,30.466666666666665,28.4,,,,,38.53333333333333
2017-05-15 21:00:00,46.13333333333333,,36.86666666666667,39.53333333333333,44.8,,,,33.333333333333336,,34.6,30.533333333333335,34.266666666666666,,,,,45.93333333333333
2017-05-15 21:15:00,38.4,,30.666666666666668,34.2,51.4,,,,34.8,,57.0,29.2,36.266666666666666,,,,,38.8
2017-05-15 21:30:00,40.2,,27.066666666666666,56.8,67.73333333333333,,,,36.2,,27.2,32.06666666666667,38.13333333333333,,,,,37.6
2017-05-15 21:45:00,36.8,,25.666666666666668,50.333333333333336,37.0,,,,70.0,,26.533333333333335,25.866666666666667,32.8,,,,,32.333333333333336
2017-05-15 22:00:00,33.46666666666667,,26.0,29.933333333333334,25.266666666666666,,,,159.13333333333333,,33.666666666666664,25.533333333333335,29.733333333333334,,,,,32.6
2017-05-15 22:15:00,54.666666666666664,,30.933333333333334,30.733333333333334,34.8,,,,158.66666666666666,,32.733333333333334,24.133333333333333,31.0,,,,,34.53333333333333
2017-05-15 22:30:00,46.333333333333336,,32.266666666666666,29.133333333333333,33.8,,,,109.6,,33.93333333333333,22.266666666666666,31.6,,,,,33.733333333333334
2017-05-15 22:45:00,35.13333333333333,,34.8,25.6,24.666666666666668,,,,169.4,,43.93333333333333,21.133333333333333,33.4,,,,,29.466666666666665
2017-05-15 23:00:00,32.93333333333333,,34.53333333333333,29.4,21.666666666666668,,,,206.66666666666666,,45.6,20.333333333333332,35.266666666666666,,,,,33.53333333333333
2017-05-15 23:15:00,35.06666666666667,,38.53333333333333,30.266666666666666,36.13333333333333,,,,218.66666666666666,,40.0,19.933333333333334,35.0,,,,,35.2
2017-05-15 23:30:00,60.6,,33.733333333333334,27.133333333333333,67.26666666666667,,,,208.53333333333333,,38.0,18.666666666666668,33.733333333333334,,,,,35.666666666666664
