Date/Time,1354_O_SHADY,1502_O_BLPK,2071_O_NOSD,4431_O_WBG,4530_O_CNTP,4574_O_MTLE,4816_O_GIBS,4839_O_RBN,4860_O_SQHN,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6517_O_USCL,6582_O_OAKD,6758_O_MTLE,6812_O_DUQS,7543_O_MILL,8941_O_MTLE
2018-04-29 04:45:00,639.2,,,5161.066666666667,,,,,678.2,4439.866666666667,4439.866666666667,671.4,,585.3333333333334,,,,424.33333333333326
2018-04-29 05:00:00,677.9333333333333,,,3569.6,,,,,634.1333333333333,4403.933333333333,4403.933333333333,592.6,,573.8,,,,386.9333333333333
2018-04-29 05:15:00,663.3333333333334,,,3232.666666666666,,,,,569.8666666666667,4248.733333333334,4248.733333333334,557.8,,553.9333333333333,,,,868.9333333333333
2018-04-29 05:30:00,671.6666666666666,,,3325.6,,,,,545.8666666666667,3581.266666666667,3581.266666666667,522.2666666666668,,595.0666666666667,,,,668.8666666666667
2018-04-29 05:45:00,687.8,,,3419.733333333333,,,,,560.2666666666668,2802.0,2802.0,517.4666666666667,,611.6666666666666,,,,435.33333333333326
2018-04-29 06:00:00,707.0,,,3495.5333333333333,,,,,545.0,2451.266666666667,2451.266666666667,542.4666666666667,,678.3333333333334,,,,377.8
2018-04-29 06:15:00,677.4,,,2755.8,,,,,543.8,2361.2,2361.2,553.2,,818.7333333333332,,,,371.06666666666666
2018-04-29 06:30:00,714.6,,,2568.266666666667,,,,,545.8666666666667,2086.933333333333,2086.933333333333,533.2,,953.8666666666667,,,,405.86666666666673
2018-04-29 06:45:00,688.8666666666667,,,3380.333333333333,,,,,581.8,1664.7333333333331,1664.7333333333331,592.9333333333333,,893.9333333333333,,,,469.4
2018-04-29 07:00:00,703.2666666666668,,,3563.066666666666,,,,,622.6666666666666,1389.533333333333,1389.533333333333,588.6666666666666,,852.4,,,,511.53333333333336
2018-04-29 07:15:00,720.2,,,2095.4,,,,,653.6666666666666,1046.0666666666666,1046.0666666666666,663.9333333333333,,820.2,,,,496.66666666666674
2018-04-29 07:30:00,712.2,,,1376.2666666666669,,,,,666.7333333333332,1124.4666666666667,1124.4666666666667,647.7333333333332,,787.7333333333332,,,,459.0
2018-04-29 07:45:00,703.0666666666667,,,1274.0,,,,,650.5333333333333,1004.4,1004.4,651.6,,755.2666666666668,,,,416.66666666666674
2018-04-29 08:00:00,723.1333333333333,,,1077.0,,,,,605.2666666666668,918.6,918.6,624.3333333333334,,711.4666666666667,,,,407.26666666666665
2018-04-29 08:15:00,765.0,,,939.7333333333332,,,,,644.2,924.4,924.4,633.0,,656.8666666666667,,,,413.86666666666673
2018-04-29 08:30:00,746.4666666666667,,,867.0666666666667,,,,,633.8666666666667,904.0,904.0,606.0666666666667,,632.2666666666668,,,,415.0
2018-04-29 08:45:00,731.4666666666667,,,822.0666666666667,,,,,642.2666666666668,,,592.8666666666667,,653.2666666666668,,,,416.73333333333335
2018-04-29 09:00:00,727.6666666666665,,,683.5333333333333,,,,,692.2666666666668,,,621.4,,658.2666666666668,,,,446.13333333333327
2018-04-29 09:15:00,706.5333333333333,,,621.9333333333333,,,,,716.7333333333332,,,682.5333333333333,,647.3333333333334,,,,461.2
2018-04-29 09:30:00,719.0,,,624.1333333333333,,,,,928.0,,,698.2,,667.6,,,,448.8
2018-04-29 09:45:00,711.0,,,641.5333333333333,,,,,805.1333333333333,,,655.8666666666667,,883.8666666666667,,,,466.9333333333333
2018-04-29 10:00:00,665.2,,,648.0,,,,,763.8,,,660.2,,899.2,,,,492.86666666666673
2018-04-29 10:15:00,629.6666666666666,,,614.8,,,,,766.6,,,759.2,,870.7333333333332,,,,529.4
2018-04-29 10:30:00,615.3333333333334,,,616.7333333333332,,,,,739.8,,,700.2666666666668,,786.8,,,,510.13333333333327
