Date/Time,1502_O_BLPK,1637_O_BELL,2071_O_NOSD,2130_O_MTOV,2281_O_HiPK,2535_O_RGSQ,3555_O_SCLL,3798_O_BRKN,4363_O_SQHS,4431_O_WBG,4530_O_CNTP,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,5761_O_SOSD,6360_O_PTBR,7543_O_MILL,8183_O_MILL,8304_O_SQHS,8356_O_OHRA,8941_O_MTLE
2017-10-21 20:15:00,2265.266666666667,1834.9333333333332,2229.333333333333,,,1385.0,,942.7333333333332,1021.3333333333335,1189.0,1049.3333333333333,678.4,678.4,2664.0666666666666,1386.0,1121.3333333333333,2124.4,,1384.466666666667,1045.0,
2017-10-21 20:30:00,2111.6,1831.2,2680.266666666667,,,1440.7333333333331,,1036.1333333333334,1095.1333333333334,1078.9333333333334,951.4666666666667,741.0,741.0,2556.933333333333,1356.4666666666667,2312.733333333333,2068.6666666666665,,1297.4666666666667,1073.1333333333334,
2017-10-21 20:45:00,2142.6666666666665,1914.9333333333332,2610.133333333333,,,1553.4,,1355.2,1571.1333333333334,964.3333333333335,971.2,718.2666666666668,718.2666666666668,2409.0,1593.1333333333334,1849.533333333333,2355.733333333333,,1899.4,1100.9333333333334,
2017-10-21 21:00:00,2553.933333333333,2020.0666666666666,2507.733333333333,,,1611.533333333333,,1179.4666666666667,1775.1333333333334,1044.4666666666667,911.8666666666667,847.2666666666668,847.2666666666668,2416.6666666666665,1683.666666666667,1542.8,2509.0666666666666,,1870.8666666666666,1140.3333333333333,
2017-10-21 21:15:00,2536.5333333333333,1891.466666666667,2695.266666666667,,,1554.6,,4309.133333333333,2056.6,1023.8,944.5333333333333,996.8666666666667,996.8666666666667,2403.2,2186.4666666666667,2170.933333333333,2141.4,,2109.6,1166.8,
2017-10-21 21:30:00,3760.5333333333333,1957.0,2732.4666666666667,,,1775.333333333333,,3742.8,2530.8,1224.6,1013.4666666666667,945.9333333333333,945.9333333333333,2513.0666666666666,1810.8666666666666,2449.266666666667,2365.733333333333,,2267.6666666666665,1176.7333333333333,
2017-10-21 21:45:00,3946.066666666666,1972.0,2861.333333333333,,,1844.2,,2119.266666666667,2705.933333333333,1332.7333333333333,1177.7333333333333,1084.4,1084.4,2614.8,2150.266666666667,2541.4666666666667,2463.8,,2562.133333333333,1255.3333333333333,
2017-10-21 22:00:00,4797.133333333333,2172.333333333333,2955.2,,,2021.7333333333331,,2066.5333333333333,2875.066666666666,1277.9333333333334,1414.0666666666666,966.3333333333335,966.3333333333335,2654.6666666666665,1847.2,2837.0,3381.6,,3180.333333333333,1313.3333333333333,
2017-10-21 22:15:00,3471.666666666666,2348.4666666666667,3134.733333333333,,,2427.6,,3211.8,3268.6,1373.7333333333333,937.1333333333333,1187.1333333333334,1187.1333333333334,2588.5333333333333,2004.9333333333332,3883.733333333333,2776.266666666667,,4015.666666666666,1353.6666666666667,
2017-10-21 22:30:00,3124.666666666666,2299.333333333333,3191.133333333333,,,2739.266666666667,,1928.466666666667,4012.066666666666,1630.1333333333334,1076.4,1100.2666666666667,1100.2666666666667,2525.133333333333,2217.8,4029.0,2861.733333333333,,3862.2,1437.2666666666669,
2017-10-21 22:45:00,3574.666666666666,2372.933333333333,3217.4666666666667,,,2899.066666666666,,1537.7333333333331,3527.666666666666,1596.2,1157.6666666666667,951.9333333333333,951.9333333333333,2625.266666666667,2283.333333333333,4015.4,2822.4666666666667,,3809.6,1546.0666666666666,
2017-10-21 23:00:00,4035.933333333333,2529.6666666666665,3365.266666666667,,,3144.933333333333,,1680.7333333333331,3448.8,1670.7333333333331,1187.4666666666667,1158.2,1158.2,3028.4,2514.0,3902.066666666666,3203.0,,3569.333333333333,1808.466666666667,
2017-10-21 23:15:00,4827.466666666666,2483.866666666667,3685.333333333334,,,3358.2,,1569.0,3423.5333333333333,1719.533333333333,1381.8,1161.4666666666667,1161.4666666666667,3376.0,2751.6,4462.733333333334,3298.266666666667,,3531.4666666666667,1851.333333333333,
2017-10-21 23:30:00,5134.466666666666,2522.0666666666666,3998.733333333333,,,4059.333333333334,,1512.666666666667,3642.4,1894.7333333333331,1274.9333333333334,1161.4,1161.4,3529.666666666666,3015.133333333333,3477.266666666667,3399.6,,3653.2,2015.466666666667,
2017-10-21 23:45:00,5342.6,2581.866666666667,4141.8,,,4567.0,,1580.4,4839.733333333334,2055.6666666666665,1317.7333333333333,1082.2,1082.2,3639.2,2797.866666666667,4150.133333333333,3692.5333333333333,,4645.866666666667,1970.6,
2017-10-22 00:00:00,4946.333333333333,2716.6,4301.933333333333,,,5119.6,,1800.533333333333,6108.333333333332,2009.2,1477.666666666667,990.9333333333333,990.9333333333333,3718.0,3728.666666666666,3732.2,3862.0,,5550.666666666668,2112.866666666667,
2017-10-22 00:15:00,4863.0,2998.4,4401.933333333333,,,5022.933333333333,,1769.466666666667,5672.9333333333325,1851.8,1509.4,919.4,919.4,3672.6,3347.266666666667,3872.866666666667,4120.2,,5378.4,2282.6666666666665,
