Date/Time,1441_O_CARN,1502_O_BLPK,2071_O_NOSD,3108_O_STDT,3259_O_BRAD,3555_O_SCLL,3732_O_BCVW,4387_O_EDWD,4431_O_WBG,4530_O_CNTP,4533_O_ALPK,5052_O_PennHills,5060_O_LWCV,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6030_O_BELL,6560_O_MTLE,6582_O_OAKD,7543_O_MILL,8100_O_PTBZ,8941_O_MTLE
2018-03-27 11:00:00,3500.066666666666,,4088.333333333334,683.3333333333334,3011.8,2439.6666666666665,,,1468.8666666666666,,1164.7666666666667,,14638.4,2511.4,2511.4,6389.133333333332,,3742.8,2042.2666666666669,3037.666666666666,,2592.6666666666665
2018-03-27 11:15:00,3774.5333333333333,,4514.333333333333,698.2,2983.4666666666667,2588.6666666666665,,,1488.666666666667,,1171.3,,17402.066666666666,2586.266666666667,2586.266666666667,3633.5333333333333,,3513.133333333333,1947.2,3104.133333333333,,4782.466666666666
2018-03-27 11:30:00,4130.733333333334,,4397.733333333334,683.6,2960.933333333333,2403.6666666666665,,,1612.8,,1204.9,,16785.6,2543.4666666666667,2543.4666666666667,2820.0,,3338.066666666666,1951.8,3312.266666666667,,6542.733333333334
2018-03-27 11:45:00,4429.266666666666,,4329.066666666667,663.0666666666667,2875.8,2282.8,,,1778.0666666666666,,1156.8333333333335,,14133.133333333333,2589.866666666667,2589.866666666667,2590.866666666667,,3311.6,1919.4,3785.4,,3161.4
2018-03-27 12:00:00,4601.933333333333,,4114.666666666667,642.4,2792.133333333333,2083.133333333333,,,1884.0,,1188.3333333333333,,19422.266666666666,2438.866666666667,2438.866666666667,2389.6666666666665,,3437.266666666667,1971.4,4298.466666666666,,4108.4
2018-03-27 12:15:00,4462.866666666667,,3408.333333333333,622.9333333333333,2611.133333333333,1974.4,,,1792.7333333333331,,1154.5,,9121.266666666666,2470.266666666667,2470.266666666667,2468.8,,3632.0,2031.0,4098.933333333333,,3750.6
2018-03-27 12:30:00,3330.066666666666,,4466.933333333333,644.2,2651.4,1899.0,,,1650.333333333333,,1176.8,,7507.266666666666,2460.6,2460.6,2480.4,,3946.6,2121.0666666666666,3561.066666666666,,2880.133333333333
2018-03-27 12:45:00,2715.4,,5210.933333333333,669.0666666666667,2739.866666666667,1829.8,,,1668.2666666666669,,1234.0999999999997,,10910.0,2279.2,2279.2,2575.733333333333,,4337.266666666666,2191.8,3436.333333333333,,3697.2
2018-03-27 13:00:00,2779.4666666666667,,5880.6,669.8666666666667,2892.733333333333,1783.4,,,1753.666666666667,,1300.0333333333333,,7299.6,2200.733333333333,2200.733333333333,2726.933333333333,,4097.8,2151.2,3660.0,,2765.6
2018-03-27 13:15:00,2938.4666666666667,,5757.0666666666675,657.6666666666666,2978.8,1674.8,,,1421.9333333333334,,1297.1666666666667,,4132.2,1968.6,1968.6,2463.4666666666667,,3731.2,1983.7333333333331,3617.666666666666,,4124.866666666667
2018-03-27 13:30:00,3107.066666666666,,4765.066666666667,664.1333333333333,2420.0,1501.9333333333334,,,1128.7333333333333,,1188.5,,3809.666666666666,1988.533333333333,1988.533333333333,2184.866666666667,,3278.866666666667,1947.4,3663.266666666667,,6459.666666666668
2018-03-27 13:45:00,3251.5333333333333,,4205.333333333333,684.4,2427.866666666667,1399.4,,,1181.8,,1144.3000000000002,,3903.8,1856.466666666667,1856.466666666667,2322.4666666666667,,3188.0,1950.533333333333,3790.4666666666662,,3403.666666666666
2018-03-27 14:00:00,3428.266666666667,,3585.2,686.6,2439.6666666666665,1346.2,,,1143.2666666666667,,1166.0666666666666,,4500.666666666667,1538.4,1538.4,2270.733333333333,,3353.8,2061.6666666666665,3342.4666666666667,,3597.066666666666
2018-03-27 14:15:00,3505.6,,3115.733333333333,854.2,2183.0,1388.1333333333334,,,1135.2666666666667,,1234.5666666666666,,4362.933333333333,1686.1333333333334,1686.1333333333334,2346.733333333333,,3247.933333333333,2113.733333333333,2809.066666666666,,9123.666666666666
2018-03-27 14:30:00,3753.733333333333,,2974.666666666666,814.6666666666665,2233.133333333333,1483.7333333333331,,,1113.8,,1359.8,,4557.0,1800.4,1800.4,2657.933333333333,,2880.066666666666,2012.0666666666666,2962.5333333333333,,6731.0
2018-03-27 14:45:00,3862.333333333334,,3044.266666666667,743.6666666666665,2536.8,1630.4,,,1081.2666666666667,,1472.8333333333335,,4889.866666666667,1940.4,1940.4,2816.8,,2782.733333333333,1907.666666666667,3067.6,,2085.0666666666666
2018-03-27 15:00:00,3967.066666666666,,3282.4,666.5333333333333,2545.133333333333,1508.333333333333,,,1030.2,,1436.8333333333333,,4412.266666666666,2058.6666666666665,2058.6666666666665,3652.2,,2736.8,1935.8,3377.133333333333,,2510.266666666667
2018-03-27 15:15:00,4087.933333333333,,3475.2,619.3333333333334,1937.7333333333331,1393.1333333333334,,,1061.3333333333333,,1476.3,,5228.666666666667,1728.666666666667,1728.666666666667,3799.133333333333,,2695.733333333333,2025.333333333333,3768.133333333333,,1904.466666666667
