Date/Time,5571_O_BUFF,5624_O_BUFF,4482_O_VLVW,8941_O_MTLE,3555_O_SCLL,4431_O_WBG,7543_O_MILL,1404_O_TROY,6809_O_SQHS,8183_O_MILL,8698_O_NOSD,2071_O_NOSD,1502_O_BLPK,7870_O_MILL,6745_O_STDT,5679_O_BLOO,8109_O_FXCP,1369_O_GIBS,2281_O_HiPK
2017-08-08 15:00:00,13.866666666666667,13.866666666666667,15.933333333333334,,15.533333333333333,21.4,31.733333333333334,,20.266666666666666,0.0,20.2,,25.133333333333333,,15.066666666666666,15.6,0.0,,12.666666666666666
2017-08-08 15:15:00,14.4,14.4,15.8,,15.066666666666666,18.333333333333332,32.333333333333336,,18.2,0.0,14.266666666666667,,25.133333333333333,,15.8,15.933333333333334,0.26666666666666666,,9.666666666666666
2017-08-08 15:30:00,13.933333333333334,13.933333333333334,19.933333333333334,,15.466666666666667,23.333333333333332,39.666666666666664,,17.6,0.0,16.0,,25.4,,15.4,16.8,0.0,,10.733333333333333
2017-08-08 15:45:00,12.933333333333334,12.933333333333334,17.933333333333334,,14.866666666666667,22.4,44.6,,17.8,0.0,16.466666666666665,,24.533333333333335,,16.266666666666666,16.533333333333335,0.0,,10.333333333333334
2017-08-08 16:00:00,14.2,14.2,20.2,,14.6,18.4,83.46666666666667,,21.933333333333334,0.0,15.2,,23.933333333333334,,13.066666666666666,17.066666666666666,0.0,,10.2
2017-08-08 16:15:00,21.6,21.6,21.866666666666667,,16.933333333333334,23.4,96.93333333333334,,19.6,0.0,18.0,,22.333333333333332,,12.2,16.266666666666666,0.0,,9.2
2017-08-08 16:30:00,13.533333333333333,13.533333333333333,16.933333333333334,,15.733333333333333,22.733333333333334,56.6,,19.2,0.0,11.666666666666666,,24.2,,13.8,15.4,0.0,,8.933333333333334
2017-08-08 16:45:00,16.8,16.8,14.466666666666667,,16.266666666666666,19.466666666666665,34.93333333333333,,18.6,0.0,11.666666666666666,,21.333333333333332,,13.8,19.466666666666665,0.0,,8.866666666666667
2017-08-08 17:00:00,16.866666666666667,16.866666666666667,15.266666666666667,,16.0,20.533333333333335,28.6,,17.466666666666665,0.0,12.533333333333333,,22.8,,14.066666666666666,18.0,0.0,,8.0
2017-08-08 17:15:00,23.8,23.8,16.133333333333333,,14.0,20.4,28.733333333333334,,18.066666666666666,0.0,10.466666666666667,,24.133333333333333,,12.666666666666666,38.0,0.0,,10.466666666666667
