Date/Time,1128_O_HIPK,2071_O_NOSD,2348_O_HILL,2610_O_INGM,2759_O_BRHT,3555_O_SCLL,4431_O_WBG,4514_O_MCCA,5182_O_DORM,5571_O_BUFF,5593_O_WLIB,5624_O_BUFF,6582_O_OAKD,7112_O_FRHL,7783_O_HZWD,8637_O_HIPK,8798_O_FRHL,8941_O_MTLE
2018-10-01 08:45:00,,,5219.866666666667,2867.733333333333,,,,3295.8,1636.6,315.2,3680.733333333333,315.2,3619.133333333333,9900.333333333334,4805.466666666666,,4869.533333333334,1637.7333333333331
2018-10-01 09:00:00,,,4943.6,2416.4,,,,2792.4666666666667,1531.8666666666666,267.0,4979.466666666666,267.0,3345.866666666667,9514.866666666667,5794.2,,4554.333333333333,736.6
2018-10-01 09:15:00,,,4649.2,2193.8,,,,2629.6666666666665,1495.666666666667,262.8,6860.333333333332,262.8,3141.2,7077.333333333332,6728.4,,4182.333333333333,861.3333333333335
2018-10-01 09:30:00,,,3235.733333333333,2042.533333333333,,,,1890.9333333333332,1443.8666666666666,268.6666666666667,5625.8,268.6666666666667,2994.266666666667,5052.666666666667,7270.9333333333325,,3114.4666666666667,2061.0666666666666
2018-10-01 09:45:00,,,2684.4,1836.533333333333,,,,1070.2666666666667,1419.466666666667,247.8,6472.8,247.8,3023.4,4219.866666666667,5882.8,,2229.0,2835.933333333333
2018-10-01 10:00:00,3570.0,,2389.933333333333,1441.6,,,,784.4666666666667,1284.6666666666667,233.53333333333333,4776.2,233.53333333333333,2731.866666666667,3255.133333333333,2468.2,3570.0,1997.2666666666669,730.2666666666668
2018-10-01 10:15:00,2229.733333333333,,1808.1333333333332,1210.6,,,,706.6,1262.1333333333334,286.8666666666667,992.3333333333335,286.8666666666667,2413.933333333333,3417.866666666667,1644.666666666667,2229.733333333333,1522.533333333333,741.0
2018-10-01 10:30:00,1742.9333333333334,,1499.1333333333334,908.5333333333333,,,,655.9333333333333,1333.0,245.06666666666663,822.1333333333333,245.06666666666663,2193.8,2890.133333333333,1304.1333333333334,1742.9333333333334,1209.1333333333334,1158.1333333333334
2018-10-01 10:45:00,1494.6,,1298.7333333333333,673.2,,,,587.9333333333333,1071.0,221.86666666666667,729.4,221.86666666666667,1578.1333333333334,2388.933333333333,743.4,1494.6,1029.2666666666667,948.2666666666668
2018-10-01 11:00:00,1294.6,,906.4666666666667,532.3333333333334,,,,543.8,866.7333333333332,227.86666666666667,651.7333333333332,227.86666666666667,1198.8,2402.4,616.6,1294.6,648.4666666666667,562.8
2018-10-01 11:15:00,1113.0,,718.8666666666667,458.26666666666665,,,,486.6,712.8666666666667,217.33333333333331,542.4666666666667,217.33333333333331,739.4,1148.1333333333334,600.2666666666668,1113.0,538.4,4546.666666666667
2018-10-01 11:30:00,848.8666666666667,,585.4666666666667,429.26666666666665,,,,441.33333333333326,612.8666666666667,223.06666666666663,517.4,223.06666666666663,696.0,811.9333333333333,569.0666666666667,848.8666666666667,451.2,595.6666666666666
2018-10-01 11:45:00,764.9333333333333,,366.2,454.4,,,,413.4666666666666,547.5333333333333,236.13333333333333,443.86666666666673,236.13333333333333,630.6666666666666,665.4,508.6,764.9333333333333,378.2,485.8
2018-10-01 12:00:00,698.7333333333332,,300.46666666666664,340.3333333333333,,,,371.4,520.4666666666667,207.86666666666667,384.8,207.86666666666667,559.2,614.4666666666667,419.86666666666673,698.7333333333332,307.2,527.4666666666667
2018-10-01 12:15:00,611.4666666666667,,240.66666666666663,401.33333333333326,,,,369.2,486.66666666666674,212.33333333333331,353.33333333333326,212.33333333333331,465.06666666666666,575.2,383.06666666666666,611.4666666666667,214.06666666666663,711.6666666666665
2018-10-01 12:30:00,428.26666666666665,,238.0,361.06666666666666,,,,316.6666666666667,484.73333333333335,212.2,343.86666666666673,212.2,369.9333333333333,497.86666666666673,358.33333333333326,428.26666666666665,198.6,564.6666666666666
2018-10-01 12:45:00,424.66666666666674,,245.06666666666663,327.06666666666666,,,,292.6666666666667,464.0,221.66666666666663,333.6,221.66666666666663,365.33333333333326,475.0,353.2,424.66666666666674,187.46666666666667,446.06666666666666
2018-10-01 13:00:00,414.33333333333326,,229.26666666666668,309.53333333333336,,,,282.8,431.73333333333335,213.86666666666667,313.6,213.86666666666667,307.1333333333333,443.33333333333326,340.26666666666665,414.33333333333326,195.0,420.2
2018-10-01 13:15:00,370.86666666666673,,217.26666666666668,312.26666666666665,,,,272.0,397.06666666666666,300.8666666666667,302.06666666666666,300.8666666666667,274.8,424.73333333333335,322.6666666666667,370.86666666666673,176.86666666666667,431.4
2018-10-01 13:30:00,359.26666666666665,,195.6,287.0,,,,276.8666666666667,379.6,218.13333333333333,290.4,218.13333333333333,248.66666666666663,417.66666666666674,519.0666666666667,359.26666666666665,168.8,728.2666666666668
2018-10-01 13:45:00,357.86666666666673,,207.46666666666667,278.4,,,,272.6,381.86666666666673,232.7333333333333,291.2,232.7333333333333,254.53333333333333,432.8,338.8666666666667,357.86666666666673,177.93333333333337,524.8
2018-10-01 14:00:00,344.26666666666665,,203.06666666666663,281.4,,,,269.46666666666664,385.26666666666665,208.0,287.6,208.0,256.53333333333336,432.13333333333327,343.53333333333336,344.26666666666665,302.93333333333334,397.13333333333327
2018-10-01 14:15:00,357.9333333333333,,196.66666666666663,277.8,,,,271.53333333333336,372.0,213.53333333333333,289.73333333333335,213.53333333333333,256.93333333333334,435.4666666666666,371.0,357.9333333333333,190.0,792.6666666666665
2018-10-01 14:30:00,331.6666666666667,,199.53333333333333,281.0,,,,275.2,380.26666666666665,223.7333333333333,316.26666666666665,223.7333333333333,262.6,448.6,380.33333333333326,331.6666666666667,184.06666666666663,473.6
2018-10-01 14:45:00,335.8,,208.4,260.93333333333334,,,,293.4,365.73333333333335,229.2,326.93333333333334,229.2,304.3333333333333,457.26666666666665,428.33333333333326,335.8,204.26666666666668,512.8
2018-10-01 15:00:00,352.0,,199.33333333333331,276.4,,,,288.06666666666666,382.6,246.26666666666668,293.8666666666667,246.26666666666668,304.8,419.13333333333327,400.53333333333336,352.0,238.66666666666663,401.9333333333333
2018-10-01 15:15:00,331.06666666666666,,194.6,271.6,,,,287.0,378.86666666666673,256.93333333333334,294.2,256.93333333333334,366.26666666666665,419.86666666666673,333.73333333333335,331.06666666666666,280.8666666666667,361.2
2018-10-01 15:30:00,321.2,,194.13333333333333,273.4,,,,294.8666666666667,366.26666666666665,259.0,348.33333333333326,259.0,581.4666666666667,423.9333333333333,312.0,321.2,1249.6666666666667,310.26666666666665
