Date/Time,1502_O_BLPK,2071_O_NOSD,2348_O_HILL,2533_O_ALTN,2759_O_BRHT,3555_O_SCLL,4431_O_WBG,4860_O_SQHN,5571_O_BUFF,5575_O_ETNA,5624_O_BUFF,6582_O_OAKD,6959_O_ELIB,7324_O_NSHR,8485_O_FRSP,8609_O_DOWN,8941_O_MTLE
2018-08-17 15:15:00,,,,,,2728.6666666666665,,,2528.6,,,,,2487.0,,,
2018-08-17 15:30:00,,,,,,2429.133333333333,,,2212.4666666666667,,,,3755.25,2579.2,,,
2018-08-17 15:45:00,,,,,,2161.333333333333,,,1962.666666666667,,,,2727.2,2228.2,,,
2018-08-17 16:00:00,,,,,,1769.8,,,1608.0666666666666,,,,2592.333333333333,2463.6,,,
2018-08-17 16:15:00,,,,,,1537.466666666667,,,1510.9333333333334,,,,2620.333333333333,2974.333333333333,,,
2018-08-17 16:30:00,,,,,,1331.8666666666666,,,1379.1333333333334,,,,2960.6,3202.0,,,
2018-08-17 16:45:00,,,,,,1317.8666666666666,,,1424.6,,,,3216.4666666666667,3190.733333333333,,,
2018-08-17 17:00:00,,,,,,1302.6,,,3287.6,,,,2988.266666666667,4038.133333333333,,,
2018-08-17 17:15:00,,,,,,1298.5333333333333,,,2674.8,,,,3596.133333333333,1624.8,,,
2018-08-17 17:30:00,,,,,,1333.4666666666667,,,1785.333333333333,,,,3444.733333333333,1022.4,,,
2018-08-17 17:45:00,,,,,,1391.1333333333334,,,1658.2,,,,1475.666666666667,1233.6,,,
2018-08-17 18:00:00,,,,,,1264.0,,,1533.466666666667,,,,1543.2,1429.8,,,
2018-08-17 18:15:00,,,,,,1157.5333333333333,,,984.9333333333333,,,,1646.8666666666666,1278.9333333333334,,,
2018-08-17 18:30:00,,,,,,1646.0,,,969.2666666666668,,,,1659.466666666667,1171.8666666666666,,,
2018-08-17 18:45:00,,,,,,1714.2,,,932.0666666666667,,,,1448.333333333333,1212.8,,,
2018-08-17 19:00:00,,,,,,1388.7333333333331,,,866.6666666666665,,,,1775.8,1399.9333333333334,,,
2018-08-17 19:15:00,,,,,,1155.4666666666667,,,841.7333333333332,,,,1299.1333333333334,1303.6,,,
2018-08-17 19:30:00,,,,,,1195.3333333333333,,,802.8666666666667,,,,2085.8,1297.1333333333334,,,
2018-08-17 19:45:00,,,,,,1158.6,,,792.0,,,,1965.8,1366.1333333333334,,,
2018-08-17 20:00:00,,,,,,1132.7333333333333,,,837.4,,,,1623.466666666667,1031.0666666666666,,,
2018-08-17 20:15:00,,,,,,1110.3333333333333,,,894.2666666666668,,,,1472.0,1044.0666666666666,,,
2018-08-17 20:30:00,,,,,,1131.8666666666666,,,928.6,,,,1504.333333333333,1149.6,,,
2018-08-17 20:45:00,,,,,,1157.0666666666666,,,917.8666666666667,,,,1385.2,1066.8666666666666,,,
2018-08-17 21:00:00,,,,,,1201.6666666666667,,,970.3333333333335,,,,1054.0666666666666,1027.6,,,
2018-08-17 21:15:00,,,,,,1203.0,,,978.1333333333333,,,,1010.4,1249.2666666666667,,,
2018-08-17 21:30:00,,,,,,1199.9333333333334,,,1031.8,,,,948.2666666666668,1334.0,,,
2018-08-17 21:45:00,,,,,,1295.3333333333333,,,1140.8666666666666,,,,944.6666666666665,1036.2,,,
2018-08-17 22:00:00,,,,,,1239.8666666666666,,,1223.7333333333333,,,,949.0,1092.2666666666667,,,
2018-08-17 22:15:00,,,,,,1145.4,,,1190.1333333333334,,,,1144.7333333333333,1109.5333333333333,,,
2018-08-17 22:30:00,,,,,,1121.8666666666666,,,1171.9333333333334,,,,2019.2666666666669,1052.2,,,
2018-08-17 22:45:00,,,,,,1109.8666666666666,,,1177.6,,,,2510.933333333333,1023.2666666666668,,,
2018-08-17 23:00:00,,,,,,1137.9333333333334,,,1161.8666666666666,,,,2252.6666666666665,1019.4666666666667,,,
2018-08-17 23:15:00,,,,,,1131.4666666666667,,,1207.9333333333334,,,,2213.333333333333,1017.9333333333333,,,
2018-08-17 23:30:00,,,,,,1161.0666666666666,,,1303.0,,,,2072.2,1032.8666666666666,,,
2018-08-17 23:45:00,,,,,,1153.0666666666666,,,1365.1333333333334,,,,1800.2,1014.2,,,
2018-08-18 00:00:00,,,,,,1182.0,,,1413.7333333333331,,,,1415.8,1089.5333333333333,,,
2018-08-18 00:15:00,,,,,,1251.8666666666666,,,1585.0666666666666,,,,1201.3333333333333,1075.0666666666666,,,
2018-08-18 00:30:00,,,,,,1377.6,,,1717.2,,,,942.2666666666668,1126.0,,,
2018-08-18 00:45:00,,,,,,1556.8,,,1808.8666666666666,,,,1176.6,1164.1333333333334,,,
2018-08-18 01:00:00,,,,,,1759.8,,,1848.1333333333332,,,,1175.5333333333333,1164.8,,,
2018-08-18 01:15:00,,,,,,1894.9333333333332,,,2030.6,,,,1165.2,1252.0666666666666,,,
2018-08-18 01:30:00,,,,,,2130.733333333333,,,2177.266666666667,,,,995.7333333333332,1286.2,,,
2018-08-18 01:45:00,,,,,,2290.0666666666666,,,2325.733333333333,,,,1038.1333333333334,1433.8,,,
2018-08-18 02:00:00,,,,,,2448.733333333333,,,2456.6,,,,1008.8666666666667,1373.7333333333333,,,
2018-08-18 02:15:00,,,,,,2629.2,,,2417.5333333333333,,,,1205.4666666666667,1394.2666666666669,,,
2018-08-18 02:30:00,,,,,,2751.133333333333,,,2439.6666666666665,,,,1243.3333333333333,1439.8,,,
2018-08-18 02:45:00,,,,,,2798.6,,,2462.4,,,,1340.2,1486.533333333333,,,
2018-08-18 03:00:00,,,,,,2755.133333333333,,,2051.6,,,,1348.8666666666666,1509.6,,,
