Date/Time,1369_O_GIBS,1404_O_TROY,1502_O_BLPK,2071_O_NOSD,2281_O_HiPK,3555_O_SCLL,4431_O_WBG,4482_O_VLVW,5571_O_BUFF,5624_O_BUFF,5679_O_BLOO,6745_O_STDT,6809_O_SQHS,7543_O_MILL,7870_O_MILL,8109_O_FXCP,8183_O_MILL,8698_O_NOSD,8941_O_MTLE
2017-08-24 00:45:00,587.8,341.73333333333335,910.7333333333332,1117.4666666666667,942.7333333333332,701.8666666666667,922.8666666666667,717.4,849.5333333333333,849.5333333333333,,1012.0,807.9333333333333,2849.8,718.6,772.0666666666667,,,588.0
2017-08-24 01:00:00,593.7333333333332,318.6,930.2666666666668,1129.4666666666667,1031.8,730.7333333333332,913.0,716.4666666666667,764.6,764.6,,1135.3333333333333,1005.8666666666667,2797.5333333333333,694.4666666666667,793.5333333333333,,,694.9333333333333
2017-08-24 01:15:00,588.0,299.0,973.8666666666667,1140.2,1175.0666666666666,731.4666666666667,935.2,710.8666666666667,794.9333333333333,794.9333333333333,,1140.7333333333333,1139.9333333333334,2849.333333333333,707.0666666666667,777.9333333333333,,,744.1333333333333
2017-08-24 01:30:00,594.8666666666667,284.53333333333336,994.0,1143.7333333333333,1570.6,764.2666666666668,927.9333333333333,698.9333333333333,744.1333333333333,744.1333333333333,,1420.0,1353.2666666666667,2873.733333333333,731.0,765.2,,,736.9333333333333
2017-08-24 01:45:00,589.2,276.1333333333333,1014.4666666666667,1207.8666666666666,1473.8,780.9333333333333,1029.3333333333333,703.3333333333335,747.0,747.0,,1113.7333333333333,1397.466666666667,2817.2,726.8666666666667,786.9333333333333,,,690.0666666666667
2017-08-24 02:00:00,602.8666666666667,307.93333333333334,1065.2666666666667,1235.9333333333334,1312.1333333333334,796.0666666666667,1068.2666666666667,707.0,756.0666666666667,756.0666666666667,,1340.4,1293.9333333333334,2837.733333333333,765.7333333333332,802.0,,,655.2666666666668
2017-08-24 02:15:00,593.6666666666666,292.73333333333335,1072.8,1225.0,1280.4,835.4666666666667,925.2666666666668,705.8,910.3333333333335,910.3333333333335,,1006.6,1254.2666666666667,2896.4,775.0666666666667,772.2,,,656.2
2017-08-24 02:30:00,584.8,284.93333333333334,1131.5333333333333,1196.3333333333333,1308.8,893.3333333333335,907.7333333333332,751.7333333333332,898.3333333333335,898.3333333333335,,1029.8,1154.0,2811.5333333333333,733.4,802.0666666666667,,,687.0666666666667
2017-08-24 02:45:00,585.4666666666667,276.3333333333333,1157.6666666666667,1216.8666666666666,1358.5333333333333,874.4,915.8,753.6,817.1333333333333,817.1333333333333,,1053.4666666666667,1347.4666666666667,2804.4,739.3333333333335,775.3333333333335,,,688.6666666666665
2017-08-24 03:00:00,605.6,285.73333333333335,1182.5333333333333,1271.7333333333333,1491.533333333333,949.2,965.7333333333332,777.6,843.5333333333333,843.5333333333333,,1001.3333333333335,1342.0,2814.866666666667,781.0,791.5333333333333,,,677.4666666666667
2017-08-24 03:15:00,583.4666666666667,293.2,1241.7333333333333,1349.1333333333334,1591.0666666666666,960.5333333333333,980.6666666666665,754.5333333333333,933.3333333333335,933.3333333333335,,981.7333333333332,1507.533333333333,2787.666666666666,761.2,793.0666666666667,,,681.4666666666667
2017-08-24 03:30:00,599.6,305.46666666666664,1290.4666666666667,1366.4,1781.533333333333,1079.6666666666667,1083.3333333333333,714.9333333333333,902.0,902.0,,1153.3333333333333,1657.533333333333,2745.933333333333,757.5333333333333,800.8666666666667,,,663.8666666666667
2017-08-24 03:45:00,642.2666666666668,324.4,1330.9333333333334,1382.466666666667,1760.6,1080.0,999.3333333333335,733.8,866.1333333333333,866.1333333333333,,1192.0666666666666,1650.9333333333334,2738.733333333333,778.0,812.8666666666667,,,690.0666666666667
2017-08-24 04:00:00,732.4666666666667,384.66666666666674,1347.8666666666666,1352.8,1980.9333333333332,1063.2666666666667,1026.0,775.8,822.0,822.0,,1102.6,1685.4,2787.0,798.8666666666667,822.6666666666665,,,739.8
2017-08-24 04:15:00,945.5333333333333,415.86666666666673,1375.333333333333,1372.9333333333334,2685.2,1038.5333333333333,1084.4,808.4,807.8666666666667,807.8666666666667,,1081.4666666666667,3564.866666666667,2653.266666666667,796.9333333333333,843.9333333333333,,,752.6666666666665
2017-08-24 04:30:00,1199.0666666666666,371.0,1400.2,1335.0,3096.2,1012.0666666666667,1005.0,808.8666666666667,825.6,825.6,,1201.1333333333334,4367.466666666666,2557.933333333333,789.6666666666665,864.6,,,761.3333333333335
2017-08-24 04:45:00,1321.1333333333334,342.1333333333333,1416.7333333333331,1440.2,3271.133333333333,1019.8,946.9333333333333,825.2666666666668,861.2,861.2,,1082.4,3381.266666666667,2472.733333333333,810.2,865.4666666666667,,,812.6666666666665
2017-08-24 05:00:00,1402.666666666667,347.0,1409.8666666666666,1498.466666666667,3323.333333333333,1071.6666666666667,963.0666666666667,917.8,816.7333333333332,816.7333333333332,,1094.3333333333333,3566.866666666667,2438.133333333333,864.8666666666667,855.8666666666667,,,889.6
2017-08-24 05:15:00,1359.6666666666667,321.0,1423.666666666667,1495.0666666666666,3746.4,1084.0,1041.5333333333333,997.3333333333335,849.9333333333333,849.9333333333333,,1174.9333333333334,3892.8,2482.333333333333,863.2,882.4,,,977.5333333333333
2017-08-24 05:30:00,1245.7333333333333,328.1333333333333,1444.8,1507.6,3764.8,1083.9333333333334,1050.8666666666666,964.6666666666665,834.8666666666667,834.8666666666667,,1365.8,3988.333333333334,2418.933333333333,848.9333333333333,888.3333333333335,,,1122.5333333333333
2017-08-24 05:45:00,1175.6,316.46666666666664,1451.533333333333,1543.9333333333334,3626.6,1088.8,866.0666666666667,1000.9333333333333,804.0666666666667,804.0666666666667,,1233.0666666666666,3731.733333333333,2431.4,845.3333333333335,913.3333333333335,,,1137.7333333333333
2017-08-24 06:00:00,1151.7333333333333,322.53333333333336,1480.0,1556.333333333333,3510.866666666667,1101.2,920.4666666666667,1342.8666666666666,830.6666666666665,830.6666666666665,,1301.4666666666667,3398.6,2477.133333333333,882.6,905.6,,,1162.9333333333334
2017-08-24 06:15:00,1085.0,311.4,1496.7333333333331,1723.333333333333,3203.4666666666667,1129.6,1029.0666666666666,1359.8666666666666,848.5333333333333,848.5333333333333,,1470.0,3057.4,2504.733333333333,878.1333333333333,932.6,,,1110.5333333333333
2017-08-24 06:30:00,1083.0666666666666,311.6666666666667,1544.1333333333334,1999.666666666667,2937.4666666666667,1169.0666666666666,937.9333333333333,1563.533333333333,798.2666666666668,798.2666666666668,,1451.2,2752.933333333333,2477.4,873.1333333333333,952.8,,,1166.3333333333333
2017-08-24 06:45:00,1130.3333333333333,322.8,1541.0666666666666,1965.333333333333,3009.5333333333333,1164.7333333333333,1003.7333333333332,1770.666666666667,843.9333333333333,843.9333333333333,,1656.0666666666666,2779.666666666666,2449.0666666666666,910.6666666666665,993.4,,,1080.2
2017-08-24 07:00:00,1268.5333333333333,335.1333333333333,1607.6,1974.1333333333332,3174.133333333333,1194.9333333333334,1272.5333333333333,1764.533333333333,804.1333333333333,804.1333333333333,,1613.466666666667,2743.4,2498.133333333333,910.2,960.6,,,1126.2666666666667
