Date/Time,2931_O_SQHL,5202_O_SOSP,7543_O_MILL,6227_O_ELIB,8284_O_SWPK,5160_O_MOON,5816_O_SQHL,1502_O_BLPK,4915_O_ECON,5624_O_BUFF,5571_O_BUFF,6399_O_GLEN,1639_O_ELIB
2017-01-02 06:45:00,37.333333333333336,33.4,94.53333333333333,145.4,22.4,126.06666666666666,30.2,,70.06666666666666,103.53333333333333,103.53333333333333,46.06666666666667,29.8
2017-01-02 07:00:00,33.86666666666667,29.866666666666667,88.46666666666667,135.0,24.066666666666666,136.33333333333334,28.4,,67.93333333333334,111.06666666666666,111.06666666666666,46.266666666666666,29.8
2017-01-02 07:15:00,32.666666666666664,31.333333333333332,74.8,109.0,25.0,125.0,26.933333333333334,,62.8,118.06666666666666,118.06666666666666,42.93333333333333,28.6
2017-01-02 07:30:00,33.93333333333333,29.866666666666667,61.266666666666666,100.73333333333333,25.533333333333335,106.93333333333334,25.933333333333334,,56.46666666666667,125.2,125.2,46.93333333333333,29.666666666666668
2017-01-02 07:45:00,31.6,39.4,55.0,76.06666666666666,24.2,104.53333333333333,27.2,,56.0,121.53333333333333,121.53333333333333,51.53333333333333,27.6
2017-01-02 08:00:00,36.0,61.333333333333336,55.06666666666667,47.266666666666666,24.266666666666666,105.73333333333333,30.2,,51.46666666666667,99.53333333333333,99.53333333333333,43.0,27.533333333333335
2017-01-02 08:15:00,39.4,62.666666666666664,54.733333333333334,43.6,25.133333333333333,104.26666666666667,31.333333333333332,,53.8,94.46666666666667,94.46666666666667,41.93333333333333,28.066666666666666
2017-01-02 08:30:00,43.86666666666667,71.06666666666666,57.13333333333333,44.6,30.2,99.0,31.4,,52.93333333333333,109.53333333333333,109.53333333333333,40.266666666666666,40.266666666666666
2017-01-02 08:45:00,49.93333333333333,75.6,52.4,40.86666666666667,33.6,100.0,34.266666666666666,,51.46666666666667,83.4,83.4,46.06666666666667,35.46666666666667
2017-01-02 09:00:00,49.266666666666666,66.53333333333333,48.0,39.666666666666664,33.733333333333334,112.33333333333333,35.733333333333334,,45.46666666666667,66.73333333333333,66.73333333333333,39.333333333333336,38.93333333333333
2017-01-02 09:15:00,98.8,42.86666666666667,50.0,37.266666666666666,36.93333333333333,98.4,35.733333333333334,,44.2,116.66666666666667,116.66666666666667,33.13333333333333,41.666666666666664
2017-01-02 09:30:00,43.0,35.53333333333333,45.0,39.46666666666667,35.86666666666667,88.4,37.4,,44.666666666666664,95.26666666666667,95.26666666666667,34.46666666666667,43.06666666666667
2017-01-02 09:45:00,40.266666666666666,31.866666666666667,47.6,43.666666666666664,36.13333333333333,87.86666666666666,36.93333333333333,,41.86666666666667,67.46666666666667,67.46666666666667,31.133333333333333,40.6
2017-01-02 10:00:00,42.53333333333333,33.666666666666664,53.86666666666667,46.13333333333333,36.06666666666667,77.73333333333333,38.0,,38.93333333333333,52.2,52.2,35.2,48.13333333333333
2017-01-02 10:15:00,41.86666666666667,36.666666666666664,98.53333333333333,52.53333333333333,38.266666666666666,79.26666666666667,37.8,,35.13333333333333,44.733333333333334,44.733333333333334,34.13333333333333,49.93333333333333
2017-01-02 10:30:00,40.93333333333333,39.666666666666664,117.13333333333334,55.333333333333336,35.8,84.8,38.266666666666666,,36.13333333333333,52.93333333333333,52.93333333333333,37.93333333333333,51.06666666666667
2017-01-02 10:45:00,40.6,40.06666666666667,111.2,52.46666666666667,39.0,91.33333333333333,37.6,,38.8,43.333333333333336,43.333333333333336,41.733333333333334,49.0
2017-01-02 11:00:00,39.4,39.8,129.53333333333333,56.06666666666667,42.93333333333333,91.46666666666667,37.0,,53.2,43.666666666666664,43.666666666666664,40.46666666666667,45.93333333333333
2017-01-02 11:15:00,44.93333333333333,41.4,115.26666666666667,58.6,44.4,76.2,40.53333333333333,,60.93333333333333,47.733333333333334,47.733333333333334,42.46666666666667,47.8
2017-01-02 11:30:00,50.0,46.06666666666667,135.46666666666667,59.06666666666667,54.53333333333333,76.46666666666667,48.46666666666667,,67.26666666666667,46.8,46.8,41.8,51.0
2017-01-02 11:45:00,55.86666666666667,51.46666666666667,119.13333333333334,60.266666666666666,66.26666666666667,75.66666666666667,59.06666666666667,,68.6,51.13333333333333,51.13333333333333,41.53333333333333,52.2
2017-01-02 12:00:00,63.8,52.46666666666667,101.46666666666667,57.0,69.86666666666666,72.26666666666667,63.333333333333336,,49.8,53.86666666666667,53.86666666666667,42.266666666666666,57.733333333333334
2017-01-02 12:15:00,70.0,51.333333333333336,99.46666666666667,55.86666666666667,66.6,81.6,73.8,,40.06666666666667,62.13333333333333,62.13333333333333,49.2,65.33333333333333
2017-01-02 12:30:00,73.2,57.733333333333334,103.46666666666667,58.93333333333333,55.2,153.46666666666667,61.2,,38.46666666666667,50.8,50.8,51.06666666666667,162.26666666666668
2017-01-02 12:45:00,64.46666666666667,56.266666666666666,98.0,63.46666666666667,55.93333333333333,174.53333333333333,55.53333333333333,,41.333333333333336,47.13333333333333,47.13333333333333,50.666666666666664,56.06666666666667
2017-01-02 13:00:00,57.86666666666667,58.4,92.13333333333334,65.53333333333333,55.93333333333333,145.46666666666667,58.266666666666666,,49.0,51.266666666666666,51.266666666666666,53.333333333333336,62.4
2017-01-02 13:15:00,61.06666666666667,63.4,88.06666666666666,65.4,55.333333333333336,93.46666666666667,56.06666666666667,,58.46666666666667,55.86666666666667,55.86666666666667,54.93333333333333,67.13333333333334
2017-01-02 13:30:00,59.46666666666667,61.333333333333336,87.73333333333333,67.8,54.53333333333333,92.4,51.733333333333334,,61.733333333333334,47.53333333333333,47.53333333333333,59.2,68.06666666666666
2017-01-02 13:45:00,57.06666666666667,60.6,101.33333333333333,66.33333333333333,52.93333333333333,106.46666666666667,50.4,,57.93333333333333,30.866666666666667,30.866666666666667,58.2,61.733333333333334
2017-01-02 14:00:00,53.53333333333333,56.733333333333334,89.4,70.2,55.46666666666667,85.6,48.733333333333334,,63.4,31.733333333333334,31.733333333333334,51.53333333333333,55.8
2017-01-02 14:15:00,53.93333333333333,53.86666666666667,102.26666666666667,75.0,54.13333333333333,80.2,49.666666666666664,,62.6,48.666666666666664,48.666666666666664,55.86666666666667,56.2
2017-01-02 14:30:00,57.4,58.8,120.53333333333333,77.33333333333333,50.2,74.06666666666666,50.266666666666666,,67.93333333333334,71.26666666666667,71.26666666666667,53.8,9630.733333333334
2017-01-02 14:45:00,60.4,61.2,104.46666666666667,74.93333333333334,57.733333333333334,75.4,60.06666666666667,,77.46666666666667,99.86666666666666,99.86666666666666,58.4,4745.133333333333
2017-01-02 15:00:00,69.46666666666667,65.13333333333334,120.06666666666666,64.4,63.53333333333333,78.13333333333334,70.26666666666667,,78.73333333333333,134.86666666666667,134.86666666666667,65.93333333333334,69.66666666666667
2017-01-02 15:15:00,70.93333333333334,66.26666666666667,112.8,65.4,63.86666666666667,421.53333333333336,69.93333333333334,,65.8,153.53333333333333,153.53333333333333,63.333333333333336,72.6
2017-01-02 15:30:00,75.33333333333333,68.93333333333334,95.8,72.13333333333334,61.13333333333333,2380.0666666666666,69.53333333333333,,63.46666666666667,141.13333333333333,141.13333333333333,70.8,80.33333333333333
2017-01-02 15:45:00,76.8,73.6,98.8,67.33333333333333,67.33333333333333,4281.466666666666,75.93333333333334,,68.8,132.86666666666667,132.86666666666667,70.33333333333333,76.0
2017-01-02 16:00:00,80.0,77.93333333333334,97.6,77.53333333333333,71.53333333333333,2172.133333333333,79.8,,81.73333333333333,157.66666666666666,157.66666666666666,88.8,78.13333333333334
2017-01-02 16:15:00,83.4,84.6,100.73333333333333,88.8,73.2,168.53333333333333,81.2,,103.33333333333333,125.4,125.4,107.66666666666667,8763.2
2017-01-02 16:30:00,87.66666666666667,86.06666666666666,100.85714285714286,93.6,68.53333333333333,201.13333333333333,81.06666666666666,,138.73333333333332,124.8,124.8,117.4,5430.0
2017-01-02 16:45:00,83.26666666666667,79.6,50.5,89.4,58.4,252.0,77.6,,198.06666666666666,105.33333333333333,105.33333333333333,110.8,2023.5333333333333
2017-01-02 17:00:00,77.4,73.73333333333333,82.2,87.2,51.6,267.4,69.8,,187.73333333333332,101.8,101.8,106.4,13960.466666666667
2017-01-02 17:15:00,76.86666666666666,71.0,95.86666666666666,105.0,52.666666666666664,285.93333333333334,63.8,,209.0,108.33333333333333,108.33333333333333,105.6,91.86666666666666
2017-01-02 17:30:00,66.6,62.93333333333333,96.4,114.13333333333334,45.93333333333333,257.06666666666666,59.6,,236.33333333333334,111.33333333333333,111.33333333333333,108.06666666666666,96.26666666666667
2017-01-02 17:45:00,69.4,57.2,101.26666666666667,116.73333333333333,48.13333333333333,230.8,59.2,,256.1333333333333,110.8,110.8,111.8,9532.666666666666
2017-01-02 18:00:00,58.333333333333336,55.93333333333333,102.86666666666666,118.2,44.4,229.13333333333333,49.666666666666664,,261.73333333333335,118.26666666666667,118.26666666666667,103.6,4339.533333333334
2017-01-02 18:15:00,47.46666666666667,45.666666666666664,101.73333333333333,116.2,37.4,225.46666666666667,43.0,,243.73333333333332,125.73333333333333,125.73333333333333,86.8,52.266666666666666
2017-01-02 18:30:00,41.06666666666667,41.0,95.6,113.4,26.8,201.06666666666666,32.733333333333334,,243.13333333333333,126.53333333333333,126.53333333333333,62.8,40.06666666666667
