Date/Time,8749_O_CRFT,4431_O_WBG,5571_O_BUFF,5624_O_BUFF,1282_O_BCVW,2071_O_NOSD,1502_O_BLPK,4632_O_BNAR,8941_O_MTLE,4880_O_ELIB,2281_O_HiPK,5679_O_BLOO,6227_O_ELIB,4669_O_ELIB,7543_O_MILL,4492_O_MOON
2017-04-20 20:30:00,,88.26666666666667,91.46666666666667,91.46666666666667,79.4,88.26666666666667,,,,74.93333333333334,,69.6,91.06666666666666,,,
2017-04-20 20:45:00,,91.4,96.46666666666667,96.46666666666667,84.53333333333333,84.6,,,,79.46666666666667,,72.93333333333334,98.93333333333334,,,
2017-04-20 21:00:00,,94.0,103.93333333333334,103.93333333333334,86.2,92.66666666666667,,,,83.73333333333333,,75.33333333333333,102.8,,,
2017-04-20 21:15:00,,90.06666666666666,106.2,106.2,101.86666666666666,92.6,,,,80.0,,77.8,101.2,,,
2017-04-20 21:30:00,,98.93333333333334,107.4,107.4,101.2,98.4,,,,81.4,,76.4,106.06666666666666,,,
2017-04-20 21:45:00,,100.2,105.73333333333333,105.73333333333333,102.66666666666667,100.8,,,,85.0,,78.13333333333334,104.33333333333333,,,
2017-04-20 22:00:00,,94.46666666666667,99.93333333333334,99.93333333333334,102.66666666666667,102.66666666666667,,,,82.2,,79.8,107.6,,,
2017-04-20 22:15:00,,83.86666666666666,87.6,87.6,105.46666666666667,96.0,,,,84.4,,85.26666666666667,111.6,,,
2017-04-20 22:30:00,,83.8,73.86666666666666,73.86666666666666,110.73333333333333,75.0,,,,85.13333333333334,,87.26666666666667,113.06666666666666,,,
2017-04-20 22:45:00,,57.6,71.4,71.4,117.2,97.53333333333333,,,,89.2,,88.13333333333334,115.13333333333334,,,
2017-04-20 23:00:00,,55.86666666666667,69.73333333333333,69.73333333333333,118.33333333333333,78.53333333333333,,,,90.0,,94.4,116.73333333333333,,,
2017-04-20 23:15:00,,48.86666666666667,69.86666666666666,69.86666666666666,103.26666666666667,87.93333333333334,,,,89.6,,92.0,119.0,,,
2017-04-20 23:30:00,,51.46666666666667,69.86666666666666,69.86666666666666,93.53333333333333,95.8,,,,81.33333333333333,,85.86666666666666,120.0,,,
2017-04-20 23:45:00,,56.8,76.0,76.0,75.2,93.6,,,,75.93333333333334,,71.8,112.46666666666667,,,
2017-04-21 00:00:00,,56.46666666666667,60.4,60.4,75.26666666666667,81.0,,,,66.0,,63.46666666666667,111.13333333333334,,,
2017-04-21 00:15:00,,60.0,66.33333333333333,66.33333333333333,93.86666666666666,77.66666666666667,,,,68.33333333333333,,67.46666666666667,84.73333333333333,,,
2017-04-21 00:30:00,,89.66666666666667,73.86666666666666,73.86666666666666,98.33333333333333,74.33333333333333,,,,86.6,,100.66666666666667,98.2,,,
2017-04-21 00:45:00,,120.26666666666667,76.06666666666666,76.06666666666666,98.2,73.86666666666666,,,,70.4,,82.53333333333333,120.06666666666666,,,
2017-04-21 01:00:00,,121.2,79.86666666666666,79.86666666666666,88.13333333333334,74.46666666666667,,,,62.6,,72.66666666666667,99.46666666666667,,,
2017-04-21 01:15:00,,99.13333333333334,83.13333333333334,83.13333333333334,79.06666666666666,81.33333333333333,,,,60.53333333333333,,69.33333333333333,94.0,,,
2017-04-21 01:30:00,,81.2,84.6,84.6,77.86666666666666,82.0,,,,62.733333333333334,,70.73333333333333,87.2,,,
2017-04-21 01:45:00,,87.86666666666666,84.0,84.0,84.6,84.2,,,,61.13333333333333,,71.66666666666667,88.26666666666667,,,
2017-04-21 02:00:00,,97.73333333333333,80.93333333333334,80.93333333333334,87.8,88.46666666666667,,,,61.86666666666667,,74.2,92.6,,,
2017-04-21 02:15:00,,101.93333333333334,83.8,83.8,95.13333333333334,90.4,,,,64.53333333333333,,76.73333333333333,94.6,,,
2017-04-21 02:30:00,,111.73333333333333,87.53333333333333,87.53333333333333,99.2,91.73333333333333,,,,64.6,,76.8,96.06666666666666,,,
